cell_id,Chalcites lucidus,Chalcites lucidus harterti,Chalcites lucidus layardi,Chalcites lucidus lucidus,Chalcites lucidus plagosus
8472a2bffffffff,2.0,0.0,0.0,0.0,0.0
8472d23ffffffff,3.0,0.0,0.0,0.0,0.0
8472da3ffffffff,1.0,0.0,0.0,0.0,0.0
8472f23ffffffff,3.0,0.0,0.0,0.0,0.0
84739abffffffff,9.0,0.0,0.0,0.0,0.0
84739b1ffffffff,2.0,0.0,0.0,0.0,0.0
847699dffffffff,2.0,0.0,0.0,0.0,0.0
8494231ffffffff,3.0,0.0,0.0,0.0,0.0
8494237ffffffff,2.0,0.0,0.0,0.0,2.0
849512dffffffff,3.0,0.0,0.0,0.0,0.0
8495185ffffffff,5.0,0.0,0.0,0.0,0.0
8495525ffffffff,3.0,0.0,0.0,0.0,0.0
8495a99ffffffff,4.0,0.0,0.0,0.0,0.0
849c017ffffffff,1.0,0.0,0.0,0.0,0.0
849c059ffffffff,9.0,0.0,0.0,0.0,0.0
849c05dffffffff,10.0,0.0,0.0,0.0,2.0
849c191ffffffff,8.0,0.0,0.0,0.0,0.0
849c19dffffffff,2.0,0.0,0.0,0.0,2.0
849c203ffffffff,11.0,0.0,0.0,0.0,0.0
849c20bffffffff,1.0,0.0,0.0,0.0,0.0
849c215ffffffff,165.0,0.0,0.0,0.0,18.0
849c21bffffffff,6.0,0.0,0.0,0.0,0.0
849c231ffffffff,93.0,0.0,0.0,0.0,0.0
849c233ffffffff,12.0,0.0,0.0,0.0,4.0
849c237ffffffff,267.0,0.0,0.0,0.0,26.0
849c239ffffffff,225.0,0.0,0.0,0.0,32.0
849c23bffffffff,37.0,0.0,0.0,0.0,5.0
849c23dffffffff,3.0,0.0,0.0,0.0,0.0
849c251ffffffff,11.0,0.0,0.0,0.0,0.0
849c257ffffffff,2.0,0.0,0.0,0.0,0.0
849c259ffffffff,23.0,0.0,0.0,0.0,0.0
849c2cdffffffff,1.0,0.0,0.0,0.0,0.0
849c2d3ffffffff,1.0,0.0,0.0,0.0,1.0
849c743ffffffff,4.0,0.0,0.0,0.0,0.0
849c85bffffffff,7.0,0.0,0.0,0.0,0.0
849c901ffffffff,28.0,0.0,0.0,0.0,0.0
849c9d1ffffffff,1.0,0.0,0.0,0.0,0.0
849ca65ffffffff,1.0,0.0,0.0,0.0,0.0
849caa5ffffffff,1.0,0.0,0.0,0.0,0.0
849cd33ffffffff,3.0,0.0,0.0,0.0,0.0
849ce47ffffffff,1.0,0.0,0.0,0.0,0.0
849cf19ffffffff,2.0,0.0,0.0,0.0,2.0
849cf3bffffffff,5.0,0.0,0.0,0.0,0.0
849cf53ffffffff,2.0,0.0,0.0,0.0,2.0
849d013ffffffff,6.0,0.0,0.0,0.0,0.0
849d01bffffffff,1.0,0.0,0.0,0.0,0.0
849d0b5ffffffff,6.0,0.0,0.0,0.0,0.0
849d0b7ffffffff,1.0,0.0,0.0,0.0,0.0
849d0bdffffffff,5.0,0.0,0.0,0.0,0.0
849d0c1ffffffff,2.0,0.0,0.0,0.0,0.0
849d0c5ffffffff,5.0,0.0,0.0,0.0,0.0
849d0cdffffffff,48.0,0.0,0.0,0.0,1.0
849d0e9ffffffff,4.0,0.0,0.0,0.0,0.0
849d217ffffffff,2.0,0.0,0.0,0.0,2.0
849d219ffffffff,6.0,0.0,0.0,0.0,0.0
849d21dffffffff,2.0,0.0,0.0,0.0,0.0
849d23bffffffff,3.0,0.0,0.0,0.0,0.0
849d24bffffffff,1.0,0.0,0.0,0.0,0.0
849d253ffffffff,16.0,0.0,0.0,0.0,0.0
849d255ffffffff,3.0,0.0,0.0,0.0,0.0
849d257ffffffff,5.0,0.0,0.0,0.0,0.0
849d25bffffffff,12.0,0.0,0.0,0.0,4.0
849d28bffffffff,2.0,0.0,0.0,0.0,0.0
849d2a5ffffffff,2.0,0.0,0.0,0.0,0.0
849d2abffffffff,2.0,0.0,0.0,0.0,0.0
849d2adffffffff,2.0,0.0,0.0,0.0,0.0
849d2c3ffffffff,2.0,0.0,0.0,0.0,0.0
849d4a1ffffffff,2.0,0.0,0.0,0.0,0.0
849d4abffffffff,2.0,0.0,0.0,0.0,0.0
849e025ffffffff,1.0,0.0,0.0,0.0,0.0
849e067ffffffff,7.0,0.0,0.0,0.0,0.0
849e103ffffffff,4.0,0.0,0.0,0.0,0.0
849e13dffffffff,6.0,0.0,0.0,0.0,0.0
849e225ffffffff,1.0,0.0,0.0,0.0,0.0
849ec03ffffffff,1.0,0.0,0.0,0.0,1.0
849eda7ffffffff,4.0,0.0,0.0,0.0,0.0
849f50bffffffff,19.0,0.0,11.0,0.0,0.0
849f515ffffffff,16.0,0.0,8.0,0.0,0.0
849f517ffffffff,13.0,0.0,9.0,0.0,0.0
849f523ffffffff,6.0,0.0,5.0,0.0,0.0
849f529ffffffff,3.0,0.0,0.0,0.0,0.0
849f53dffffffff,1.0,0.0,1.0,0.0,0.0
849f54bffffffff,2.0,0.0,2.0,0.0,0.0
849f551ffffffff,7.0,0.0,0.0,0.0,0.0
849f557ffffffff,7.0,0.0,5.0,0.0,0.0
849f55dffffffff,5.0,0.0,0.0,0.0,0.0
84a71d1ffffffff,3.0,0.0,0.0,0.0,0.0
84a71ddffffffff,1.0,0.0,0.0,0.0,0.0
84a7225ffffffff,1.0,0.0,0.0,0.0,0.0
84a722dffffffff,2.0,0.0,0.0,0.0,0.0
84a7265ffffffff,93.0,0.0,0.0,0.0,3.0
84a7267ffffffff,6.0,0.0,0.0,0.0,0.0
