cell_id,Centropus sinensis,Centropus sinensis [sinensis Group],Centropus sinensis parroti
84209a5ffffffff,288.0,0.0,0.0
843c021ffffffff,6.0,0.0,0.0
843c023ffffffff,1.0,0.0,0.0
843c025ffffffff,1.0,0.0,0.0
843c029ffffffff,200.0,6.0,0.0
843c02dffffffff,132.0,2.0,0.0
843c031ffffffff,1.0,0.0,0.0
843c061ffffffff,1.0,0.0,0.0
843c065ffffffff,20.0,0.0,0.0
843c067ffffffff,16.0,0.0,0.0
843c069ffffffff,3.0,0.0,0.0
843c06dffffffff,4.0,0.0,0.0
843c117ffffffff,9.0,0.0,0.0
843c133ffffffff,2.0,0.0,0.0
843c135ffffffff,20.0,0.0,0.0
843c137ffffffff,10.0,0.0,0.0
843c139ffffffff,12.0,0.0,0.0
843c13bffffffff,2.0,0.0,0.0
843c141ffffffff,2.0,0.0,0.0
843c151ffffffff,2.0,0.0,0.0
843c155ffffffff,6.0,0.0,0.0
843c159ffffffff,223.0,11.0,0.0
843c15bffffffff,4.0,0.0,0.0
843c165ffffffff,12.0,0.0,0.0
843c187ffffffff,1.0,0.0,0.0
843c189ffffffff,23.0,1.0,0.0
843c18bffffffff,4.0,0.0,0.0
843c191ffffffff,23.0,0.0,0.0
843c193ffffffff,3.0,0.0,0.0
843c199ffffffff,259.0,0.0,0.0
843c19bffffffff,13.0,0.0,0.0
843c19dffffffff,10.0,0.0,0.0
843c1a3ffffffff,3.0,0.0,0.0
843c1a9ffffffff,12.0,0.0,0.0
843c1abffffffff,5.0,0.0,0.0
843c1b1ffffffff,1.0,0.0,0.0
843c1b5ffffffff,160.0,6.0,0.0
843c1b9ffffffff,9.0,2.0,0.0
843c1bbffffffff,2.0,0.0,0.0
843c1bdffffffff,3.0,0.0,0.0
843c1c1ffffffff,1.0,0.0,0.0
843c1c3ffffffff,369.0,0.0,0.0
843c1c7ffffffff,23.0,0.0,0.0
843c1c9ffffffff,8.0,0.0,0.0
843c1cdffffffff,1.0,0.0,0.0
843c1d1ffffffff,4.0,0.0,0.0
843c1d3ffffffff,12.0,0.0,0.0
843c1d5ffffffff,4.0,0.0,0.0
843c1d7ffffffff,14.0,0.0,0.0
843c1e5ffffffff,4.0,0.0,0.0
843c1e9ffffffff,100.0,0.0,0.0
843c307ffffffff,2.0,0.0,0.0
843c315ffffffff,4.0,0.0,0.0
843c329ffffffff,15.0,0.0,0.0
843c32bffffffff,4.0,0.0,0.0
843c331ffffffff,3.0,0.0,0.0
843c333ffffffff,28.0,0.0,0.0
843c335ffffffff,47.0,0.0,0.0
843c337ffffffff,10.0,0.0,0.0
843c33bffffffff,63.0,0.0,0.0
843c33dffffffff,28.0,0.0,0.0
843c345ffffffff,2.0,0.0,0.0
843c361ffffffff,5.0,0.0,0.0
843c363ffffffff,2.0,0.0,0.0
843c367ffffffff,10.0,0.0,0.0
843c369ffffffff,43.0,0.0,0.0
843c36bffffffff,24.0,0.0,0.0
843c525ffffffff,4.0,0.0,0.0
843c527ffffffff,7.0,0.0,0.0
843c537ffffffff,3.0,0.0,0.0
843c585ffffffff,2.0,0.0,0.0
843c5a1ffffffff,137.0,0.0,0.0
843c5a9ffffffff,129.0,0.0,0.0
843c5adffffffff,5.0,0.0,0.0
843c5e5ffffffff,2.0,0.0,0.0
843c5e7ffffffff,1.0,0.0,0.0
843c801ffffffff,7.0,0.0,0.0
843c805ffffffff,60.0,0.0,0.0
843c807ffffffff,24.0,0.0,0.0
843c809ffffffff,10.0,0.0,0.0
843c80dffffffff,26.0,0.0,0.0
843c817ffffffff,4.0,0.0,0.0
843c81bffffffff,2.0,0.0,0.0
843c823ffffffff,1.0,0.0,0.0
843c82dffffffff,3.0,0.0,0.0
843c831ffffffff,13.0,0.0,0.0
843c837ffffffff,4.0,0.0,0.0
843c839ffffffff,69.0,0.0,0.0
843c83bffffffff,6.0,0.0,0.0
843c841ffffffff,1.0,0.0,0.0
843c843ffffffff,19.0,0.0,0.0
843c845ffffffff,5.0,0.0,0.0
843c84bffffffff,1.0,0.0,0.0
843c84dffffffff,10.0,0.0,0.0
843c855ffffffff,3.0,0.0,0.0
843c85dffffffff,2.0,0.0,0.0
843c867ffffffff,3.0,0.0,0.0
843c86dffffffff,2.0,0.0,0.0
843c885ffffffff,131.0,0.0,0.0
843c889ffffffff,2.0,0.0,0.0
843c88bffffffff,4.0,0.0,0.0
843c899ffffffff,290.0,3.0,0.0
843c89bffffffff,7.0,0.0,0.0
843c8a9ffffffff,8.0,0.0,0.0
843c8c1ffffffff,3.0,0.0,0.0
843c8c3ffffffff,15.0,0.0,0.0
843c8c7ffffffff,76.0,0.0,0.0
843c8c9ffffffff,5.0,0.0,0.0
843c8cbffffffff,58.0,0.0,0.0
843c8d3ffffffff,2.0,0.0,0.0
843c8d5ffffffff,14.0,0.0,0.0
843c8d7ffffffff,56.0,7.0,0.0
843c8d9ffffffff,146.0,0.0,0.0
843c8dbffffffff,171.0,2.0,0.0
843c8ddffffffff,3.0,0.0,0.0
843c8e1ffffffff,26.0,0.0,0.0
843c8e3ffffffff,5.0,0.0,0.0
843c8e5ffffffff,489.0,0.0,0.0
843c8e7ffffffff,72.0,0.0,0.0
843c8e9ffffffff,2.0,0.0,0.0
843c8ebffffffff,2.0,0.0,0.0
843c8edffffffff,183.0,0.0,0.0
843c903ffffffff,8.0,0.0,0.0
843c905ffffffff,6.0,0.0,0.0
843c907ffffffff,3.0,0.0,0.0
843c909ffffffff,121.0,0.0,0.0
843c90bffffffff,11.0,0.0,0.0
843c90dffffffff,3.0,0.0,0.0
843c911ffffffff,2.0,0.0,0.0
843c915ffffffff,21.0,0.0,0.0
843c91dffffffff,5.0,0.0,0.0
843c921ffffffff,11.0,0.0,0.0
843c923ffffffff,7.0,0.0,0.0
843c925ffffffff,27.0,0.0,0.0
843c927ffffffff,83.0,0.0,0.0
843c929ffffffff,33.0,0.0,0.0
843c92bffffffff,25.0,0.0,0.0
843c92dffffffff,61.0,0.0,0.0
843c931ffffffff,289.0,0.0,0.0
843c935ffffffff,2.0,0.0,0.0
843c939ffffffff,29.0,0.0,0.0
843c93bffffffff,60.0,0.0,0.0
843c93dffffffff,6.0,0.0,0.0
843c941ffffffff,11.0,0.0,0.0
843c943ffffffff,131.0,0.0,0.0
843c945ffffffff,21.0,0.0,0.0
843c947ffffffff,62.0,0.0,0.0
843c949ffffffff,7.0,0.0,0.0
843c94bffffffff,9.0,0.0,0.0
843c94dffffffff,5.0,0.0,0.0
843c959ffffffff,49.0,0.0,0.0
843c95bffffffff,10.0,0.0,0.0
843c963ffffffff,2.0,0.0,0.0
843c965ffffffff,2.0,0.0,0.0
843c967ffffffff,64.0,0.0,0.0
843c96dffffffff,5.0,0.0,0.0
843c9c1ffffffff,29.0,0.0,0.0
843c9c3ffffffff,10.0,0.0,0.0
843c9cbffffffff,2.0,0.0,0.0
843c9d9ffffffff,190.0,0.0,0.0
843c9ddffffffff,13.0,0.0,0.0
843c9e9ffffffff,20.0,0.0,0.0
843c9edffffffff,1.0,0.0,0.0
843ca03ffffffff,11.0,0.0,0.0
843ca05ffffffff,4.0,0.0,0.0
843ca13ffffffff,2.0,0.0,0.0
843ca21ffffffff,11.0,0.0,0.0
843ca23ffffffff,2.0,0.0,0.0
843ca25ffffffff,228.0,0.0,0.0
843ca27ffffffff,2.0,0.0,0.0
843ca2dffffffff,4.0,0.0,0.0
843ca31ffffffff,2.0,0.0,0.0
843ca33ffffffff,6.0,0.0,0.0
843ca39ffffffff,2.0,0.0,0.0
843ca3bffffffff,8.0,0.0,0.0
843ca41ffffffff,17.0,0.0,0.0
843ca45ffffffff,26.0,0.0,0.0
843ca47ffffffff,42.0,0.0,0.0
843ca49ffffffff,1.0,0.0,0.0
843ca4bffffffff,2.0,0.0,0.0
843ca4dffffffff,2.0,0.0,0.0
843ca51ffffffff,2.0,0.0,0.0
843ca59ffffffff,3.0,0.0,0.0
843ca5bffffffff,2.0,0.0,0.0
843ca5dffffffff,12.0,0.0,0.0
843ca61ffffffff,2.0,0.0,0.0
843ca67ffffffff,2.0,0.0,0.0
843ca69ffffffff,4.0,0.0,0.0
843ca6dffffffff,2.0,0.0,0.0
843ca85ffffffff,10.0,0.0,0.0
843ca87ffffffff,77.0,0.0,0.0
843ca89ffffffff,1.0,0.0,0.0
843ca8bffffffff,15.0,0.0,0.0
843ca8dffffffff,18.0,0.0,0.0
843ca91ffffffff,17.0,0.0,0.0
843ca93ffffffff,26.0,0.0,0.0
843ca95ffffffff,32.0,0.0,0.0
843ca97ffffffff,308.0,0.0,0.0
843ca9dffffffff,47.0,0.0,0.0
843cab1ffffffff,97.0,0.0,0.0
843cab5ffffffff,6.0,0.0,0.0
843cab7ffffffff,47.0,0.0,0.0
843cab9ffffffff,103.0,0.0,0.0
843cabbffffffff,3.0,0.0,0.0
843cabdffffffff,6.0,0.0,0.0
843cac1ffffffff,2.0,0.0,0.0
843cac3ffffffff,18.0,0.0,0.0
843cac7ffffffff,1.0,0.0,0.0
843cacbffffffff,12.0,0.0,0.0
843cad3ffffffff,6.0,0.0,0.0
843cad5ffffffff,6.0,0.0,0.0
843caddffffffff,37.0,0.0,0.0
843cae3ffffffff,2.0,0.0,0.0
843cae5ffffffff,6.0,0.0,0.0
843cae9ffffffff,1.0,0.0,0.0
