cell_id,Polioptila caerulea,Polioptila caerulea [obscura Group],Polioptila caerulea caerulea,Polioptila caerulea cozumelae
8426689ffffffff,2.0,0.0,0.0,0.0
84266adffffffff,3.0,0.0,0.0,0.0
84266b1ffffffff,1.0,0.0,0.0,0.0
84266b7ffffffff,2.0,0.0,0.0,0.0
84266bbffffffff,1.0,0.0,0.0,0.0
84266d5ffffffff,2.0,0.0,0.0,0.0
8426705ffffffff,24.0,0.0,0.0,0.0
8426707ffffffff,16.0,0.0,0.0,0.0
842670bffffffff,3.0,0.0,0.0,0.0
8426717ffffffff,1.0,0.0,1.0,0.0
8426723ffffffff,1.0,0.0,1.0,0.0
8426743ffffffff,20.0,0.0,0.0,0.0
8426745ffffffff,3.0,0.0,0.0,0.0
8426747ffffffff,14.0,0.0,0.0,0.0
842674bffffffff,2.0,0.0,0.0,0.0
842675dffffffff,12.0,0.0,0.0,0.0
8426805ffffffff,1.0,0.0,0.0,0.0
8426813ffffffff,6.0,2.0,0.0,0.0
8426815ffffffff,2.0,0.0,0.0,0.0
8426819ffffffff,13.0,2.0,0.0,0.0
842681bffffffff,17.0,4.0,0.0,0.0
842681dffffffff,4.0,0.0,0.0,0.0
8426831ffffffff,3.0,0.0,0.0,0.0
8426833ffffffff,4.0,0.0,0.0,0.0
842683bffffffff,1.0,0.0,0.0,0.0
8426853ffffffff,9.0,0.0,0.0,0.0
8426859ffffffff,3.0,0.0,0.0,0.0
8426881ffffffff,29.0,2.0,0.0,0.0
8426885ffffffff,6.0,2.0,0.0,0.0
8426889ffffffff,26.0,0.0,0.0,0.0
842688bffffffff,1.0,0.0,0.0,0.0
842688dffffffff,19.0,4.0,0.0,0.0
8426891ffffffff,13.0,2.0,0.0,0.0
8426893ffffffff,13.0,6.0,0.0,0.0
842689dffffffff,2.0,0.0,0.0,0.0
84268a3ffffffff,1.0,1.0,0.0,0.0
84268a5ffffffff,2.0,2.0,0.0,0.0
84268a7ffffffff,2.0,2.0,0.0,0.0
84268abffffffff,4.0,2.0,0.0,0.0
84268adffffffff,7.0,0.0,0.0,0.0
84268b9ffffffff,8.0,8.0,0.0,0.0
84268bdffffffff,12.0,8.0,0.0,0.0
84268c1ffffffff,23.0,0.0,0.0,0.0
84268c3ffffffff,1.0,0.0,0.0,0.0
84268c5ffffffff,13.0,1.0,0.0,0.0
84268c7ffffffff,7.0,0.0,0.0,0.0
84268c9ffffffff,2.0,0.0,0.0,0.0
84268cbffffffff,3.0,0.0,0.0,0.0
84268cdffffffff,73.0,2.0,0.0,0.0
84268d1ffffffff,4.0,2.0,0.0,0.0
84268d3ffffffff,6.0,2.0,0.0,0.0
84268d5ffffffff,54.0,19.0,0.0,0.0
84268d7ffffffff,5.0,0.0,0.0,0.0
84268d9ffffffff,4.0,0.0,0.0,0.0
84268dbffffffff,11.0,0.0,0.0,0.0
84268ddffffffff,11.0,5.0,0.0,0.0
84268e1ffffffff,3.0,0.0,0.0,0.0
84268e3ffffffff,9.0,0.0,0.0,0.0
84268ebffffffff,1.0,0.0,0.0,0.0
8426905ffffffff,3.0,0.0,0.0,0.0
842690dffffffff,5.0,0.0,0.0,0.0
8426915ffffffff,8.0,4.0,0.0,0.0
8426917ffffffff,14.0,10.0,0.0,0.0
8426921ffffffff,3.0,0.0,0.0,0.0
8426923ffffffff,2.0,2.0,0.0,0.0
8426929ffffffff,23.0,3.0,0.0,0.0
842692dffffffff,2.0,0.0,0.0,0.0
8426945ffffffff,4.0,0.0,0.0,0.0
8426961ffffffff,44.0,23.0,0.0,0.0
8426963ffffffff,78.0,54.0,0.0,0.0
8426969ffffffff,32.0,8.0,0.0,0.0
842696bffffffff,83.0,60.0,0.0,0.0
8426983ffffffff,2.0,0.0,0.0,0.0
8426985ffffffff,1.0,0.0,0.0,0.0
8426987ffffffff,22.0,0.0,0.0,0.0
8426989ffffffff,10.0,2.0,0.0,0.0
842698dffffffff,10.0,2.0,0.0,0.0
8426991ffffffff,8.0,0.0,0.0,0.0
8426993ffffffff,1.0,0.0,0.0,0.0
8426995ffffffff,1.0,0.0,0.0,0.0
8426997ffffffff,5.0,0.0,0.0,0.0
842699dffffffff,5.0,2.0,0.0,0.0
84269a1ffffffff,2.0,0.0,0.0,0.0
84269abffffffff,11.0,0.0,0.0,0.0
84269adffffffff,4.0,0.0,0.0,0.0
84269b1ffffffff,2.0,0.0,0.0,0.0
84269b9ffffffff,3.0,0.0,0.0,0.0
84269c1ffffffff,10.0,0.0,0.0,0.0
84269c3ffffffff,1.0,0.0,0.0,0.0
84269c5ffffffff,106.0,30.0,0.0,0.0
84269cdffffffff,14.0,0.0,0.0,0.0
84269d5ffffffff,11.0,0.0,0.0,0.0
84269d7ffffffff,2.0,0.0,0.0,0.0
84269d9ffffffff,1.0,0.0,0.0,0.0
84269dbffffffff,2.0,0.0,0.0,0.0
84269ddffffffff,6.0,0.0,0.0,0.0
84269e1ffffffff,10.0,2.0,0.0,0.0
84269e9ffffffff,13.0,3.0,0.0,0.0
84269edffffffff,1.0,0.0,0.0,0.0
8426a53ffffffff,7.0,0.0,0.0,0.0
8426a59ffffffff,4.0,3.0,0.0,0.0
8426a83ffffffff,1.0,0.0,1.0,0.0
8426a85ffffffff,1.0,0.0,0.0,0.0
8426a87ffffffff,34.0,8.0,0.0,0.0
8426a8bffffffff,20.0,8.0,6.0,0.0
8426a91ffffffff,2.0,0.0,0.0,0.0
8426a95ffffffff,12.0,4.0,8.0,0.0
8426a97ffffffff,7.0,1.0,3.0,0.0
8426a9dffffffff,4.0,2.0,2.0,0.0
8426aa5ffffffff,11.0,2.0,0.0,0.0
8426aa7ffffffff,4.0,0.0,0.0,0.0
8426aa9ffffffff,23.0,12.0,0.0,0.0
8426aabffffffff,4.0,2.0,0.0,0.0
8426aadffffffff,6.0,2.0,0.0,0.0
8426ab3ffffffff,6.0,4.0,2.0,0.0
8426ab5ffffffff,3.0,0.0,0.0,0.0
8426ab7ffffffff,11.0,4.0,0.0,0.0
8426ab9ffffffff,9.0,0.0,3.0,0.0
8426abbffffffff,5.0,3.0,0.0,0.0
8426ad5ffffffff,2.0,0.0,0.0,0.0
8426ae7ffffffff,6.0,0.0,0.0,0.0
8426b0dffffffff,2.0,0.0,0.0,0.0
8426b33ffffffff,2.0,0.0,0.0,0.0
8426b51ffffffff,2.0,0.0,0.0,0.0
8426b61ffffffff,7.0,2.0,0.0,0.0
8426b69ffffffff,3.0,0.0,0.0,0.0
8426c1bffffffff,5.0,0.0,0.0,0.0
8426c31ffffffff,3.0,0.0,3.0,0.0
8426c33ffffffff,3.0,0.0,3.0,0.0
8426c37ffffffff,2.0,0.0,2.0,0.0
8426c39ffffffff,2.0,0.0,0.0,0.0
8426c3bffffffff,7.0,0.0,7.0,0.0
8426c43ffffffff,3.0,0.0,3.0,0.0
8426c4dffffffff,1.0,0.0,0.0,0.0
8426c53ffffffff,2.0,0.0,0.0,0.0
8426c83ffffffff,1.0,0.0,0.0,0.0
8426c89ffffffff,10.0,0.0,0.0,0.0
8426c9dffffffff,2.0,0.0,0.0,0.0
8426ca1ffffffff,1.0,0.0,0.0,0.0
8426ca7ffffffff,1.0,0.0,0.0,0.0
8426cb9ffffffff,4.0,0.0,0.0,0.0
8426cc3ffffffff,4.0,0.0,4.0,0.0
8426ce3ffffffff,1.0,0.0,0.0,0.0
8426cedffffffff,2.0,0.0,0.0,0.0
8426d0bffffffff,3.0,0.0,0.0,0.0
8426d15ffffffff,10.0,0.0,0.0,0.0
8426d1dffffffff,1.0,0.0,0.0,0.0
8426d2bffffffff,2.0,0.0,0.0,0.0
8426d41ffffffff,2.0,0.0,0.0,0.0
8426d45ffffffff,6.0,0.0,0.0,0.0
8426d49ffffffff,3.0,0.0,0.0,0.0
8426d4bffffffff,7.0,2.0,2.0,0.0
8426d57ffffffff,2.0,0.0,0.0,0.0
8426d59ffffffff,3.0,0.0,0.0,0.0
8426d5dffffffff,2.0,0.0,2.0,0.0
8426d8dffffffff,2.0,0.0,0.0,0.0
8426d95ffffffff,6.0,0.0,0.0,0.0
8426d97ffffffff,1.0,0.0,0.0,0.0
8426dadffffffff,2.0,0.0,0.0,0.0
8426db3ffffffff,6.0,0.0,2.0,0.0
8426dbbffffffff,8.0,0.0,0.0,0.0
8426de7ffffffff,12.0,0.0,0.0,0.0
8426de9ffffffff,3.0,0.0,0.0,0.0
8426e07ffffffff,2.0,0.0,0.0,0.0
8426e11ffffffff,8.0,0.0,0.0,0.0
8426e15ffffffff,9.0,0.0,0.0,0.0
8426e19ffffffff,1.0,0.0,1.0,0.0
8426e21ffffffff,2.0,0.0,0.0,0.0
8426e27ffffffff,4.0,0.0,0.0,0.0
8426e31ffffffff,1.0,0.0,0.0,0.0
8426e33ffffffff,1.0,0.0,0.0,0.0
8426e41ffffffff,3.0,0.0,0.0,0.0
8426e43ffffffff,6.0,0.0,2.0,0.0
8426e47ffffffff,7.0,0.0,2.0,0.0
8426e51ffffffff,4.0,0.0,0.0,0.0
8426e53ffffffff,4.0,0.0,0.0,0.0
8426e57ffffffff,1.0,0.0,0.0,0.0
8426e59ffffffff,9.0,0.0,9.0,0.0
8426e5bffffffff,46.0,0.0,38.0,0.0
8426e67ffffffff,2.0,0.0,0.0,0.0
8426e83ffffffff,2.0,0.0,0.0,0.0
8426e99ffffffff,2.0,0.0,0.0,0.0
8426e9dffffffff,2.0,0.0,0.0,0.0
8426eb7ffffffff,4.0,0.0,4.0,0.0
8426eb9ffffffff,3.0,0.0,0.0,0.0
8426ec5ffffffff,2.0,0.0,0.0,0.0
8426ed3ffffffff,2.0,0.0,2.0,0.0
8426ed5ffffffff,11.0,0.0,0.0,0.0
8426ed7ffffffff,7.0,0.0,0.0,0.0
8426ed9ffffffff,1.0,0.0,1.0,0.0
8426eddffffffff,8.0,0.0,0.0,0.0
8426ee9ffffffff,1.0,0.0,0.0,0.0
8426f0dffffffff,5.0,0.0,3.0,0.0
8426f17ffffffff,3.0,0.0,3.0,0.0
8426f1dffffffff,2.0,0.0,0.0,0.0
8426f21ffffffff,2.0,2.0,0.0,0.0
8426f25ffffffff,5.0,0.0,3.0,0.0
8426f27ffffffff,10.0,4.0,1.0,0.0
8426f29ffffffff,2.0,0.0,2.0,0.0
8426f2dffffffff,22.0,8.0,8.0,0.0
8426f39ffffffff,4.0,0.0,0.0,0.0
8426f45ffffffff,2.0,0.0,0.0,0.0
8426f51ffffffff,1.0,0.0,0.0,0.0
8427093ffffffff,1.0,0.0,0.0,0.0
84270a7ffffffff,1.0,0.0,1.0,0.0
842719dffffffff,4.0,0.0,0.0,0.0
84271a7ffffffff,4.0,0.0,0.0,0.0
84271c9ffffffff,2.0,0.0,0.0,0.0
84271d5ffffffff,15.0,0.0,0.0,0.0
84271d7ffffffff,2.0,0.0,2.0,0.0
8427401ffffffff,10.0,0.0,0.0,0.0
8427409ffffffff,10.0,0.0,0.0,0.0
842740dffffffff,2.0,0.0,0.0,0.0
8427411ffffffff,2.0,0.0,0.0,0.0
8427423ffffffff,19.0,0.0,0.0,0.0
