cell_id,Lanius borealis,Lanius borealis [mollis Group],Lanius borealis borealis
820c07fffffffff,4.0,0.0,0.0
820c17fffffffff,792.0,0.0,0.0
820c1ffffffffff,14.0,0.0,0.0
820c27fffffffff,8.0,0.0,0.0
820c2ffffffffff,3.0,0.0,0.0
820c37fffffffff,19.0,0.0,0.0
820c47fffffffff,132.0,0.0,0.0
820c57fffffffff,102.0,0.0,0.0
820c5ffffffffff,299.0,0.0,0.0
820c67fffffffff,75.0,0.0,0.0
820c77fffffffff,542.0,0.0,18.0
820cdffffffffff,39.0,0.0,0.0
820ce7fffffffff,20.0,0.0,0.0
820ceffffffffff,17.0,0.0,0.0
820cf7fffffffff,6.0,0.0,0.0
820d0ffffffffff,11.0,0.0,0.0
820d1ffffffffff,3.0,0.0,0.0
820d4ffffffffff,38.0,0.0,0.0
820d57fffffffff,41.0,0.0,0.0
820d5ffffffffff,67.0,0.0,0.0
820d67fffffffff,7.0,0.0,0.0
820d6ffffffffff,7.0,0.0,0.0
820d77fffffffff,68.0,0.0,0.0
820e0ffffffffff,3.0,0.0,0.0
820e4ffffffffff,248.0,0.0,0.0
820e5ffffffffff,2.0,0.0,0.0
820e6ffffffffff,4.0,0.0,0.0
820e87fffffffff,136.0,0.0,0.0
820e8ffffffffff,4.0,0.0,0.0
820e97fffffffff,6.0,0.0,0.0
820ecffffffffff,140.0,0.0,0.0
820eeffffffffff,113.0,0.0,0.0
821217fffffffff,4.0,0.0,0.0
82121ffffffffff,20.0,0.0,0.0
821227fffffffff,1.0,0.0,0.0
82124ffffffffff,18.0,0.0,0.0
821257fffffffff,185.0,0.0,0.0
82125ffffffffff,129.0,0.0,0.0
821267fffffffff,1.0,0.0,0.0
82126ffffffffff,1.0,0.0,0.0
821277fffffffff,5.0,0.0,0.0
821287fffffffff,43.0,0.0,0.0
82128ffffffffff,111.0,0.0,0.0
8212a7fffffffff,4.0,0.0,0.0
8212affffffffff,185.0,0.0,0.0
8212b7fffffffff,14.0,0.0,0.0
8212c7fffffffff,383.0,0.0,0.0
8212cffffffffff,1769.0,0.0,0.0
8212d7fffffffff,723.0,0.0,0.0
8212dffffffffff,1793.0,0.0,0.0
8212e7fffffffff,305.0,0.0,0.0
8212effffffffff,505.0,0.0,0.0
8212f7fffffffff,134.0,0.0,0.0
821307fffffffff,2.0,0.0,0.0
821347fffffffff,1.0,0.0,0.0
821357fffffffff,7.0,0.0,0.0
821387fffffffff,213.0,0.0,0.0
82138ffffffffff,21.0,0.0,0.0
821397fffffffff,62.0,0.0,0.0
82139ffffffffff,102.0,0.0,0.0
8213affffffffff,3.0,0.0,0.0
8213b7fffffffff,107.0,0.0,0.0
82159ffffffffff,13.0,0.0,0.0
821aa7fffffffff,11.0,0.0,0.0
821ab7fffffffff,4.0,0.0,0.0
821b87fffffffff,3.0,0.0,0.0
821b9ffffffffff,6.0,0.0,0.0
82204ffffffffff,1.0,0.0,0.0
8220e7fffffffff,1.0,0.0,0.0
8222d7fffffffff,6.0,0.0,0.0
822407fffffffff,2.0,0.0,0.0
822427fffffffff,5.0,0.0,0.0
82242ffffffffff,6.0,0.0,0.0
82246ffffffffff,3.0,0.0,0.0
8224c7fffffffff,2.0,0.0,0.0
822517fffffffff,4.0,0.0,0.0
82255ffffffffff,8.0,0.0,0.0
822607fffffffff,177.0,0.0,3.0
82260ffffffffff,152.0,0.0,0.0
822617fffffffff,116.0,0.0,1.0
82261ffffffffff,115.0,0.0,8.0
822627fffffffff,798.0,0.0,0.0
82262ffffffffff,876.0,0.0,3.0
822637fffffffff,94.0,0.0,0.0
822657fffffffff,6.0,0.0,0.0
822667fffffffff,762.0,0.0,0.0
82266ffffffffff,61.0,0.0,0.0
822677fffffffff,35.0,0.0,0.0
822687fffffffff,1045.0,0.0,0.0
82268ffffffffff,2353.0,0.0,0.0
822697fffffffff,909.0,0.0,0.0
82269ffffffffff,365.0,0.0,0.0
8226a7fffffffff,42.0,0.0,0.0
8226affffffffff,1036.0,0.0,6.0
8226b7fffffffff,153.0,0.0,0.0
8226c7fffffffff,6.0,0.0,0.0
8226d7fffffffff,126.0,0.0,0.0
8226e7fffffffff,108.0,0.0,0.0
8226f7fffffffff,102.0,0.0,0.0
822707fffffffff,542.0,0.0,0.0
82270ffffffffff,4516.0,0.0,0.0
822717fffffffff,85.0,0.0,0.0
82271ffffffffff,347.0,0.0,0.0
82272ffffffffff,2.0,0.0,0.0
822747fffffffff,742.0,0.0,0.0
82274ffffffffff,1045.0,0.0,0.0
822757fffffffff,2140.0,0.0,0.0
82275ffffffffff,2552.0,0.0,0.0
822767fffffffff,1277.0,0.0,0.0
82276ffffffffff,914.0,0.0,0.0
822777fffffffff,257.0,0.0,0.0
822787fffffffff,30.0,0.0,0.0
82278ffffffffff,72.0,0.0,0.0
822797fffffffff,457.0,0.0,0.0
82279ffffffffff,98.0,0.0,0.0
8227a7fffffffff,102.0,0.0,0.0
8227affffffffff,234.0,0.0,0.0
8227b7fffffffff,47.0,0.0,0.0
822817fffffffff,193.0,0.0,0.0
82281ffffffffff,448.0,0.0,0.0
822887fffffffff,467.0,0.0,1.0
82288ffffffffff,1871.0,0.0,2.0
822897fffffffff,790.0,0.0,0.0
82289ffffffffff,895.0,0.0,0.0
8228a7fffffffff,67.0,0.0,0.0
8228affffffffff,566.0,0.0,0.0
8228b7fffffffff,541.0,0.0,0.0
8228c7fffffffff,279.0,0.0,0.0
8228d7fffffffff,5479.0,0.0,0.0
8228dffffffffff,2572.0,0.0,0.0
8228f7fffffffff,1193.0,0.0,0.0
82298ffffffffff,23.0,0.0,0.0
822997fffffffff,55.0,0.0,0.0
82299ffffffffff,9.0,0.0,0.0
822a07fffffffff,36.0,0.0,0.0
822a17fffffffff,109.0,0.0,0.0
822a37fffffffff,1464.0,0.0,0.0
