cell_id,Leptosomus discolor,Leptosomus discolor gracilis,Leptosomus discolor intermedius,Leptosomus discolor discolor
83a204fffffffff,3.0,0.0,0.0,0.0
83a210fffffffff,1.0,0.0,0.0,0.0
83a214fffffffff,304.0,0.0,0.0,0.0
83a215fffffffff,2.0,0.0,0.0,0.0
83a216fffffffff,4.0,0.0,0.0,0.0
83a222fffffffff,256.0,0.0,0.0,0.0
83a223fffffffff,1.0,0.0,0.0,0.0
83a231fffffffff,234.0,0.0,0.0,0.0
83a233fffffffff,1.0,0.0,0.0,0.0
83a235fffffffff,2.0,0.0,0.0,0.0
83a2a3fffffffff,6.0,0.0,0.0,0.0
83a2a4fffffffff,181.0,0.0,0.0,0.0
83a2aefffffffff,18.0,0.0,0.0,0.0
83a304fffffffff,16.0,0.0,0.0,0.0
83a308fffffffff,35.0,0.0,0.0,0.0
83a309fffffffff,27.0,0.0,0.0,0.0
83a318fffffffff,1.0,0.0,0.0,0.0
83a319fffffffff,212.0,0.0,0.0,0.0
83a31dfffffffff,1.0,0.0,0.0,0.0
83a322fffffffff,1.0,0.0,0.0,0.0
83a331fffffffff,16.0,0.0,0.0,0.0
83a335fffffffff,22.0,0.0,0.0,0.0
83a356fffffffff,37.0,0.0,0.0,0.0
83a372fffffffff,1.0,0.0,0.0,0.0
83a376fffffffff,30.0,0.0,0.0,0.0
83a388fffffffff,2.0,0.0,0.0,0.0
83a38bfffffffff,25.0,0.0,0.0,0.0
83a38dfffffffff,14.0,0.0,0.0,0.0
83a399fffffffff,12.0,0.0,0.0,0.0
83a3a9fffffffff,6.0,0.0,0.0,0.0
83a3abfffffffff,5.0,0.0,0.0,0.0
83a3adfffffffff,5.0,0.0,0.0,0.0
