cell_id,Vireo bellii,Vireo bellii bellii/medius,Vireo bellii arizonae,Vireo bellii pusillus
822607fffffffff,229.0,44.0,0.0,0.0
82260ffffffffff,820.0,22.0,0.0,0.0
822617fffffffff,351.0,2.0,0.0,0.0
82261ffffffffff,517.0,18.0,0.0,0.0
82262ffffffffff,233.0,8.0,0.0,0.0
822637fffffffff,4.0,0.0,0.0,0.0
822647fffffffff,1216.0,110.0,0.0,0.0
82264ffffffffff,12.0,0.0,0.0,0.0
822657fffffffff,3497.0,106.0,0.0,0.0
82265ffffffffff,602.0,21.0,0.0,0.0
822667fffffffff,1081.0,27.0,0.0,0.0
82266ffffffffff,1411.0,39.0,0.0,0.0
822677fffffffff,582.0,30.0,0.0,0.0
8226a7fffffffff,27.0,0.0,0.0,0.0
8226affffffffff,698.0,12.0,0.0,0.0
8226c7fffffffff,536.0,99.0,0.0,0.0
8226cffffffffff,366.0,1.0,0.0,0.0
8226d7fffffffff,28.0,0.0,0.0,0.0
8226dffffffffff,402.0,0.0,0.0,0.0
8226e7fffffffff,2629.0,33.0,0.0,0.0
8226effffffffff,700.0,73.0,0.0,0.0
8226f7fffffffff,269.0,6.0,0.0,0.0
82274ffffffffff,14.0,0.0,0.0,0.0
822757fffffffff,41.0,0.0,0.0,0.0
82275ffffffffff,327.0,2.0,0.0,0.0
822917fffffffff,87.0,0.0,0.0,51.0
822987fffffffff,262.0,0.0,0.0,0.0
822997fffffffff,505.0,0.0,0.0,0.0
8229a7fffffffff,11213.0,0.0,0.0,4124.0
8229affffffffff,42.0,0.0,0.0,18.0
8229b7fffffffff,3682.0,0.0,691.0,0.0
822a97fffffffff,43.0,1.0,0.0,0.0
82444ffffffffff,178.0,6.0,0.0,0.0
82445ffffffffff,3.0,0.0,0.0,0.0
82446ffffffffff,29.0,0.0,0.0,0.0
824527fffffffff,2.0,0.0,0.0,0.0
824807fffffffff,151.0,0.0,0.0,5.0
82480ffffffffff,750.0,0.0,68.0,0.0
824817fffffffff,56.0,0.0,0.0,0.0
82481ffffffffff,27.0,0.0,0.0,0.0
824827fffffffff,94.0,0.0,0.0,11.0
82482ffffffffff,148.0,0.0,0.0,35.0
824837fffffffff,2151.0,0.0,0.0,0.0
824847fffffffff,70.0,0.0,0.0,32.0
82484ffffffffff,8.0,0.0,0.0,0.0
824857fffffffff,398.0,0.0,16.0,0.0
82485ffffffffff,244.0,0.0,21.0,21.0
824877fffffffff,20.0,0.0,0.0,0.0
824887fffffffff,1985.0,13.0,0.0,0.0
82488ffffffffff,3933.0,57.0,0.0,0.0
824897fffffffff,15.0,0.0,0.0,0.0
82489ffffffffff,6432.0,351.0,0.0,0.0
8248a7fffffffff,144.0,0.0,0.0,0.0
8248affffffffff,4126.0,83.0,0.0,0.0
8248b7fffffffff,15.0,0.0,0.0,0.0
8248c7fffffffff,3630.0,0.0,593.0,0.0
8248cffffffffff,148.0,0.0,28.0,0.0
8248d7fffffffff,546.0,14.0,0.0,0.0
8248dffffffffff,71.0,0.0,0.0,0.0
8248e7fffffffff,649.0,0.0,100.0,0.0
8248effffffffff,47733.0,0.0,11240.0,0.0
8248f7fffffffff,1521.0,0.0,0.0,0.0
824987fffffffff,28.0,0.0,0.0,0.0
82498ffffffffff,4.0,0.0,0.0,0.0
824997fffffffff,91.0,12.0,0.0,0.0
82499ffffffffff,7.0,0.0,0.0,0.0
8249a7fffffffff,98.0,0.0,0.0,0.0
8249affffffffff,648.0,0.0,0.0,0.0
8249b7fffffffff,106.0,0.0,0.0,0.0
826d07fffffffff,219.0,35.0,0.0,0.0
826d17fffffffff,515.0,56.0,0.0,0.0
826d27fffffffff,6.0,0.0,0.0,0.0
826d2ffffffffff,3.0,0.0,0.0,0.0
826d37fffffffff,308.0,23.0,0.0,0.0
826d67fffffffff,3.0,0.0,0.0,0.0
