cell_id,Tricholaema hirsuta,Tricholaema hirsuta hirsuta,Tricholaema hirsuta [flavipunctata Group]
83750dfffffffff,1.0,1.0,0.0
83752afffffffff,1.0,1.0,0.0
837a4cfffffffff,5.0,0.0,3.0
837a4dfffffffff,2.0,0.0,2.0
