cell_id,Tangara gyrola,Tangara gyrola [albertinae Group],Tangara gyrola viridissima/toddi,Tangara gyrola gyrola
825f07fffffffff,55.0,0.0,0.0,0.0
825f0ffffffffff,3.0,0.0,0.0,0.0
825f17fffffffff,11.0,0.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0,0.0
825f2ffffffffff,189.0,0.0,0.0,0.0
825f47fffffffff,21.0,0.0,0.0,0.0
825f4ffffffffff,202.0,0.0,0.0,0.0
825f5ffffffffff,1688.0,0.0,1.0,0.0
825f6ffffffffff,4.0,0.0,0.0,0.0
825f77fffffffff,112.0,0.0,0.0,2.0
826607fffffffff,8.0,0.0,0.0,0.0
82660ffffffffff,2462.0,40.0,0.0,0.0
826617fffffffff,414.0,33.0,0.0,0.0
82661ffffffffff,10730.0,301.0,0.0,0.0
826627fffffffff,4725.0,0.0,1245.0,0.0
82662ffffffffff,324.0,0.0,4.0,0.0
826647fffffffff,3.0,0.0,0.0,0.0
826657fffffffff,2.0,0.0,0.0,0.0
82665ffffffffff,128.0,4.0,0.0,0.0
8266a7fffffffff,5618.0,304.0,0.0,0.0
8266affffffffff,2.0,0.0,0.0,0.0
8266b7fffffffff,12082.0,32.0,0.0,0.0
8266c7fffffffff,2963.0,37.0,0.0,0.0
8266cffffffffff,6.0,0.0,0.0,0.0
8266d7fffffffff,5363.0,502.0,0.0,0.0
8266dffffffffff,1883.0,250.0,0.0,0.0
8266e7fffffffff,11584.0,317.0,0.0,0.0
8266effffffffff,6.0,2.0,0.0,0.0
8266f7fffffffff,4232.0,69.0,0.0,0.0
826747fffffffff,729.0,0.0,10.0,0.0
82674ffffffffff,1308.0,0.0,32.0,0.0
826757fffffffff,287.0,0.0,0.0,0.0
82675ffffffffff,286.0,0.0,2.0,0.0
826797fffffffff,8.0,0.0,0.0,0.0
82679ffffffffff,436.0,0.0,0.0,0.0
826d67fffffffff,30.0,0.0,0.0,0.0
826d6ffffffffff,8557.0,0.0,0.0,0.0
828047fffffffff,14.0,0.0,0.0,0.0
828067fffffffff,16.0,0.0,0.0,0.0
828077fffffffff,7.0,0.0,0.0,0.0
82814ffffffffff,54.0,0.0,0.0,0.0
828a07fffffffff,10.0,0.0,0.0,0.0
828a27fffffffff,7.0,0.0,0.0,0.0
828a37fffffffff,3.0,0.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0,0.0
828a4ffffffffff,2.0,0.0,0.0,0.0
828a6ffffffffff,14.0,0.0,0.0,0.0
828a97fffffffff,11.0,0.0,0.0,0.0
828b0ffffffffff,5.0,0.0,0.0,0.0
828b27fffffffff,33.0,0.0,0.0,0.0
828b2ffffffffff,34.0,0.0,0.0,0.0
828b47fffffffff,6.0,0.0,0.0,0.0
828b5ffffffffff,2.0,0.0,0.0,0.0
828b67fffffffff,581.0,7.0,0.0,0.0
828b6ffffffffff,125.0,0.0,0.0,0.0
828b77fffffffff,140.0,0.0,0.0,0.0
828b87fffffffff,11.0,0.0,0.0,0.0
828b8ffffffffff,2.0,0.0,0.0,0.0
828b9ffffffffff,330.0,0.0,0.0,0.0
828bb7fffffffff,1.0,0.0,0.0,0.0
828e67fffffffff,48.0,0.0,0.0,0.0
828f0ffffffffff,994.0,121.0,0.0,0.0
828f27fffffffff,2.0,0.0,0.0,0.0
828f2ffffffffff,627.0,26.0,0.0,0.0
828f47fffffffff,817.0,44.0,0.0,0.0
828f4ffffffffff,86.0,0.0,0.0,0.0
828f57fffffffff,4.0,0.0,0.0,0.0
828f5ffffffffff,22.0,0.0,0.0,0.0
828f67fffffffff,1.0,0.0,0.0,0.0
828f77fffffffff,1479.0,160.0,0.0,0.0
82a8cffffffffff,7.0,0.0,0.0,0.0
82b327fffffffff,19.0,0.0,0.0,0.0
