cell_id,Pseudopipra pipra,Pseudopipra pipra anthracina,Pseudopipra pipra minima,Pseudopipra pipra unica/bolivari,Pseudopipra pipra coracina,Pseudopipra pipra comata/occulta,Pseudopipra pipra pipra,Pseudopipra pipra [microlopha Group],Pseudopipra pipra cephaleucos
82661ffffffffff,28.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266f7fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82679ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d6ffffffffff,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
