cell_id,Geoffroyus heteroclitus,Geoffroyus heteroclitus heteroclitus,Geoffroyus heteroclitus hyacinthinus
837680fffffffff,4.0,0.0,0.0
837683fffffffff,1.0,0.0,0.0
837684fffffffff,1.0,0.0,0.0
83768afffffffff,1.0,0.0,0.0
837699fffffffff,40.0,0.0,0.0
83769dfffffffff,29.0,0.0,0.0
837791fffffffff,2.0,0.0,0.0
837798fffffffff,5.0,0.0,0.0
837799fffffffff,1.0,0.0,0.0
83779afffffffff,1.0,0.0,0.0
83779bfffffffff,1.0,0.0,0.0
839c90fffffffff,52.0,6.0,0.0
839c91fffffffff,1.0,0.0,0.0
839c96fffffffff,2.0,0.0,0.0
839ec0fffffffff,13.0,0.0,0.0
839ec3fffffffff,2.0,0.0,0.0
839ed1fffffffff,1.0,0.0,0.0
839ed3fffffffff,2.0,0.0,0.0
839ed5fffffffff,17.0,0.0,0.0
839ed8fffffffff,1.0,0.0,0.0
839edafffffffff,5.0,0.0,0.0
839edefffffffff,16.0,0.0,0.0
