cell_id,Irena cyanogastra,Irena cyanogastra cyanogastra,Irena cyanogastra ellae,Irena cyanogastra melanochlamys/hoogstraali
846841bffffffff,2.0,0.0,0.0,0.0
8468435ffffffff,1.0,0.0,0.0,0.0
846843dffffffff,1.0,0.0,0.0,0.0
8468447ffffffff,41.0,0.0,2.0,0.0
84684e5ffffffff,65.0,0.0,0.0,3.0
846856bffffffff,26.0,0.0,0.0,4.0
84685dbffffffff,1.0,0.0,0.0,0.0
84685e1ffffffff,4.0,0.0,0.0,0.0
84685e7ffffffff,1.0,0.0,0.0,0.0
84685e9ffffffff,21.0,0.0,0.0,6.0
8468651ffffffff,9.0,2.0,0.0,0.0
8468657ffffffff,14.0,2.0,0.0,0.0
84686e9ffffffff,42.0,0.0,4.0,0.0
8469433ffffffff,14.0,0.0,0.0,0.0
8469439ffffffff,21.0,0.0,0.0,0.0
846943bffffffff,1.0,0.0,0.0,0.0
8469453ffffffff,1.0,0.0,0.0,0.0
84694a9ffffffff,1.0,0.0,0.0,0.0
84694b7ffffffff,1.0,0.0,0.0,0.0
84694cdffffffff,19.0,9.0,0.0,0.0
84694e1ffffffff,451.0,13.0,0.0,0.0
84694e5ffffffff,10.0,0.0,0.0,0.0
84694e7ffffffff,10.0,0.0,0.0,0.0
84694e9ffffffff,1.0,0.0,0.0,0.0
84694ebffffffff,13.0,0.0,0.0,0.0
84694edffffffff,1.0,0.0,0.0,0.0
84695d9ffffffff,2.0,0.0,0.0,0.0
8469683ffffffff,7.0,0.0,0.0,0.0
846968bffffffff,1.0,0.0,0.0,0.0
846969dffffffff,4.0,2.0,0.0,0.0
84696b9ffffffff,1.0,0.0,0.0,0.0
84696c3ffffffff,1.0,0.0,0.0,0.0
84696cbffffffff,19.0,0.0,0.0,0.0
84696d7ffffffff,25.0,0.0,0.0,0.0
