cell_id,Loxia leucoptera,Loxia leucoptera bifasciata,Loxia leucoptera leucoptera
820807fffffffff,1.0,0.0,0.0
820817fffffffff,1.0,0.0,0.0
820887fffffffff,5.0,0.0,0.0
82089ffffffffff,10.0,4.0,0.0
8208a7fffffffff,2.0,0.0,0.0
8208affffffffff,1.0,0.0,0.0
8208c7fffffffff,2.0,0.0,0.0
8208cffffffffff,5.0,0.0,0.0
8208d7fffffffff,6.0,0.0,0.0
8208dffffffffff,5.0,2.0,0.0
8208e7fffffffff,2.0,0.0,0.0
82094ffffffffff,2.0,0.0,0.0
820997fffffffff,10.0,0.0,0.0
820c07fffffffff,40.0,0.0,0.0
820c0ffffffffff,20.0,0.0,0.0
820c17fffffffff,8.0,0.0,0.0
820c27fffffffff,29.0,0.0,0.0
820c2ffffffffff,68.0,0.0,0.0
820c37fffffffff,3.0,0.0,0.0
820c47fffffffff,532.0,0.0,0.0
820c57fffffffff,558.0,0.0,0.0
820c5ffffffffff,115.0,0.0,0.0
820c67fffffffff,294.0,0.0,0.0
820c77fffffffff,1858.0,0.0,13.0
820ce7fffffffff,1.0,0.0,0.0
820ceffffffffff,9.0,0.0,0.0
820d1ffffffffff,2.0,0.0,0.0
820d47fffffffff,82.0,0.0,0.0
820d4ffffffffff,132.0,0.0,0.0
820d57fffffffff,95.0,0.0,0.0
820d5ffffffffff,835.0,0.0,0.0
820d67fffffffff,23.0,0.0,0.0
820d6ffffffffff,27.0,0.0,0.0
820d77fffffffff,3.0,0.0,0.0
820e2ffffffffff,4.0,0.0,0.0
820e47fffffffff,13.0,0.0,0.0
820e4ffffffffff,400.0,0.0,0.0
820e57fffffffff,74.0,0.0,0.0
820e5ffffffffff,83.0,0.0,0.0
820e67fffffffff,17.0,0.0,0.0
820e6ffffffffff,27.0,0.0,0.0
820e87fffffffff,134.0,0.0,0.0
820e8ffffffffff,13.0,0.0,0.0
820e97fffffffff,16.0,0.0,0.0
820e9ffffffffff,5.0,0.0,0.0
820ec7fffffffff,104.0,0.0,0.0
820ecffffffffff,1112.0,0.0,0.0
820ed7fffffffff,24.0,0.0,0.0
820edffffffffff,35.0,0.0,0.0
820ee7fffffffff,1.0,0.0,0.0
820eeffffffffff,1856.0,0.0,0.0
820ef7fffffffff,9.0,0.0,0.0
820f4ffffffffff,4.0,0.0,0.0
8210effffffffff,7.0,2.0,0.0
821107fffffffff,5.0,0.0,0.0
821127fffffffff,2.0,0.0,0.0
821207fffffffff,3.0,0.0,0.0
82120ffffffffff,11.0,0.0,0.0
821217fffffffff,66.0,0.0,0.0
82121ffffffffff,115.0,0.0,0.0
821227fffffffff,2.0,0.0,0.0
82122ffffffffff,10.0,0.0,0.0
821237fffffffff,59.0,0.0,0.0
821247fffffffff,26.0,0.0,0.0
82124ffffffffff,38.0,0.0,0.0
821257fffffffff,293.0,0.0,0.0
82125ffffffffff,196.0,0.0,0.0
821267fffffffff,6.0,0.0,0.0
82126ffffffffff,6.0,0.0,0.0
821277fffffffff,243.0,0.0,0.0
821287fffffffff,64.0,0.0,0.0
82128ffffffffff,317.0,0.0,0.0
821297fffffffff,4.0,0.0,0.0
8212a7fffffffff,10.0,0.0,0.0
8212affffffffff,347.0,0.0,0.0
8212b7fffffffff,84.0,0.0,0.0
8212c7fffffffff,1478.0,0.0,2.0
8212cffffffffff,2262.0,0.0,0.0
8212d7fffffffff,278.0,0.0,0.0
8212dffffffffff,386.0,0.0,0.0
8212e7fffffffff,381.0,0.0,0.0
8212effffffffff,529.0,0.0,0.0
8212f7fffffffff,527.0,0.0,0.0
821307fffffffff,18.0,0.0,0.0
821317fffffffff,2.0,0.0,0.0
821347fffffffff,2.0,0.0,0.0
821357fffffffff,40.0,0.0,0.0
821387fffffffff,1881.0,0.0,0.0
82138ffffffffff,413.0,0.0,0.0
821397fffffffff,174.0,0.0,0.0
82139ffffffffff,373.0,0.0,0.0
8213a7fffffffff,20.0,0.0,0.0
8213affffffffff,5.0,0.0,0.0
8213b7fffffffff,335.0,0.0,0.0
821aa7fffffffff,535.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0
821b87fffffffff,34.0,0.0,0.0
821b97fffffffff,19.0,0.0,0.0
821b9ffffffffff,135.0,0.0,0.0
821bb7fffffffff,9.0,0.0,0.0
821d27fffffffff,9.0,0.0,0.0
821f07fffffffff,3.0,1.0,0.0
821f2ffffffffff,1.0,0.0,0.0
82255ffffffffff,8.0,0.0,0.0
822617fffffffff,2.0,0.0,0.0
822627fffffffff,216.0,0.0,0.0
82262ffffffffff,44.0,0.0,0.0
822637fffffffff,47.0,0.0,0.0
822687fffffffff,31.0,0.0,0.0
8226b7fffffffff,29.0,0.0,0.0
822707fffffffff,429.0,0.0,0.0
82270ffffffffff,2250.0,0.0,0.0
822717fffffffff,130.0,0.0,0.0
82271ffffffffff,167.0,0.0,0.0
822727fffffffff,8.0,0.0,0.0
82272ffffffffff,2.0,0.0,0.0
822737fffffffff,1.0,0.0,0.0
822747fffffffff,498.0,0.0,0.0
82274ffffffffff,29.0,0.0,0.0
822757fffffffff,1190.0,0.0,0.0
82275ffffffffff,129.0,0.0,0.0
822767fffffffff,725.0,0.0,0.0
82276ffffffffff,79.0,0.0,0.0
822777fffffffff,620.0,0.0,0.0
82278ffffffffff,12.0,0.0,0.0
822797fffffffff,16.0,0.0,0.0
82279ffffffffff,7.0,0.0,0.0
8227a7fffffffff,87.0,0.0,0.0
8227affffffffff,78.0,0.0,0.0
8227b7fffffffff,81.0,0.0,0.0
822887fffffffff,8.0,0.0,0.0
822897fffffffff,93.0,0.0,0.0
82289ffffffffff,71.0,0.0,0.0
8228d7fffffffff,122.0,0.0,0.0
8228dffffffffff,2.0,0.0,0.0
822a07fffffffff,20.0,0.0,0.0
822a17fffffffff,6.0,0.0,0.0
822a37fffffffff,285.0,0.0,0.0
822a97fffffffff,28.0,0.0,0.0
822ab7fffffffff,32.0,0.0,0.0
822b07fffffffff,1025.0,0.0,0.0
822b0ffffffffff,654.0,0.0,0.0
822b17fffffffff,3814.0,0.0,0.0
822b1ffffffffff,1188.0,0.0,0.0
822b27fffffffff,506.0,0.0,0.0
822b2ffffffffff,241.0,0.0,0.0
822b37fffffffff,1419.0,0.0,0.0
822b87fffffffff,1591.0,0.0,0.0
822b8ffffffffff,772.0,0.0,0.0
822b97fffffffff,654.0,0.0,0.0
822b9ffffffffff,3681.0,0.0,60.0
822ba7fffffffff,2184.0,0.0,0.0
822baffffffffff,3684.0,0.0,0.0
822bb7fffffffff,564.0,0.0,0.0
