cell_id,Francolinus francolinus,Francolinus francolinus francolinus/arabistanicus,Francolinus francolinus [henrici Group]
822c0ffffffffff,3.0,0.0,0.0
822ce7fffffffff,8.0,4.0,0.0
822da7fffffffff,2.0,1.0,0.0
822daffffffffff,2.0,2.0,0.0
822db7fffffffff,7.0,0.0,0.0
823c1ffffffffff,11.0,0.0,0.0
823c37fffffffff,5.0,0.0,0.0
823c87fffffffff,2.0,0.0,0.0
823c8ffffffffff,26.0,0.0,0.0
823caffffffffff,23.0,0.0,0.0
823ce7fffffffff,30.0,0.0,0.0
823cf7fffffffff,4.0,0.0,0.0
823d17fffffffff,5.0,0.0,0.0
823d87fffffffff,3.0,0.0,0.0
823d8ffffffffff,5.0,0.0,0.0
823da7fffffffff,8.0,0.0,0.0
823daffffffffff,6.0,0.0,3.0
823db7fffffffff,1.0,0.0,0.0
823f4ffffffffff,1.0,1.0,0.0
8243a7fffffffff,4.0,0.0,0.0
82446ffffffffff,6.0,0.0,0.0
82464ffffffffff,2.0,0.0,0.0
825d17fffffffff,4.0,0.0,0.0
