cell_id,Myiotriccus ornatus,Myiotriccus ornatus ornatus/stellatus,Myiotriccus ornatus phoenicurus/aureiventris
836608fffffffff,642.0,6.0,0.0
83660afffffffff,4.0,0.0,0.0
83660bfffffffff,16.0,0.0,0.0
83660cfffffffff,1.0,0.0,0.0
836618fffffffff,44.0,0.0,0.0
836619fffffffff,81.0,0.0,0.0
83661afffffffff,8.0,0.0,0.0
83661bfffffffff,3103.0,461.0,0.0
83661dfffffffff,687.0,0.0,0.0
83661efffffffff,9.0,0.0,0.0
8366c2fffffffff,164.0,0.0,2.0
8366c6fffffffff,32.0,0.0,0.0
8366d0fffffffff,2618.0,493.0,0.0
8366d1fffffffff,373.0,0.0,23.0
8366d2fffffffff,40.0,6.0,0.0
8366d3fffffffff,7293.0,870.0,0.0
8366d5fffffffff,3.0,0.0,0.0
8366dafffffffff,110.0,0.0,0.0
8366defffffffff,1685.0,0.0,175.0
8366e0fffffffff,49.0,0.0,0.0
8366e2fffffffff,6.0,0.0,0.0
8366e4fffffffff,36.0,0.0,0.0
8366e5fffffffff,1.0,0.0,0.0
8366e6fffffffff,151.0,0.0,0.0
8366f0fffffffff,198.0,0.0,0.0
8366f1fffffffff,741.0,36.0,0.0
8366f3fffffffff,14.0,0.0,0.0
8366f5fffffffff,186.0,1.0,0.0
838b61fffffffff,176.0,0.0,3.0
838b63fffffffff,6.0,0.0,0.0
838b6cfffffffff,6.0,0.0,0.0
838b6dfffffffff,2.0,0.0,0.0
838e64fffffffff,9.0,0.0,0.0
838e65fffffffff,3.0,0.0,0.0
838f0dfffffffff,575.0,42.0,0.0
838f29fffffffff,123.0,0.0,0.0
838f2afffffffff,3.0,0.0,0.0
838f2bfffffffff,56.0,0.0,0.0
838f2cfffffffff,7.0,0.0,0.0
838f2dfffffffff,3.0,0.0,0.0
838f40fffffffff,3.0,0.0,0.0
838f42fffffffff,4.0,0.0,0.0
838f46fffffffff,277.0,0.0,16.0
838f48fffffffff,6.0,0.0,0.0
838f4afffffffff,22.0,0.0,0.0
838f5dfffffffff,28.0,0.0,0.0
838f70fffffffff,178.0,0.0,30.0
838f72fffffffff,673.0,0.0,88.0
838f73fffffffff,40.0,0.0,0.0
838f74fffffffff,40.0,0.0,0.0
838f76fffffffff,64.0,0.0,0.0
