cell_id,Pterocles lichtensteinii,Pterocles lichtensteinii [lichtensteinii Group],Pterocles lichtensteinii arabicus
843e689ffffffff,430.0,21.0,0.0
843e68dffffffff,19.0,2.0,0.0
843e6a1ffffffff,1.0,0.0,0.0
843e6a7ffffffff,4.0,0.0,0.0
843e6c3ffffffff,2.0,0.0,0.0
8442e41ffffffff,10.0,0.0,0.0
8443813ffffffff,2.0,0.0,0.0
8443881ffffffff,6.0,0.0,0.0
8443889ffffffff,13.0,0.0,0.0
84438c7ffffffff,6.0,0.0,0.0
84438cdffffffff,6.0,0.0,0.0
84438e9ffffffff,2.0,0.0,0.0
8443983ffffffff,2.0,0.0,0.0
84439e3ffffffff,2.0,0.0,0.0
8443a89ffffffff,18.0,0.0,0.0
8443a8dffffffff,11.0,0.0,0.0
8443ac3ffffffff,30.0,0.0,0.0
8443ac7ffffffff,27.0,0.0,0.0
8443acbffffffff,1.0,0.0,0.0
8443ae1ffffffff,2.0,0.0,0.0
8443ae5ffffffff,743.0,0.0,0.0
8443aebffffffff,2.0,0.0,0.0
8452025ffffffff,1.0,0.0,0.0
84521c5ffffffff,2.0,0.0,0.0
8452335ffffffff,1.0,0.0,0.0
84524d7ffffffff,13.0,0.0,0.0
84524d9ffffffff,1.0,0.0,0.0
84524ddffffffff,4.0,0.0,0.0
8452803ffffffff,2.0,0.0,0.0
8452893ffffffff,2.0,0.0,0.0
8452897ffffffff,6.0,0.0,0.0
8452d41ffffffff,18.0,0.0,0.0
8452d45ffffffff,14.0,0.0,0.0
8452d47ffffffff,3.0,0.0,0.0
8452d69ffffffff,7.0,0.0,0.0
8452d6bffffffff,5.0,0.0,0.0
8452d6dffffffff,7.0,0.0,0.0
8452dc5ffffffff,2.0,0.0,0.0
8452dedffffffff,2.0,0.0,0.0
845313bffffffff,1.0,0.0,0.0
846330bffffffff,14.0,0.0,0.0
846332dffffffff,13.0,0.0,0.0
846333dffffffff,8.0,0.0,0.0
8463353ffffffff,4.0,0.0,0.0
8463367ffffffff,1.0,0.0,0.0
8463ae3ffffffff,13.0,0.0,0.0
8463ae5ffffffff,1.0,1.0,0.0
846a587ffffffff,9.0,0.0,0.0
847a401ffffffff,40.0,0.0,0.0
847a403ffffffff,6.0,0.0,0.0
847a405ffffffff,25.0,0.0,0.0
847a407ffffffff,52.0,0.0,0.0
847a40bffffffff,4.0,0.0,0.0
847a413ffffffff,10.0,2.0,0.0
847a41bffffffff,4.0,0.0,0.0
847a41dffffffff,22.0,0.0,0.0
847a531ffffffff,2.0,0.0,0.0
847a58dffffffff,1.0,0.0,0.0
847ad91ffffffff,24.0,0.0,0.0
847ad95ffffffff,7.0,0.0,0.0
847ad99ffffffff,22.0,0.0,0.0
847ad9dffffffff,7.0,0.0,0.0
