cell_id,Progne subis,Progne subis subis/arboricola,Progne subis hesperia
82121ffffffffff,2.0,0.0,0.0
82124ffffffffff,58.0,0.0,0.0
821257fffffffff,306.0,12.0,0.0
82125ffffffffff,325.0,0.0,0.0
82129ffffffffff,19.0,0.0,0.0
8212cffffffffff,113.0,0.0,0.0
8212e7fffffffff,61.0,0.0,0.0
8212effffffffff,1176.0,26.0,0.0
821ab7fffffffff,2.0,0.0,0.0
822607fffffffff,442.0,6.0,0.0
82260ffffffffff,1384.0,5.0,0.0
822617fffffffff,122.0,2.0,0.0
82261ffffffffff,235.0,0.0,0.0
822627fffffffff,2819.0,0.0,0.0
82262ffffffffff,854.0,0.0,0.0
822637fffffffff,723.0,0.0,0.0
822647fffffffff,4952.0,0.0,0.0
82264ffffffffff,4672.0,0.0,0.0
822657fffffffff,6255.0,0.0,0.0
82265ffffffffff,2762.0,0.0,0.0
822667fffffffff,8522.0,0.0,0.0
82266ffffffffff,4081.0,0.0,0.0
822677fffffffff,1371.0,0.0,0.0
822687fffffffff,99.0,0.0,0.0
82268ffffffffff,8.0,0.0,0.0
822697fffffffff,147.0,0.0,0.0
82269ffffffffff,476.0,0.0,0.0
8226affffffffff,27.0,0.0,0.0
8226c7fffffffff,1285.0,0.0,0.0
8226cffffffffff,4762.0,0.0,0.0
8226d7fffffffff,54.0,0.0,0.0
8226dffffffffff,988.0,0.0,0.0
8226e7fffffffff,3077.0,0.0,0.0
8226effffffffff,1769.0,0.0,0.0
8226f7fffffffff,340.0,0.0,0.0
822707fffffffff,1659.0,0.0,0.0
82270ffffffffff,363.0,0.0,0.0
822717fffffffff,779.0,0.0,0.0
82271ffffffffff,810.0,0.0,0.0
822747fffffffff,1216.0,0.0,0.0
82274ffffffffff,5886.0,0.0,0.0
822757fffffffff,1443.0,0.0,0.0
82275ffffffffff,6898.0,0.0,0.0
82276ffffffffff,2081.0,0.0,0.0
822777fffffffff,1.0,0.0,0.0
822787fffffffff,134.0,0.0,0.0
82278ffffffffff,31.0,0.0,0.0
822797fffffffff,2.0,0.0,0.0
8227a7fffffffff,889.0,0.0,0.0
8227affffffffff,1068.0,0.0,0.0
8227b7fffffffff,111.0,0.0,0.0
822807fffffffff,1061.0,0.0,0.0
822817fffffffff,7.0,0.0,0.0
82281ffffffffff,2227.0,0.0,0.0
822837fffffffff,1471.0,29.0,0.0
8228c7fffffffff,886.0,0.0,0.0
8228d7fffffffff,12087.0,0.0,0.0
8228dffffffffff,5360.0,0.0,0.0
8228f7fffffffff,7583.0,0.0,0.0
822917fffffffff,271.0,0.0,0.0
82291ffffffffff,324.0,0.0,0.0
822997fffffffff,14.0,0.0,0.0
8229a7fffffffff,394.0,0.0,0.0
8229affffffffff,246.0,0.0,0.0
8229b7fffffffff,193.0,2.0,0.0
822a07fffffffff,2.0,0.0,0.0
822a17fffffffff,18854.0,0.0,0.0
822a37fffffffff,7468.0,28.0,0.0
822a4ffffffffff,74.0,0.0,0.0
822a87fffffffff,2195.0,12.0,0.0
822a8ffffffffff,4685.0,0.0,0.0
822a97fffffffff,6932.0,0.0,0.0
822a9ffffffffff,1399.0,7.0,0.0
822aa7fffffffff,6790.0,2.0,0.0
822aaffffffffff,50548.0,491.0,0.0
822ab7fffffffff,39429.0,5.0,0.0
822ad7fffffffff,4131.0,0.0,0.0
822af7fffffffff,8684.0,0.0,0.0
