cell_id,Passerculus sandwichensis,Passerculus sandwichensis [sandwichensis Group],Passerculus sandwichensis princeps,Passerculus sandwichensis [guttatus Group],Passerculus sandwichensis sanctorum,Passerculus sandwichensis rostratus/atratus
830c14fffffffff,28.0,4.0,0.0,0.0,0.0,0.0
830c1efffffffff,21.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
830c42fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,6.0,6.0,0.0,0.0,0.0,0.0
830c51fffffffff,4.0,1.0,0.0,0.0,0.0,0.0
830c52fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c54fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,45.0,0.0,0.0,0.0,0.0,0.0
830c62fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c65fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c68fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830c69fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830c6afffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c70fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830c71fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
830ca4fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830ca5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830cadfffffffff,4.0,2.0,0.0,0.0,0.0,0.0
830ccafffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830cd8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830cdefffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ce8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ceefffffffff,29.0,0.0,0.0,0.0,0.0,0.0
830d03fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830d0dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d59fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
830d62fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830d66fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
830d76fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
830e4dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830e80fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
830ec1fffffffff,103.0,0.0,0.0,0.0,0.0,0.0
830ecafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ecbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830eccfffffffff,124.0,0.0,0.0,0.0,0.0,0.0
830ee8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830eeafffffffff,602.0,0.0,0.0,0.0,0.0,0.0
830eebfffffffff,74.0,0.0,0.0,0.0,0.0,0.0
830eeefffffffff,8.0,0.0,0.0,0.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831259fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83125dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831289fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
83128afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83128bfffffffff,527.0,0.0,0.0,0.0,0.0,0.0
831290fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312b0fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8312c1fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8312c9fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8312cbfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8312ccfffffffff,26.0,4.0,0.0,0.0,0.0,0.0
8312cefffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312d1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312d4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312d8fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312d9fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8312dcfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
