cell_id,Treron calvus,Treron calvus [calvus Group],Treron calvus delalandii/granti
826ac7fffffffff,21.0,0.0,0.0
827a47fffffffff,3.0,1.0,0.0
827a4ffffffffff,2.0,0.0,0.0
827a67fffffffff,60.0,0.0,0.0
827a6ffffffffff,2.0,0.0,0.0
827b4ffffffffff,13.0,0.0,0.0
8282c7fffffffff,3.0,0.0,0.0
829627fffffffff,5.0,0.0,0.0
829697fffffffff,2.0,0.0,0.0
82974ffffffffff,2.0,2.0,0.0
82975ffffffffff,2.0,0.0,0.0
82ac87fffffffff,2.0,0.0,0.0
82ac8ffffffffff,2.0,0.0,0.0
82bc77fffffffff,4.0,0.0,4.0
82bcc7fffffffff,1.0,0.0,1.0
82bcd7fffffffff,44.0,0.0,39.0
82bcdffffffffff,4.0,0.0,2.0
82bcf7fffffffff,5.0,0.0,5.0
