cell_id,Rhipidura melanolaema,Rhipidura melanolaema melanolaema/utupuae,Rhipidura melanolaema agilis
849e8c9ffffffff,4.0,1.0,0.0
849e8cbffffffff,7.0,0.0,0.0
849ea85ffffffff,1.0,0.0,0.0
849eae3ffffffff,2.0,0.0,0.0
