cell_id,Grallaricula nana,Grallaricula nana [nana Group],Grallaricula nana kukenamensis
835f70fffffffff,4.0,0.0,3.0
835f71fffffffff,4.0,0.0,2.0
836608fffffffff,2.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0
83660cfffffffff,7.0,0.0,0.0
83660dfffffffff,6.0,0.0,0.0
836618fffffffff,147.0,2.0,0.0
836619fffffffff,106.0,3.0,0.0
83661bfffffffff,804.0,5.0,0.0
83661dfffffffff,8.0,0.0,0.0
836629fffffffff,27.0,3.0,0.0
83662bfffffffff,31.0,12.0,0.0
8366c0fffffffff,49.0,0.0,0.0
8366c2fffffffff,105.0,0.0,0.0
8366c4fffffffff,12.0,0.0,0.0
8366c6fffffffff,48.0,0.0,0.0
8366d1fffffffff,4.0,0.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366defffffffff,473.0,75.0,0.0
8366e0fffffffff,139.0,0.0,0.0
8366e2fffffffff,2.0,1.0,0.0
8366e5fffffffff,42.0,0.0,0.0
8366e6fffffffff,2152.0,62.0,0.0
8366f1fffffffff,55.0,0.0,0.0
8366f3fffffffff,6.0,0.0,0.0
8366f5fffffffff,93.0,0.0,0.0
836741fffffffff,11.0,0.0,0.0
83674efffffffff,42.0,2.0,0.0
83675afffffffff,41.0,0.0,0.0
838f29fffffffff,4.0,0.0,0.0
838f54fffffffff,11.0,0.0,0.0
838f70fffffffff,1.0,0.0,0.0
838f72fffffffff,236.0,22.0,0.0
838f74fffffffff,5.0,0.0,0.0
838f76fffffffff,26.0,0.0,0.0
