cell_id,Campethera maculosa,Campethera maculosa maculosa,Campethera maculosa permista,Campethera maculosa [cailliautii Group]
835285fffffffff,3.0,0.0,0.0,0.0
8354e0fffffffff,2.0,2.0,0.0,0.0
8354e2fffffffff,11.0,11.0,0.0,0.0
8354f1fffffffff,7.0,7.0,0.0,0.0
8354f6fffffffff,3.0,3.0,0.0,0.0
835894fffffffff,2.0,0.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0,0.0
8358d3fffffffff,4.0,0.0,0.0,0.0
8358dbfffffffff,2.0,0.0,0.0,0.0
8358defffffffff,2.0,0.0,0.0,0.0
8358f4fffffffff,1.0,0.0,0.0,0.0
836ac0fffffffff,1.0,0.0,0.0,0.0
836ac3fffffffff,2.0,0.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0,0.0
836acefffffffff,46.0,0.0,0.0,0.0
836ad8fffffffff,2.0,0.0,0.0,0.0
836ad9fffffffff,2.0,0.0,0.0,0.0
836adcfffffffff,18.0,0.0,0.0,0.0
836addfffffffff,6.0,0.0,0.0,0.0
837508fffffffff,11.0,10.0,0.0,0.0
83750dfffffffff,63.0,60.0,0.0,0.0
837520fffffffff,2.0,1.0,0.0,0.0
837529fffffffff,59.0,59.0,0.0,0.0
83752afffffffff,17.0,17.0,0.0,0.0
837584fffffffff,1.0,1.0,0.0,0.0
8375a0fffffffff,2.0,2.0,0.0,0.0
8375a3fffffffff,1.0,1.0,0.0,0.0
8375a8fffffffff,4.0,4.0,0.0,0.0
8375abfffffffff,1.0,1.0,0.0,0.0
8375b0fffffffff,2.0,2.0,0.0,0.0
8375b3fffffffff,1.0,1.0,0.0,0.0
837a68fffffffff,37.0,0.0,0.0,0.0
837a6cfffffffff,1.0,0.0,0.0,0.0
837a6dfffffffff,9.0,0.0,0.0,0.0
837a75fffffffff,1.0,0.0,0.0,0.0
837b48fffffffff,34.0,0.0,0.0,0.0
837b4afffffffff,2.0,0.0,0.0,0.0
837b4bfffffffff,7.0,0.0,0.0,0.0
837b59fffffffff,41.0,0.0,0.0,0.0
837b6bfffffffff,11.0,0.0,0.0,0.0
838212fffffffff,13.0,0.0,0.0,0.0
838218fffffffff,1.0,0.0,0.0,0.0
838280fffffffff,2.0,0.0,0.0,0.0
838284fffffffff,3.0,0.0,0.0,0.0
838288fffffffff,1.0,0.0,0.0,0.0
83828bfffffffff,6.0,0.0,0.0,0.0
83828dfffffffff,10.0,0.0,0.0,0.0
8382a0fffffffff,12.0,0.0,1.0,0.0
8382a3fffffffff,3.0,0.0,0.0,0.0
8382a8fffffffff,7.0,0.0,1.0,0.0
8382aafffffffff,3.0,0.0,2.0,0.0
8382d2fffffffff,5.0,0.0,0.0,0.0
8382d3fffffffff,1.0,0.0,0.0,0.0
8382f0fffffffff,5.0,0.0,0.0,0.0
838312fffffffff,1.0,0.0,0.0,0.0
838313fffffffff,2.0,0.0,0.0,0.0
838315fffffffff,6.0,0.0,0.0,0.0
83838afffffffff,3.0,0.0,0.0,0.0
83838efffffffff,1.0,0.0,0.0,0.0
838392fffffffff,1.0,0.0,0.0,0.0
8383a8fffffffff,7.0,0.0,0.0,0.0
8383acfffffffff,7.0,0.0,0.0,0.0
839600fffffffff,4.0,0.0,0.0,2.0
839601fffffffff,5.0,0.0,0.0,0.0
839602fffffffff,13.0,0.0,0.0,5.0
839604fffffffff,2.0,0.0,0.0,1.0
839609fffffffff,2.0,0.0,0.0,0.0
83960bfffffffff,5.0,0.0,0.0,0.0
83960efffffffff,2.0,0.0,0.0,1.0
839613fffffffff,2.0,0.0,0.0,0.0
839615fffffffff,2.0,0.0,0.0,0.0
839623fffffffff,1.0,0.0,0.0,0.0
839628fffffffff,3.0,0.0,0.0,0.0
83962afffffffff,2.0,0.0,0.0,0.0
83962bfffffffff,4.0,0.0,0.0,0.0
83962efffffffff,11.0,0.0,0.0,2.0
839636fffffffff,9.0,0.0,0.0,0.0
839656fffffffff,2.0,0.0,0.0,0.0
839688fffffffff,2.0,0.0,0.0,0.0
839690fffffffff,3.0,0.0,0.0,0.0
839692fffffffff,2.0,0.0,0.0,0.0
839693fffffffff,5.0,0.0,0.0,0.0
83969bfffffffff,5.0,0.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0,0.0
8396a5fffffffff,5.0,0.0,0.0,2.0
8396aafffffffff,2.0,0.0,0.0,0.0
8396b0fffffffff,6.0,0.0,0.0,0.0
8396b1fffffffff,2.0,0.0,0.0,0.0
8396b4fffffffff,4.0,0.0,0.0,0.0
8396b6fffffffff,3.0,0.0,0.0,0.0
839700fffffffff,1.0,0.0,0.0,0.0
839702fffffffff,9.0,0.0,0.0,0.0
839703fffffffff,12.0,0.0,0.0,0.0
839710fffffffff,24.0,0.0,0.0,0.0
839711fffffffff,23.0,0.0,0.0,1.0
839715fffffffff,1.0,0.0,0.0,0.0
83971cfffffffff,33.0,0.0,0.0,4.0
839735fffffffff,1.0,0.0,0.0,0.0
83978bfffffffff,4.0,0.0,0.0,0.0
83978dfffffffff,2.0,0.0,0.0,0.0
839799fffffffff,2.0,0.0,0.0,0.0
8397a8fffffffff,2.0,0.0,0.0,0.0
8397aafffffffff,2.0,0.0,0.0,2.0
83bc99fffffffff,7.0,0.0,0.0,0.0
