cell_id,Trachyphonus darnaudii,Trachyphonus darnaudii darnaudii/boehmi,Trachyphonus darnaudii usambiro,Trachyphonus darnaudii emini
846ac93ffffffff,1.0,0.0,1.0,0.0
847a403ffffffff,3.0,3.0,0.0,0.0
847a407ffffffff,3.0,3.0,0.0,0.0
847a413ffffffff,1.0,0.0,0.0,0.0
847a44bffffffff,4.0,4.0,0.0,0.0
847a457ffffffff,1.0,1.0,0.0,0.0
847a48dffffffff,7.0,0.0,0.0,0.0
847a4c1ffffffff,2.0,2.0,0.0,0.0
847a637ffffffff,2.0,2.0,0.0,0.0
847a681ffffffff,1.0,0.0,0.0,0.0
847a683ffffffff,2.0,0.0,2.0,0.0
847a685ffffffff,7.0,2.0,2.0,0.0
847a68dffffffff,1.0,0.0,0.0,0.0
847a6a7ffffffff,1.0,0.0,0.0,0.0
847a6bbffffffff,1.0,0.0,1.0,0.0
847a6e1ffffffff,2.0,2.0,0.0,0.0
847b4cbffffffff,1.0,0.0,0.0,0.0
8496907ffffffff,2.0,0.0,2.0,0.0
8496925ffffffff,1.0,0.0,0.0,0.0
8496933ffffffff,1.0,0.0,1.0,0.0
849693dffffffff,1.0,0.0,1.0,0.0
84969a5ffffffff,1.0,0.0,1.0,0.0
