cell_id,Chloris sinica,Chloris sinica [sinica Group],Chloris sinica kittlitzi
8416507ffffffff,2.0,0.0,0.0
84246c1ffffffff,2.0,0.0,0.0
84246c3ffffffff,3.0,0.0,0.0
8424c63ffffffff,3.0,0.0,0.0
842802bffffffff,2.0,0.0,0.0
84281b1ffffffff,21.0,0.0,0.0
842e0c9ffffffff,2.0,0.0,0.0
842e137ffffffff,1.0,1.0,0.0
842f5a3ffffffff,2.0,0.0,0.0
842f5adffffffff,1.0,1.0,0.0
842f5bbffffffff,1.0,1.0,0.0
8430305ffffffff,7.0,0.0,0.0
84309b3ffffffff,1.0,0.0,0.0
84309d9ffffffff,3.0,0.0,0.0
8431347ffffffff,2.0,0.0,0.0
84316e5ffffffff,2.0,0.0,0.0
8431859ffffffff,3.0,0.0,0.0
8431905ffffffff,2.0,2.0,0.0
8431a37ffffffff,2.0,0.0,0.0
8431aa5ffffffff,8.0,8.0,0.0
84408a9ffffffff,2.0,2.0,0.0
8440e37ffffffff,2.0,2.0,0.0
8440e3dffffffff,2.0,2.0,0.0
8441037ffffffff,4.0,0.0,0.0
84411b5ffffffff,1.0,0.0,0.0
8441a43ffffffff,9.0,0.0,0.0
8441a55ffffffff,4.0,0.0,0.0
8441b43ffffffff,4.0,0.0,0.0
8441b5dffffffff,2.0,0.0,0.0
844b26dffffffff,5.0,0.0,0.0
844b751ffffffff,2.0,0.0,0.0
844b759ffffffff,12.0,2.0,0.0
844ba1dffffffff,3.0,0.0,0.0
844ba29ffffffff,4.0,0.0,0.0
8464911ffffffff,3.0,0.0,0.0
