cell_id,Ketupa zeylonensis,Ketupa zeylonensis semenowi,Ketupa zeylonensis [zeylonensis Group]
823c07fffffffff,19.0,0.0,0.0
823c17fffffffff,33.0,0.0,0.0
823c1ffffffffff,38.0,0.0,0.0
823c37fffffffff,16.0,0.0,0.0
823c5ffffffffff,2.0,0.0,0.0
823c87fffffffff,17.0,0.0,0.0
823c8ffffffffff,27.0,0.0,0.0
823c97fffffffff,96.0,0.0,0.0
823ca7fffffffff,33.0,0.0,0.0
823cb7fffffffff,229.0,0.0,0.0
823cc7fffffffff,28.0,0.0,0.0
823cd7fffffffff,2.0,0.0,0.0
823ce7fffffffff,30.0,0.0,0.0
823ceffffffffff,153.0,0.0,0.0
823cf7fffffffff,54.0,0.0,0.0
823d17fffffffff,161.0,0.0,0.0
823d1ffffffffff,5.0,0.0,0.0
823d87fffffffff,154.0,0.0,0.0
823d8ffffffffff,11.0,0.0,0.0
823d97fffffffff,36.0,0.0,0.0
823d9ffffffffff,304.0,0.0,0.0
823daffffffffff,695.0,0.0,0.0
823db7fffffffff,84.0,0.0,0.0
824047fffffffff,2.0,0.0,0.0
82404ffffffffff,10.0,0.0,0.0
824077fffffffff,2.0,0.0,0.0
824107fffffffff,11.0,0.0,0.0
82411ffffffffff,22.0,0.0,0.0
824177fffffffff,1.0,0.0,0.0
8242c7fffffffff,38.0,0.0,0.0
8242cffffffffff,17.0,0.0,0.0
8242dffffffffff,43.0,0.0,0.0
826007fffffffff,183.0,0.0,0.0
826017fffffffff,441.0,0.0,0.0
82601ffffffffff,14.0,0.0,0.0
826027fffffffff,117.0,0.0,0.0
826037fffffffff,1756.0,0.0,0.0
82608ffffffffff,15.0,0.0,0.0
826097fffffffff,156.0,0.0,0.0
82609ffffffffff,69.0,0.0,0.0
8260a7fffffffff,207.0,0.0,0.0
8260affffffffff,231.0,0.0,0.0
8260b7fffffffff,54.0,0.0,0.0
8260f7fffffffff,3.0,0.0,0.0
826107fffffffff,224.0,0.0,13.0
826117fffffffff,102.0,0.0,1.0
82611ffffffffff,81.0,0.0,0.0
82618ffffffffff,32.0,0.0,0.0
826437fffffffff,2.0,0.0,0.0
82648ffffffffff,2.0,0.0,1.0
8264a7fffffffff,5.0,0.0,1.0
82651ffffffffff,3.0,0.0,0.0
826597fffffffff,186.0,0.0,0.0
82659ffffffffff,9.0,0.0,0.0
8265b7fffffffff,30.0,0.0,0.0
