cell_id,Calendulauda sabota,Calendulauda sabota [naevia Group],Calendulauda sabota [sabota Group]
8497291ffffffff,4.0,0.0,4.0
84ac801ffffffff,3.0,3.0,0.0
84ac82dffffffff,3.0,0.0,0.0
84ac863ffffffff,1.0,1.0,0.0
84ac867ffffffff,1.0,1.0,0.0
84acaedffffffff,1.0,0.0,1.0
84ada03ffffffff,4.0,4.0,0.0
84ada05ffffffff,1.0,1.0,0.0
84ada4dffffffff,13.0,11.0,0.0
84ada65ffffffff,1.0,1.0,0.0
84adb4dffffffff,1.0,1.0,0.0
84adb57ffffffff,2.0,2.0,0.0
84bc431ffffffff,3.0,0.0,0.0
84bc5b1ffffffff,1.0,1.0,0.0
84bcd27ffffffff,6.0,0.0,0.0
84bcd29ffffffff,3.0,0.0,3.0
84bcd63ffffffff,2.0,0.0,2.0
84bcd67ffffffff,1.0,0.0,1.0
84bcdcbffffffff,2.0,0.0,0.0
84bcdcdffffffff,7.0,0.0,0.0
84bcdd1ffffffff,2.0,0.0,0.0
84bce95ffffffff,5.0,5.0,0.0
