cell_id,Alaudala somalica,Alaudala somalica [somalica Group],Alaudala somalica athensis
837a40fffffffff,3.0,0.0,0.0
837a61fffffffff,11.0,0.0,3.0
837a68fffffffff,16.0,0.0,10.0
837a6efffffffff,2.0,0.0,1.0
837ae8fffffffff,3.0,1.0,0.0
