cell_id,Henicorhina leucosticta,Henicorhina leucosticta [prostheleuca Group],Henicorhina leucosticta pittieri/costaricensis,Henicorhina leucosticta inornata/eucharis,Henicorhina leucosticta [leucosticta Group]
824507fffffffff,79.0,0.0,0.0,0.0,0.0
82450ffffffffff,29.0,0.0,0.0,0.0,0.0
824527fffffffff,5438.0,0.0,0.0,0.0,0.0
82452ffffffffff,12206.0,49.0,0.0,0.0,0.0
824537fffffffff,1523.0,0.0,0.0,0.0,0.0
824997fffffffff,473.0,46.0,0.0,0.0,0.0
82499ffffffffff,15.0,0.0,0.0,0.0,0.0
825f07fffffffff,123.0,0.0,0.0,0.0,0.0
825f17fffffffff,16.0,0.0,0.0,0.0,0.0
825f1ffffffffff,1.0,0.0,0.0,0.0,0.0
825f2ffffffffff,21.0,0.0,0.0,0.0,0.0
825f47fffffffff,25.0,0.0,0.0,0.0,2.0
825f57fffffffff,5.0,0.0,0.0,0.0,0.0
825f6ffffffffff,11.0,0.0,0.0,0.0,0.0
825f77fffffffff,47.0,0.0,0.0,0.0,0.0
826607fffffffff,22.0,0.0,0.0,0.0,0.0
82660ffffffffff,904.0,0.0,0.0,0.0,14.0
826617fffffffff,835.0,0.0,117.0,0.0,0.0
82661ffffffffff,3357.0,0.0,0.0,1.0,15.0
826647fffffffff,27.0,0.0,0.0,0.0,0.0
82664ffffffffff,6.0,0.0,0.0,0.0,0.0
826657fffffffff,20.0,0.0,0.0,0.0,0.0
82665ffffffffff,203.0,0.0,0.0,0.0,0.0
826667fffffffff,2.0,0.0,0.0,0.0,0.0
82666ffffffffff,4.0,0.0,0.0,0.0,0.0
826677fffffffff,3.0,0.0,0.0,0.0,0.0
8266a7fffffffff,4911.0,0.0,318.0,0.0,0.0
8266affffffffff,6.0,0.0,0.0,0.0,0.0
8266b7fffffffff,7506.0,0.0,1.0,0.0,0.0
8266c7fffffffff,478.0,0.0,0.0,0.0,0.0
8266cffffffffff,44.0,0.0,0.0,0.0,0.0
8266d7fffffffff,1563.0,0.0,0.0,26.0,2.0
8266dffffffffff,1591.0,0.0,0.0,0.0,267.0
8266e7fffffffff,3030.0,0.0,0.0,0.0,20.0
8266effffffffff,38.0,0.0,0.0,0.0,0.0
8266f7fffffffff,1226.0,0.0,0.0,19.0,12.0
826797fffffffff,246.0,0.0,0.0,0.0,0.0
82679ffffffffff,2021.0,0.0,0.0,0.0,0.0
8267b7fffffffff,2.0,0.0,0.0,0.0,0.0
826d07fffffffff,55.0,5.0,0.0,0.0,0.0
826d27fffffffff,775.0,156.0,0.0,0.0,0.0
826d2ffffffffff,2688.0,296.0,0.0,0.0,0.0
826d37fffffffff,1505.0,159.0,0.0,0.0,0.0
826d67fffffffff,2126.0,0.0,0.0,0.0,0.0
826d6ffffffffff,14375.0,0.0,0.0,0.0,0.0
826d77fffffffff,2.0,0.0,0.0,0.0,0.0
82804ffffffffff,20.0,0.0,0.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0,0.0,0.0
828a47fffffffff,6.0,0.0,0.0,0.0,0.0
828a6ffffffffff,4.0,0.0,0.0,0.0,0.0
828af7fffffffff,7.0,0.0,0.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0,0.0,0.0
828f47fffffffff,78.0,0.0,0.0,0.0,0.0
828f4ffffffffff,7.0,0.0,0.0,0.0,0.0
828f57fffffffff,6.0,0.0,0.0,0.0,0.0
828f5ffffffffff,6.0,0.0,0.0,0.0,0.0
828f77fffffffff,560.0,0.0,0.0,0.0,67.0
