cell_id,Todiramphus tristrami,Todiramphus tristrami matthiae,Todiramphus tristrami stresemanni,Todiramphus tristrami [nusae Group],Todiramphus tristrami tristrami,Todiramphus tristrami alberti
837683fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83769dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8376a2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837791fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837795fffffffff,6.0,1.0,0.0,0.0,0.0,0.0
837798fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83779cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839c90fffffffff,5.0,0.0,0.0,0.0,3.0,0.0
839c96fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
839c9cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839ed5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
