cell_id,Geositta cunicularia,Geositta cunicularia [frobeni Group],Geositta cunicularia georgei,Geositta cunicularia deserticolor,Geositta cunicularia fissirostris,Geositta cunicularia [cunicularia Group]
828b27fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828b2ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,149.0,0.0,0.0,0.0,0.0,0.0
828b6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828e47fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828e67fffffffff,237.0,0.0,0.0,0.0,0.0,0.0
828e6ffffffffff,60.0,0.0,0.0,0.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82a837fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82a907fffffffff,190.0,0.0,0.0,0.0,0.0,5.0
82a90ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82a91ffffffffff,53.0,0.0,0.0,0.0,0.0,0.0
82a927fffffffff,53.0,0.0,0.0,0.0,0.0,0.0
82a92ffffffffff,97.0,0.0,0.0,0.0,0.0,0.0
82a977fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b207fffffffff,142.0,0.0,0.0,0.0,0.0,0.0
82b20ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82b21ffffffffff,772.0,0.0,0.0,0.0,0.0,0.0
82b227fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82b22ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82b247fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82b24ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82b257fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b25ffffffffff,64.0,0.0,0.0,0.0,0.0,0.0
82b277fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82b2c7fffffffff,272.0,0.0,0.0,0.0,0.0,0.0
82b2cffffffffff,67.0,0.0,0.0,0.0,0.0,0.0
82b2dffffffffff,192.0,0.0,0.0,0.0,0.0,0.0
82b2e7fffffffff,547.0,0.0,0.0,0.0,0.0,0.0
82b2effffffffff,36.0,0.0,0.0,0.0,0.0,0.0
82b307fffffffff,43.0,0.0,0.0,0.0,0.0,0.0
82b30ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82b327fffffffff,110.0,0.0,0.0,0.0,0.0,0.0
82b32ffffffffff,27.0,0.0,0.0,0.0,0.0,0.0
82b337fffffffff,212.0,0.0,0.0,0.0,0.0,0.0
82b357fffffffff,255.0,0.0,0.0,0.0,0.0,0.0
82b35ffffffffff,21.0,0.0,0.0,0.0,0.0,0.0
82b377fffffffff,53.0,0.0,0.0,0.0,0.0,0.0
82c207fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82c21ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82c227fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82c22ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
82c2c7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82c2d7fffffffff,42.0,0.0,0.0,0.0,0.0,0.0
82c2dffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
82c2e7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82c2effffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82c2f7fffffffff,149.0,0.0,0.0,0.0,0.0,2.0
82c307fffffffff,80.0,0.0,0.0,0.0,0.0,0.0
82c30ffffffffff,15.0,0.0,0.0,0.0,0.0,0.0
82c327fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
82c32ffffffffff,76.0,0.0,0.0,0.0,0.0,0.0
82c347fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
82c357fffffffff,49.0,0.0,0.0,0.0,0.0,0.0
82c367fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82c377fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82ce87fffffffff,57.0,0.0,0.0,0.0,0.0,0.0
82ce8ffffffffff,94.0,0.0,0.0,0.0,0.0,0.0
82ce97fffffffff,37.0,0.0,0.0,0.0,0.0,0.0
82ce9ffffffffff,144.0,0.0,0.0,0.0,0.0,0.0
82cea7fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
82ceaffffffffff,121.0,0.0,0.0,0.0,0.0,0.0
82ceb7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82cf17fffffffff,143.0,0.0,0.0,0.0,0.0,23.0
82cf87fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
82cf8ffffffffff,235.0,0.0,0.0,0.0,0.0,2.0
82cf97fffffffff,112.0,0.0,0.0,0.0,0.0,0.0
82cf9ffffffffff,20.0,0.0,0.0,0.0,0.0,0.0
82cfa7fffffffff,1638.0,0.0,0.0,0.0,0.0,164.0
82cfaffffffffff,169.0,0.0,0.0,0.0,0.0,0.0
82cfb7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
82df47fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
82df4ffffffffff,7.0,0.0,0.0,0.0,0.0,2.0
82df6ffffffffff,827.0,0.0,0.0,0.0,0.0,219.0
