cell_id,Xiphorhynchus erythropygius,Xiphorhynchus erythropygius erythropygius/parvus,Xiphorhynchus erythropygius [aequatorialis Group]
8445201ffffffff,33.0,0.0,0.0
8445203ffffffff,36.0,0.0,0.0
8445205ffffffff,4.0,0.0,0.0
8445207ffffffff,6.0,0.0,0.0
8445209ffffffff,4.0,0.0,0.0
844520bffffffff,23.0,0.0,0.0
844520dffffffff,105.0,0.0,0.0
844521dffffffff,27.0,0.0,0.0
8445221ffffffff,13.0,0.0,0.0
8445225ffffffff,39.0,0.0,0.0
844522bffffffff,6.0,0.0,0.0
844522dffffffff,3.0,0.0,0.0
8445243ffffffff,38.0,0.0,0.0
8445247ffffffff,8.0,0.0,0.0
8445253ffffffff,3.0,0.0,0.0
8445257ffffffff,7.0,0.0,0.0
844525bffffffff,52.0,0.0,0.0
844525dffffffff,2.0,0.0,0.0
8445263ffffffff,2.0,0.0,0.0
8445267ffffffff,2.0,0.0,0.0
8445269ffffffff,8.0,0.0,0.0
844526bffffffff,21.0,0.0,0.0
844526dffffffff,2.0,0.0,0.0
84452e5ffffffff,38.0,0.0,0.0
84452e9ffffffff,4.0,0.0,0.0
84452edffffffff,6.0,0.0,0.0
8445309ffffffff,2.0,0.0,0.0
844530dffffffff,4.0,0.0,0.0
8445319ffffffff,8.0,0.0,0.0
8445343ffffffff,3.0,0.0,0.0
8445351ffffffff,164.0,0.0,0.0
8449917ffffffff,22.0,0.0,0.0
844991dffffffff,2.0,0.0,0.0
844996bffffffff,3.0,0.0,0.0
84499c5ffffffff,2.0,0.0,0.0
8466037ffffffff,1.0,0.0,0.0
8466107ffffffff,14.0,0.0,0.0
8466113ffffffff,6.0,0.0,0.0
8466117ffffffff,1.0,0.0,0.0
8466129ffffffff,28.0,0.0,0.0
8466131ffffffff,44.0,0.0,5.0
8466137ffffffff,5.0,0.0,3.0
8466139ffffffff,62.0,0.0,4.0
846613dffffffff,2.0,0.0,0.0
8466163ffffffff,11.0,0.0,0.0
8466165ffffffff,2.0,0.0,0.0
8466181ffffffff,1.0,0.0,0.0
8466183ffffffff,4.0,0.0,0.0
8466185ffffffff,6.0,0.0,0.0
8466187ffffffff,1.0,0.0,0.0
8466193ffffffff,1.0,0.0,0.0
8466195ffffffff,3.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0
84661a5ffffffff,5.0,0.0,0.0
84661adffffffff,11.0,0.0,2.0
84661b1ffffffff,363.0,0.0,49.0
84661b3ffffffff,71.0,0.0,0.0
84661b9ffffffff,83.0,0.0,0.0
84661bbffffffff,24.0,0.0,0.0
84661bdffffffff,9.0,0.0,0.0
84661c9ffffffff,1.0,0.0,0.0
84661d1ffffffff,104.0,0.0,0.0
84661d7ffffffff,1.0,0.0,0.0
84661ddffffffff,7.0,0.0,0.0
84661ebffffffff,14.0,0.0,0.0
8466a01ffffffff,87.0,0.0,2.0
8466a05ffffffff,14.0,0.0,0.0
8466a0bffffffff,1363.0,0.0,84.0
8466a29ffffffff,2.0,0.0,2.0
8466a2dffffffff,8.0,0.0,0.0
8466a57ffffffff,793.0,0.0,35.0
8466a5bffffffff,260.0,0.0,5.0
8466b41ffffffff,121.0,0.0,0.0
8466b43ffffffff,20.0,0.0,0.0
8466b45ffffffff,159.0,0.0,0.0
8466b47ffffffff,26.0,0.0,0.0
8466b49ffffffff,1187.0,0.0,0.0
8466b4dffffffff,1210.0,0.0,0.0
8466b51ffffffff,123.0,0.0,4.0
8466b53ffffffff,2.0,0.0,0.0
8466b55ffffffff,378.0,0.0,0.0
8466b5bffffffff,208.0,0.0,13.0
8466b5dffffffff,32.0,0.0,0.0
8466c6dffffffff,1.0,0.0,0.0
8466d01ffffffff,4.0,0.0,0.0
8466d03ffffffff,19.0,0.0,0.0
8466d05ffffffff,4.0,0.0,0.0
8466d07ffffffff,46.0,0.0,2.0
8466d0bffffffff,700.0,0.0,49.0
8466d0dffffffff,8.0,0.0,0.0
8466d23ffffffff,23.0,0.0,1.0
8466d25ffffffff,4.0,0.0,0.0
8466d27ffffffff,8.0,0.0,0.0
8466d31ffffffff,2591.0,0.0,287.0
8466d35ffffffff,2017.0,0.0,295.0
8466d37ffffffff,96.0,0.0,9.0
8466d3dffffffff,50.0,0.0,6.0
8466d51ffffffff,5.0,0.0,0.0
8466d55ffffffff,4.0,0.0,0.0
8466e65ffffffff,12.0,0.0,0.0
8466e6dffffffff,3.0,0.0,0.0
8466f03ffffffff,531.0,0.0,3.0
8466f0bffffffff,114.0,0.0,14.0
8466f19ffffffff,1.0,0.0,0.0
8466f1dffffffff,125.0,0.0,1.0
8466f33ffffffff,2.0,0.0,0.0
8466f3bffffffff,1.0,0.0,0.0
8466f57ffffffff,100.0,0.0,0.0
8466f59ffffffff,16.0,0.0,0.0
8466f5dffffffff,2.0,0.0,0.0
846792dffffffff,7.0,0.0,0.0
846793bffffffff,2.0,0.0,0.0
8467961ffffffff,51.0,0.0,0.0
84679a5ffffffff,46.0,0.0,0.0
84679a7ffffffff,124.0,0.0,0.0
846d04bffffffff,2.0,0.0,0.0
846d059ffffffff,6.0,0.0,0.0
846d05bffffffff,464.0,214.0,0.0
846d207ffffffff,36.0,3.0,0.0
846d21bffffffff,48.0,20.0,0.0
846d23bffffffff,28.0,4.0,0.0
846d23dffffffff,4.0,2.0,0.0
846d283ffffffff,45.0,0.0,0.0
846d287ffffffff,21.0,0.0,0.0
846d289ffffffff,5.0,0.0,0.0
846d28dffffffff,10.0,0.0,0.0
846d291ffffffff,28.0,0.0,0.0
846d295ffffffff,26.0,0.0,0.0
846d297ffffffff,4.0,0.0,0.0
846d299ffffffff,10.0,0.0,0.0
846d2a9ffffffff,10.0,0.0,0.0
846d2abffffffff,57.0,0.0,0.0
846d2b9ffffffff,167.0,0.0,0.0
846d2c7ffffffff,27.0,0.0,0.0
846d2d1ffffffff,328.0,30.0,0.0
846d2d3ffffffff,352.0,44.0,0.0
846d2d7ffffffff,719.0,279.0,0.0
846d2dbffffffff,4.0,0.0,0.0
846d2ddffffffff,9.0,1.0,0.0
846d2e5ffffffff,2.0,0.0,0.0
846d2ebffffffff,49.0,9.0,0.0
846d305ffffffff,82.0,15.0,0.0
846d307ffffffff,13.0,0.0,0.0
846d30dffffffff,11.0,0.0,0.0
846d36dffffffff,5.0,0.0,0.0
846d645ffffffff,4.0,0.0,0.0
846d64dffffffff,110.0,0.0,0.0
846d651ffffffff,710.0,0.0,0.0
846d653ffffffff,72.0,0.0,0.0
846d655ffffffff,20.0,0.0,0.0
846d657ffffffff,3.0,0.0,0.0
846d659ffffffff,1.0,0.0,0.0
846d65bffffffff,6.0,0.0,0.0
846d65dffffffff,4.0,0.0,0.0
846d66dffffffff,29.0,0.0,0.0
846d681ffffffff,77.0,0.0,0.0
846d689ffffffff,10.0,0.0,0.0
846d68bffffffff,575.0,0.0,0.0
846d68dffffffff,19.0,0.0,0.0
846d691ffffffff,959.0,0.0,0.0
846d693ffffffff,46.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0
846d697ffffffff,62.0,0.0,0.0
846d699ffffffff,23.0,0.0,0.0
846d69bffffffff,1077.0,0.0,0.0
846d69dffffffff,3802.0,0.0,0.0
846d6d1ffffffff,19.0,0.0,0.0
846d6d3ffffffff,13.0,0.0,0.0
848f0d1ffffffff,2.0,0.0,0.0
848f0dbffffffff,660.0,0.0,91.0
848f291ffffffff,19.0,0.0,0.0
848f295ffffffff,40.0,0.0,0.0
848f2a9ffffffff,4.0,0.0,2.0
848f2abffffffff,13.0,0.0,0.0
848f2bbffffffff,26.0,0.0,0.0
848f2c3ffffffff,5.0,0.0,0.0
848f2cbffffffff,24.0,0.0,0.0
848f2cdffffffff,84.0,0.0,0.0
848f2e7ffffffff,2.0,0.0,0.0
848f765ffffffff,4.0,0.0,0.0
