cell_id,Eumyias indigo,Eumyias indigo ruficrissa/cerviniventris,Eumyias indigo indigo
836509fffffffff,1.0,0.0,0.0
83650dfffffffff,6.0,0.0,0.0
83652dfffffffff,8.0,0.0,0.0
836554fffffffff,36.0,0.0,0.0
836556fffffffff,49.0,0.0,0.0
836811fffffffff,1294.0,192.0,0.0
83689afffffffff,5.0,2.0,0.0
8368a4fffffffff,1.0,1.0,0.0
8368acfffffffff,10.0,0.0,0.0
838c10fffffffff,204.0,0.0,45.0
838c14fffffffff,11.0,0.0,2.0
838c16fffffffff,1.0,0.0,0.0
838c1afffffffff,5.0,0.0,0.0
838cd0fffffffff,46.0,3.0,0.0
838cd3fffffffff,2.0,0.0,0.0
838cd5fffffffff,4.0,0.0,0.0
838d84fffffffff,5.0,0.0,0.0
838d85fffffffff,16.0,0.0,3.0
838d89fffffffff,1.0,0.0,1.0
838d8cfffffffff,17.0,0.0,5.0
838da2fffffffff,113.0,0.0,44.0
838da3fffffffff,2.0,0.0,2.0
838daafffffffff,1.0,0.0,0.0
