cell_id,Hirundinea ferruginea,Hirundinea ferruginea ferruginea/sclateri,Hirundinea ferruginea bellicosa/pallidior
82662ffffffffff,4.0,1.0,0.0
8266c7fffffffff,2.0,0.0,0.0
8266dffffffffff,11.0,8.0,0.0
8266e7fffffffff,5.0,0.0,0.0
828127fffffffff,1.0,0.0,1.0
82812ffffffffff,2.0,0.0,2.0
828137fffffffff,1.0,0.0,1.0
8281affffffffff,1.0,0.0,1.0
828b27fffffffff,1.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828e6ffffffffff,1.0,0.0,0.0
828f77fffffffff,4.0,0.0,0.0
82a88ffffffffff,1.0,0.0,1.0
82a92ffffffffff,3.0,0.0,0.0
82a947fffffffff,1.0,0.0,0.0
82a957fffffffff,2.0,0.0,0.0
82a95ffffffffff,4.0,0.0,0.0
82a967fffffffff,2.0,0.0,0.0
82b247fffffffff,12.0,0.0,0.0
82b277fffffffff,12.0,0.0,0.0
82b2effffffffff,11.0,0.0,0.0
82b35ffffffffff,1.0,0.0,1.0
82b377fffffffff,7.0,0.0,0.0
82c2dffffffffff,2.0,0.0,0.0
82c367fffffffff,4.0,0.0,0.0
82ce8ffffffffff,4.0,0.0,1.0
