cell_id,Somateria mollissima,Somateria mollissima mollissima,Somateria mollissima faeroeensis,Somateria mollissima v-nigrum,Somateria mollissima dresseri,Somateria mollissima borealis,Somateria mollissima sedentaria
820007fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820027fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82002ffffffffff,73.0,0.0,0.0,0.0,0.0,23.0,0.0
82010ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820127fffffffff,44.0,9.0,0.0,0.0,0.0,0.0,0.0
820137fffffffff,1371.0,266.0,0.0,0.0,0.0,0.0,0.0
820157fffffffff,456.0,0.0,0.0,0.0,0.0,97.0,0.0
82015ffffffffff,412.0,0.0,0.0,0.0,0.0,250.0,0.0
8201b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820247fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
82024ffffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0
820257fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
82025ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
820267fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
82026ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820297fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8202cffffffffff,345.0,0.0,0.0,0.0,0.0,0.0,0.0
8202dffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8202effffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8204effffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
820607fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820627fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
820637fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
820677fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820687fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82068ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
