cell_id,Chrysuronia versicolor,Chrysuronia versicolor [versicolor Group],Chrysuronia versicolor rondoniae
845f40dffffffff,1.0,0.0,0.0
845f42bffffffff,8.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f487ffffffff,4.0,0.0,0.0
845f4bdffffffff,4.0,0.0,0.0
845f635ffffffff,1.0,0.0,0.0
845f689ffffffff,1.0,0.0,0.0
845f68bffffffff,12.0,0.0,0.0
845f711ffffffff,2.0,0.0,0.0
845f759ffffffff,13.0,0.0,0.0
845f75dffffffff,1.0,0.0,0.0
8466097ffffffff,2.0,0.0,0.0
846609bffffffff,3.0,0.0,0.0
84660b3ffffffff,3.0,0.0,0.0
84660d1ffffffff,9.0,0.0,0.0
84660d3ffffffff,1.0,0.0,0.0
84660dbffffffff,3.0,0.0,0.0
8466411ffffffff,78.0,0.0,0.0
8466415ffffffff,100.0,0.0,0.0
8466417ffffffff,28.0,0.0,0.0
846641dffffffff,146.0,0.0,0.0
8466441ffffffff,4.0,0.0,0.0
846644bffffffff,1.0,0.0,0.0
8466453ffffffff,2.0,0.0,0.0
846645dffffffff,6.0,0.0,0.0
8466481ffffffff,1.0,0.0,0.0
8466485ffffffff,2.0,0.0,0.0
8466487ffffffff,6.0,0.0,0.0
846648dffffffff,4.0,0.0,0.0
84664b9ffffffff,2.0,0.0,0.0
84664e1ffffffff,1.0,0.0,0.0
8466529ffffffff,23.0,0.0,0.0
846652dffffffff,17.0,0.0,0.0
8466545ffffffff,15.0,0.0,0.0
846654bffffffff,1.0,0.0,0.0
8466561ffffffff,4.0,0.0,0.0
8466563ffffffff,1.0,0.0,0.0
8466565ffffffff,46.0,0.0,0.0
8466569ffffffff,8.0,0.0,0.0
846656dffffffff,53.0,0.0,0.0
84665a3ffffffff,1.0,0.0,0.0
84665a7ffffffff,2.0,0.0,0.0
84665abffffffff,427.0,18.0,0.0
84665bdffffffff,187.0,5.0,0.0
84665e9ffffffff,9.0,0.0,0.0
8466623ffffffff,2.0,0.0,0.0
8466631ffffffff,7.0,0.0,0.0
8466633ffffffff,3.0,0.0,0.0
8466637ffffffff,13.0,0.0,0.0
8466639ffffffff,10.0,0.0,0.0
846663dffffffff,20.0,0.0,0.0
84666b3ffffffff,1.0,0.0,0.0
84666b9ffffffff,2.0,0.0,0.0
84666ebffffffff,1.0,0.0,0.0
846670dffffffff,18.0,0.0,0.0
8466725ffffffff,2.0,0.0,0.0
8466727ffffffff,18.0,0.0,0.0
8466735ffffffff,7.0,0.0,0.0
8466737ffffffff,3.0,0.0,0.0
8466763ffffffff,9.0,0.0,0.0
8466c01ffffffff,2.0,0.0,0.0
8466c0dffffffff,7.0,0.0,0.0
8466c5bffffffff,4.0,0.0,0.0
8466c5dffffffff,35.0,0.0,0.0
8466cc5ffffffff,5.0,0.0,0.0
8466cdbffffffff,18.0,0.0,0.0
8466e0bffffffff,20.0,0.0,0.0
8466e11ffffffff,18.0,0.0,0.0
8466e15ffffffff,89.0,0.0,0.0
8466e17ffffffff,6.0,0.0,0.0
8466e1dffffffff,18.0,0.0,0.0
8466e39ffffffff,10.0,0.0,0.0
8466e3bffffffff,8.0,0.0,0.0
8466e51ffffffff,17.0,0.0,0.0
8466e53ffffffff,67.0,0.0,0.0
8466e57ffffffff,79.0,0.0,0.0
8466e59ffffffff,79.0,0.0,0.0
8466e5bffffffff,7.0,0.0,0.0
8466e5dffffffff,9.0,0.0,0.0
8466e8dffffffff,3.0,0.0,0.0
8466e9dffffffff,12.0,2.0,0.0
8466ec1ffffffff,19.0,0.0,0.0
8466ec3ffffffff,1.0,0.0,0.0
8466ec5ffffffff,10.0,0.0,0.0
8466ec7ffffffff,88.0,0.0,0.0
8466ec9ffffffff,6.0,0.0,0.0
8466ecbffffffff,127.0,0.0,0.0
8466ee5ffffffff,86.0,0.0,0.0
8466ee7ffffffff,2.0,0.0,0.0
8466eedffffffff,6.0,0.0,0.0
8480101ffffffff,17.0,0.0,0.0
8480105ffffffff,2.0,0.0,0.0
8480109ffffffff,101.0,0.0,0.0
848010dffffffff,2.0,0.0,0.0
8480363ffffffff,4.0,0.0,0.0
8480445ffffffff,1.0,0.0,0.0
8480469ffffffff,2.0,0.0,0.0
84804cbffffffff,7.0,0.0,0.0
8480643ffffffff,3.0,0.0,0.0
8480737ffffffff,4.0,0.0,0.0
8481023ffffffff,6.0,0.0,0.0
8481027ffffffff,6.0,0.0,0.0
8481029ffffffff,59.0,0.0,0.0
8481061ffffffff,2.0,0.0,0.0
8481063ffffffff,10.0,0.0,0.0
8481125ffffffff,1.0,0.0,0.0
84811e9ffffffff,3.0,0.0,0.0
8481211ffffffff,13.0,0.0,0.0
8481215ffffffff,5.0,0.0,0.0
8481219ffffffff,2.0,0.0,0.0
848124bffffffff,28.0,0.0,0.0
848124dffffffff,4.0,0.0,0.0
84812d1ffffffff,7.0,0.0,0.0
84812d7ffffffff,6.0,0.0,0.0
8481303ffffffff,15.0,0.0,0.0
8481307ffffffff,11.0,0.0,0.0
848130bffffffff,1.0,0.0,0.0
8481321ffffffff,6.0,0.0,0.0
8481323ffffffff,4.0,0.0,0.0
8481327ffffffff,10.0,0.0,0.0
8481335ffffffff,1.0,0.0,0.0
8481339ffffffff,98.0,0.0,0.0
8481343ffffffff,1.0,0.0,0.0
848134dffffffff,3.0,0.0,0.0
8481363ffffffff,11.0,0.0,0.0
8481401ffffffff,3.0,0.0,0.0
8481431ffffffff,1.0,0.0,0.0
848145dffffffff,2.0,0.0,0.0
84814a9ffffffff,6.0,0.0,0.0
84814adffffffff,9.0,0.0,0.0
84814d1ffffffff,2.0,0.0,0.0
84814d5ffffffff,16.0,0.0,0.0
84814e3ffffffff,5.0,0.0,0.0
84814e5ffffffff,2.0,0.0,0.0
84814e7ffffffff,20.0,0.0,0.0
84814ebffffffff,7.0,0.0,0.0
84815d9ffffffff,3.0,0.0,0.0
84815dbffffffff,1.0,0.0,0.0
84815e9ffffffff,3.0,0.0,0.0
8481627ffffffff,1.0,0.0,0.0
848162bffffffff,2.0,0.0,0.0
8481635ffffffff,5.0,0.0,0.0
848166dffffffff,4.0,0.0,0.0
8481705ffffffff,2.0,0.0,0.0
8481711ffffffff,19.0,0.0,0.0
8481713ffffffff,40.0,0.0,0.0
848175dffffffff,2.0,0.0,0.0
848180bffffffff,5.0,0.0,0.0
848181dffffffff,2.0,0.0,0.0
8481839ffffffff,23.0,0.0,0.0
8481851ffffffff,4.0,0.0,0.0
8481857ffffffff,235.0,0.0,0.0
848185dffffffff,6.0,0.0,0.0
8481a1bffffffff,3.0,0.0,0.0
848a00bffffffff,2.0,0.0,0.0
848a049ffffffff,2.0,0.0,0.0
848a055ffffffff,1.0,0.0,0.0
848a059ffffffff,2.0,0.0,0.0
848a05dffffffff,3.0,0.0,0.0
848a069ffffffff,2.0,2.0,0.0
848a337ffffffff,4.0,0.0,0.0
848a35dffffffff,2.0,0.0,0.0
848a459ffffffff,2.0,0.0,0.0
848a45bffffffff,2.0,0.0,0.0
848a45dffffffff,5.0,0.0,0.0
848a4b9ffffffff,5.0,0.0,0.0
848a5a1ffffffff,1.0,0.0,0.0
848a809ffffffff,4.0,0.0,0.0
848a8cbffffffff,5.0,0.0,0.0
848a8d9ffffffff,4.0,0.0,0.0
848a9d3ffffffff,2.0,0.0,0.0
848aa97ffffffff,2.0,0.0,0.0
848aab1ffffffff,4.0,0.0,0.0
848ada9ffffffff,2.0,0.0,0.0
848af09ffffffff,11.0,0.0,0.0
848af29ffffffff,38.0,4.0,0.0
848af2bffffffff,8.0,0.0,0.0
848af2dffffffff,12.0,3.0,0.0
848af41ffffffff,7.0,0.0,0.0
848af45ffffffff,13.0,0.0,0.0
848af61ffffffff,68.0,2.0,0.0
848af63ffffffff,73.0,3.0,0.0
848af67ffffffff,34.0,0.0,0.0
848af69ffffffff,20.0,0.0,0.0
848af6bffffffff,15.0,2.0,0.0
848b11bffffffff,2.0,0.0,0.0
848b1c7ffffffff,1.0,0.0,0.0
848b1e1ffffffff,1.0,0.0,0.0
848b2a5ffffffff,2.0,0.0,0.0
848b849ffffffff,47.0,0.0,0.0
848b881ffffffff,1.0,0.0,0.0
848b98bffffffff,2.0,0.0,0.0
848b98dffffffff,1.0,0.0,0.0
848b999ffffffff,15.0,0.0,0.0
848b99dffffffff,15.0,0.0,0.0
848b9d1ffffffff,14.0,0.0,0.0
848b9d5ffffffff,269.0,0.0,0.0
848b9d7ffffffff,4.0,0.0,0.0
848ba47ffffffff,3.0,0.0,0.0
848ba65ffffffff,1.0,0.0,0.0
848ba6dffffffff,7.0,0.0,0.0
848bb59ffffffff,44.0,0.0,0.0
84a5969ffffffff,20.0,0.0,0.0
84a8019ffffffff,7.0,0.0,0.0
84a802dffffffff,5.0,0.0,0.0
84a8055ffffffff,2.0,0.0,0.0
84a805dffffffff,3.0,0.0,0.0
84a8061ffffffff,41.0,26.0,0.0
84a8065ffffffff,34.0,22.0,0.0
