cell_id,Amazilia rutila,Amazilia rutila graysoni,Amazilia rutila [rutila Group]
824427fffffffff,57.0,0.0,9.0
824507fffffffff,2961.0,0.0,6.0
82450ffffffffff,9925.0,0.0,977.0
82451ffffffffff,326.0,0.0,32.0
824527fffffffff,5949.0,0.0,98.0
82452ffffffffff,681.0,0.0,16.0
824537fffffffff,556.0,0.0,0.0
824557fffffffff,2.0,0.0,0.0
824577fffffffff,1566.0,0.0,325.0
824807fffffffff,355.0,0.0,0.0
824817fffffffff,2.0,0.0,0.0
824837fffffffff,6346.0,19.0,104.0
824987fffffffff,3.0,0.0,0.0
8249a7fffffffff,238.0,0.0,0.0
8249affffffffff,3615.0,0.0,131.0
8249b7fffffffff,193.0,0.0,0.0
8266b7fffffffff,14.0,0.0,0.0
826797fffffffff,156.0,0.0,0.0
8267b7fffffffff,18.0,0.0,0.0
826d07fffffffff,580.0,0.0,119.0
826d17fffffffff,1451.0,0.0,185.0
826d27fffffffff,4.0,0.0,0.0
826d2ffffffffff,4481.0,0.0,318.0
826d37fffffffff,230.0,0.0,13.0
826d67fffffffff,7412.0,0.0,0.0
826d6ffffffffff,11370.0,0.0,0.0
826d77fffffffff,3263.0,0.0,5.0
