cell_id,Passer domesticus,Passer domesticus [domesticus Group],Passer domesticus [indicus Group]
830120fffffffff,4.0,0.0,0.0
830122fffffffff,4.0,0.0,0.0
830124fffffffff,1.0,0.0,0.0
830126fffffffff,26.0,0.0,0.0
830130fffffffff,161.0,0.0,0.0
830131fffffffff,65.0,0.0,0.0
830134fffffffff,23.0,0.0,0.0
830135fffffffff,478.0,0.0,0.0
830136fffffffff,1.0,0.0,0.0
8304cdfffffffff,18.0,0.0,0.0
8304ebfffffffff,11.0,0.0,0.0
830800fffffffff,2.0,0.0,0.0
830802fffffffff,19.0,0.0,0.0
830803fffffffff,1.0,0.0,0.0
830806fffffffff,31.0,0.0,0.0
830810fffffffff,2.0,0.0,0.0
830813fffffffff,4.0,0.0,0.0
830814fffffffff,5.0,0.0,0.0
830815fffffffff,289.0,0.0,0.0
83081efffffffff,3.0,0.0,0.0
830828fffffffff,1.0,0.0,0.0
830829fffffffff,1.0,0.0,0.0
83082afffffffff,2.0,0.0,0.0
83082bfffffffff,2.0,0.0,0.0
830830fffffffff,2.0,0.0,0.0
830832fffffffff,8.0,0.0,0.0
830833fffffffff,18.0,0.0,0.0
830836fffffffff,55.0,0.0,0.0
830880fffffffff,32.0,0.0,0.0
830882fffffffff,14.0,0.0,0.0
830883fffffffff,24.0,1.0,0.0
830884fffffffff,15.0,0.0,0.0
830885fffffffff,4.0,0.0,0.0
830886fffffffff,357.0,0.0,0.0
830888fffffffff,8.0,0.0,0.0
830889fffffffff,3.0,0.0,0.0
83088afffffffff,7.0,0.0,0.0
83088bfffffffff,2.0,0.0,0.0
83088efffffffff,8.0,0.0,0.0
830890fffffffff,3.0,0.0,0.0
830895fffffffff,32.0,0.0,0.0
830896fffffffff,13.0,0.0,0.0
830898fffffffff,13.0,0.0,0.0
830899fffffffff,199.0,13.0,0.0
83089afffffffff,98.0,0.0,0.0
83089bfffffffff,161.0,0.0,0.0
83089dfffffffff,101.0,0.0,0.0
83089efffffffff,8.0,0.0,0.0
8308a2fffffffff,2.0,0.0,0.0
8308a3fffffffff,2.0,0.0,0.0
8308a4fffffffff,26.0,0.0,0.0
8308a6fffffffff,4.0,0.0,0.0
8308acfffffffff,2.0,0.0,0.0
8308adfffffffff,2.0,0.0,0.0
8308aefffffffff,4.0,0.0,0.0
8308b0fffffffff,12.0,0.0,0.0
8308b1fffffffff,19.0,0.0,0.0
8308b3fffffffff,26.0,0.0,0.0
8308b4fffffffff,8.0,0.0,0.0
8308b5fffffffff,2.0,0.0,0.0
8308b6fffffffff,18.0,0.0,0.0
8308c0fffffffff,1.0,0.0,0.0
8308c1fffffffff,7.0,0.0,0.0
8308c2fffffffff,1.0,0.0,0.0
8308c3fffffffff,13.0,0.0,0.0
8308c8fffffffff,38.0,0.0,0.0
8308c9fffffffff,33.0,0.0,0.0
8308cdfffffffff,123.0,0.0,0.0
8308cefffffffff,6.0,0.0,0.0
8308d0fffffffff,1.0,0.0,0.0
8308d1fffffffff,43.0,0.0,0.0
8308d2fffffffff,3.0,0.0,0.0
8308d3fffffffff,3.0,0.0,0.0
8308d4fffffffff,6.0,0.0,0.0
8308d5fffffffff,2.0,0.0,0.0
8308d8fffffffff,33.0,0.0,0.0
8308dbfffffffff,2.0,0.0,0.0
8308dcfffffffff,1.0,0.0,0.0
8308ddfffffffff,3.0,0.0,0.0
8308defffffffff,8.0,0.0,0.0
8308e1fffffffff,5.0,0.0,0.0
8308e3fffffffff,1.0,0.0,0.0
8308e8fffffffff,10.0,0.0,0.0
8308e9fffffffff,1.0,0.0,0.0
8308eafffffffff,5.0,0.0,0.0
