cell_id,Laterallus albigularis,Laterallus albigularis albigularis/cerdaleus,Laterallus albigularis cinereiceps
8466021ffffffff,52.0,0.0,0.0
8466025ffffffff,44.0,0.0,0.0
8466029ffffffff,27.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0
8466035ffffffff,8.0,0.0,0.0
8466043ffffffff,5.0,0.0,0.0
8466045ffffffff,7.0,0.0,0.0
8466047ffffffff,3.0,0.0,0.0
8466053ffffffff,2.0,0.0,0.0
8466059ffffffff,2.0,0.0,0.0
8466067ffffffff,2.0,0.0,0.0
846606bffffffff,2.0,2.0,0.0
8466089ffffffff,2.0,0.0,0.0
846608dffffffff,16.0,0.0,0.0
84660a5ffffffff,35.0,0.0,0.0
84660a7ffffffff,78.0,5.0,0.0
84660adffffffff,20.0,0.0,0.0
84660b5ffffffff,1.0,0.0,0.0
84660bdffffffff,2.0,0.0,0.0
84660e1ffffffff,49.0,0.0,0.0
84660e3ffffffff,32.0,0.0,0.0
84660e7ffffffff,5.0,0.0,0.0
84660e9ffffffff,8.0,0.0,0.0
84660ebffffffff,5.0,0.0,0.0
8466107ffffffff,87.0,4.0,0.0
8466117ffffffff,2.0,0.0,0.0
846612dffffffff,2.0,0.0,0.0
8466131ffffffff,15.0,2.0,0.0
8466139ffffffff,285.0,19.0,0.0
846613dffffffff,12.0,0.0,0.0
8466163ffffffff,9.0,0.0,0.0
8466165ffffffff,23.0,2.0,0.0
8466167ffffffff,3.0,0.0,0.0
8466183ffffffff,7.0,2.0,0.0
8466185ffffffff,2.0,0.0,0.0
8466193ffffffff,97.0,0.0,0.0
8466195ffffffff,7.0,0.0,0.0
8466199ffffffff,8.0,0.0,0.0
846619bffffffff,80.0,0.0,0.0
846619dffffffff,10.0,0.0,0.0
84661a5ffffffff,53.0,1.0,0.0
84661a7ffffffff,4.0,0.0,0.0
84661adffffffff,13.0,0.0,0.0
84661b1ffffffff,78.0,17.0,0.0
84661b3ffffffff,31.0,0.0,0.0
84661b9ffffffff,37.0,1.0,0.0
84661bbffffffff,87.0,5.0,0.0
84661bdffffffff,3.0,1.0,0.0
84661c1ffffffff,2.0,0.0,0.0
84661cbffffffff,11.0,0.0,0.0
84661cdffffffff,2.0,0.0,0.0
84661d1ffffffff,116.0,0.0,0.0
84661d3ffffffff,2.0,0.0,0.0
84661d7ffffffff,45.0,0.0,0.0
84661e9ffffffff,2.0,0.0,0.0
846620bffffffff,11.0,0.0,0.0
8466221ffffffff,22.0,2.0,0.0
8466231ffffffff,2.0,0.0,0.0
8466235ffffffff,1.0,0.0,0.0
84662cdffffffff,15.0,0.0,0.0
8466311ffffffff,4.0,0.0,0.0
8466313ffffffff,18.0,0.0,0.0
846631bffffffff,17.0,0.0,0.0
8466849ffffffff,3.0,0.0,0.0
8466a01ffffffff,38.0,0.0,0.0
8466a05ffffffff,11.0,0.0,0.0
8466a0bffffffff,43.0,0.0,0.0
8466a25ffffffff,1.0,0.0,0.0
8466a2dffffffff,3.0,0.0,0.0
8466a33ffffffff,2.0,0.0,0.0
8466a39ffffffff,3.0,0.0,0.0
8466a51ffffffff,3548.0,305.0,0.0
8466a55ffffffff,41.0,1.0,0.0
8466a57ffffffff,61.0,0.0,0.0
8466a59ffffffff,21.0,0.0,0.0
8466a5bffffffff,95.0,16.0,0.0
8466a5dffffffff,24.0,4.0,0.0
8466a65ffffffff,512.0,0.0,177.0
8466a67ffffffff,9.0,0.0,0.0
8466b01ffffffff,18.0,0.0,0.0
8466b09ffffffff,186.0,0.0,0.0
8466b0bffffffff,377.0,0.0,0.0
8466b19ffffffff,15.0,0.0,0.0
8466b41ffffffff,67.0,0.0,0.0
8466b43ffffffff,23.0,0.0,0.0
8466b45ffffffff,88.0,0.0,0.0
8466b47ffffffff,97.0,0.0,0.0
8466b49ffffffff,387.0,0.0,0.0
8466b4bffffffff,7.0,0.0,0.0
8466b4dffffffff,1114.0,0.0,0.0
8466b51ffffffff,113.0,5.0,0.0
8466b53ffffffff,52.0,2.0,0.0
8466b55ffffffff,904.0,0.0,0.0
8466b57ffffffff,455.0,0.0,0.0
8466b59ffffffff,268.0,0.0,14.0
8466b5bffffffff,516.0,0.0,40.0
8466b5dffffffff,13.0,0.0,0.0
8466b69ffffffff,21.0,0.0,0.0
8466c41ffffffff,9.0,0.0,0.0
8466c45ffffffff,18.0,0.0,0.0
8466c47ffffffff,47.0,0.0,0.0
8466c49ffffffff,31.0,0.0,0.0
8466c63ffffffff,95.0,0.0,0.0
8466c6bffffffff,10.0,0.0,0.0
8466d01ffffffff,24.0,8.0,0.0
8466d03ffffffff,2.0,0.0,0.0
8466d05ffffffff,91.0,7.0,0.0
8466d07ffffffff,32.0,5.0,0.0
8466d0bffffffff,17.0,0.0,0.0
8466d0dffffffff,288.0,33.0,0.0
8466d1dffffffff,2.0,0.0,0.0
8466d21ffffffff,2.0,0.0,0.0
8466d23ffffffff,10.0,0.0,0.0
8466d25ffffffff,11.0,0.0,0.0
8466d27ffffffff,14.0,0.0,0.0
8466d29ffffffff,2.0,0.0,0.0
8466d31ffffffff,607.0,58.0,0.0
8466d35ffffffff,207.0,10.0,0.0
8466d37ffffffff,58.0,1.0,0.0
8466d39ffffffff,2.0,0.0,0.0
8466d3dffffffff,16.0,1.0,0.0
8466d47ffffffff,8.0,0.0,0.0
8466d4bffffffff,4.0,0.0,0.0
8466d55ffffffff,13.0,0.0,0.0
8466d6bffffffff,2.0,2.0,0.0
8466e0dffffffff,7.0,0.0,0.0
8466e23ffffffff,3.0,0.0,0.0
8466e29ffffffff,15.0,0.0,0.0
8466e2dffffffff,1.0,0.0,0.0
8466e41ffffffff,169.0,8.0,0.0
8466e43ffffffff,4.0,0.0,0.0
8466e45ffffffff,13.0,0.0,0.0
8466e47ffffffff,60.0,1.0,0.0
8466e49ffffffff,2.0,0.0,0.0
8466e63ffffffff,102.0,0.0,0.0
8466e65ffffffff,26.0,0.0,0.0
8466e67ffffffff,2.0,0.0,0.0
8466e69ffffffff,15.0,0.0,0.0
8466e6bffffffff,5.0,0.0,0.0
8466e6dffffffff,89.0,0.0,0.0
8466f01ffffffff,31.0,0.0,0.0
8466f03ffffffff,257.0,8.0,0.0
8466f0bffffffff,45.0,0.0,0.0
8466f11ffffffff,23.0,0.0,0.0
8466f15ffffffff,69.0,0.0,0.0
8466f17ffffffff,1.0,0.0,0.0
8466f19ffffffff,6.0,0.0,0.0
8466f1dffffffff,62.0,0.0,0.0
8466f33ffffffff,2.0,0.0,0.0
8466f35ffffffff,70.0,0.0,0.0
8466f51ffffffff,5.0,0.0,0.0
8466f53ffffffff,4.0,0.0,0.0
8466f57ffffffff,46.0,2.0,0.0
8466f59ffffffff,9.0,0.0,0.0
8466f5bffffffff,56.0,0.0,0.0
8467903ffffffff,2.0,0.0,0.0
8467909ffffffff,3.0,0.0,0.0
846790dffffffff,7.0,0.0,0.0
846792dffffffff,2.0,0.0,0.0
8467933ffffffff,9.0,0.0,0.0
846793bffffffff,14.0,0.0,0.0
8467941ffffffff,2.0,0.0,0.0
846794dffffffff,2.0,0.0,0.0
8467961ffffffff,4.0,0.0,0.0
8467967ffffffff,3.0,0.0,0.0
8467969ffffffff,3.0,0.0,0.0
846796bffffffff,5.0,0.0,0.0
84679a1ffffffff,175.0,0.0,0.0
84679a3ffffffff,91.0,0.0,0.0
84679a5ffffffff,1453.0,0.0,0.0
84679a7ffffffff,129.0,0.0,0.0
84679adffffffff,134.0,0.0,0.0
84679b3ffffffff,331.0,0.0,67.0
84679b5ffffffff,160.0,0.0,0.0
84679b7ffffffff,605.0,0.0,66.0
846d651ffffffff,2.0,0.0,0.0
846d653ffffffff,6.0,0.0,0.0
846d655ffffffff,4.0,0.0,0.0
846d681ffffffff,65.0,0.0,0.0
846d683ffffffff,35.0,0.0,0.0
846d687ffffffff,6.0,0.0,0.0
846d689ffffffff,264.0,1.0,2.0
846d68bffffffff,1618.0,0.0,0.0
846d691ffffffff,594.0,0.0,0.0
846d693ffffffff,53.0,0.0,0.0
846d695ffffffff,8.0,0.0,0.0
846d697ffffffff,389.0,0.0,0.0
846d699ffffffff,281.0,0.0,0.0
846d69bffffffff,267.0,0.0,0.0
846d69dffffffff,1692.0,0.0,0.0
846d6b9ffffffff,5.0,0.0,0.0
846d6bbffffffff,10.0,0.0,0.0
846d6c3ffffffff,40.0,0.0,0.0
846d6d1ffffffff,135.0,0.0,0.0
846d6d3ffffffff,290.0,0.0,0.0
846d6d5ffffffff,1059.0,0.0,0.0
846d6d7ffffffff,50.0,0.0,0.0
846d6dbffffffff,2.0,0.0,0.0
848f0d1ffffffff,11.0,0.0,0.0
848f0d9ffffffff,41.0,0.0,0.0
848f0dbffffffff,195.0,21.0,0.0
848f213ffffffff,2.0,0.0,0.0
848f283ffffffff,1.0,1.0,0.0
848f28dffffffff,3.0,0.0,0.0
848f291ffffffff,19.0,0.0,0.0
848f295ffffffff,20.0,0.0,0.0
848f2a9ffffffff,1.0,0.0,0.0
848f2b5ffffffff,4.0,0.0,0.0
848f2b9ffffffff,18.0,0.0,0.0
848f2bbffffffff,70.0,4.0,0.0
848f2bdffffffff,7.0,2.0,0.0
848f2c1ffffffff,1.0,0.0,0.0
848f2c3ffffffff,2.0,1.0,0.0
848f2c9ffffffff,22.0,3.0,0.0
848f2cbffffffff,17.0,0.0,0.0
848f2cdffffffff,2.0,0.0,0.0
848f2d9ffffffff,1.0,0.0,0.0
848f2ddffffffff,7.0,0.0,0.0
848f2ebffffffff,93.0,0.0,0.0
