cell_id,Cinnyris ornatus,Cinnyris ornatus [ornatus Group],Cinnyris ornatus rhizophorae
83411cfffffffff,1.0,0.0,0.0
8341b4fffffffff,4.0,0.0,2.0
83642bfffffffff,2.0,0.0,0.0
83648cfffffffff,1.0,0.0,0.0
83648dfffffffff,1.0,0.0,0.0
8364a4fffffffff,2.0,0.0,0.0
8364b6fffffffff,2.0,0.0,0.0
836500fffffffff,17.0,0.0,0.0
836501fffffffff,4.0,0.0,0.0
836502fffffffff,1.0,0.0,0.0
836503fffffffff,11.0,0.0,0.0
836505fffffffff,15.0,0.0,0.0
83650efffffffff,1.0,0.0,0.0
836518fffffffff,65.0,0.0,0.0
836519fffffffff,11.0,0.0,0.0
83651cfffffffff,2.0,0.0,0.0
83651dfffffffff,217.0,0.0,0.0
836520fffffffff,37.0,0.0,0.0
836522fffffffff,2.0,0.0,0.0
836523fffffffff,9.0,0.0,0.0
836526fffffffff,106.0,1.0,0.0
836599fffffffff,2.0,0.0,0.0
8395a4fffffffff,1.0,0.0,0.0
