cell_id,Fregetta tropica,Fregetta tropica tropica,Fregetta tropica melanoleuca
83346dfffffffff,3.0,0.0,0.0
833994fffffffff,1.0,0.0,0.0
839ef3fffffffff,1.0,0.0,0.0
839f54fffffffff,2.0,0.0,0.0
83ad34fffffffff,8.0,0.0,0.0
83bb20fffffffff,1.0,0.0,0.0
83bb53fffffffff,2.0,0.0,0.0
83bc1bfffffffff,5.0,0.0,0.0
83bc6dfffffffff,1.0,0.0,0.0
83bcf6fffffffff,3.0,0.0,0.0
83bd05fffffffff,10.0,0.0,0.0
83bd20fffffffff,5.0,0.0,0.0
83bd23fffffffff,11.0,0.0,0.0
83bd24fffffffff,2.0,0.0,0.0
83bd2efffffffff,3.0,0.0,0.0
83bd62fffffffff,21.0,0.0,0.0
83bd75fffffffff,16.0,0.0,0.0
83be1dfffffffff,1.0,0.0,0.0
83be88fffffffff,1.0,0.0,0.0
83be8cfffffffff,23.0,0.0,0.0
83bea9fffffffff,2.0,0.0,0.0
83beaafffffffff,5.0,0.0,0.0
83beabfffffffff,24.0,0.0,0.0
83beaefffffffff,16.0,0.0,0.0
83bf4cfffffffff,5.0,0.0,0.0
83bf6afffffffff,1.0,0.0,0.0
83c01efffffffff,3.0,0.0,1.0
83c0d4fffffffff,1.0,0.0,1.0
83c0e2fffffffff,2.0,0.0,0.0
83c0f5fffffffff,1.0,0.0,1.0
83c2f1fffffffff,2.0,0.0,0.0
83c984fffffffff,17.0,0.0,0.0
83c9b0fffffffff,9.0,0.0,0.0
83ce35fffffffff,1.0,0.0,0.0
83d161fffffffff,2.0,0.0,0.0
83d168fffffffff,2.0,0.0,0.0
83d169fffffffff,6.0,0.0,0.0
83d16efffffffff,3.0,0.0,0.0
83d469fffffffff,2.0,0.0,0.0
83d68bfffffffff,5.0,0.0,0.0
83d6a8fffffffff,37.0,0.0,0.0
83d6a9fffffffff,45.0,0.0,0.0
83d6abfffffffff,5.0,0.0,0.0
83d6adfffffffff,2.0,0.0,0.0
83d6d8fffffffff,9.0,0.0,0.0
83d6d9fffffffff,3.0,0.0,0.0
83d6dbfffffffff,3.0,0.0,0.0
83d6defffffffff,25.0,0.0,0.0
83d6f2fffffffff,3.0,0.0,0.0
83d6f6fffffffff,35.0,0.0,0.0
83d90efffffffff,1.0,0.0,0.0
83da00fffffffff,13.0,0.0,0.0
83da01fffffffff,25.0,0.0,0.0
83da02fffffffff,3.0,0.0,0.0
83da06fffffffff,20.0,0.0,0.0
83da08fffffffff,3.0,0.0,0.0
83da09fffffffff,6.0,0.0,0.0
83da0afffffffff,9.0,0.0,0.0
83da0bfffffffff,6.0,0.0,0.0
83da0cfffffffff,20.0,0.0,0.0
83da11fffffffff,1.0,0.0,0.0
83da13fffffffff,36.0,0.0,0.0
83da18fffffffff,16.0,0.0,0.0
83da1afffffffff,57.0,0.0,0.0
83da1cfffffffff,27.0,0.0,0.0
83da1dfffffffff,3.0,0.0,0.0
83da1efffffffff,1.0,0.0,0.0
83da32fffffffff,12.0,0.0,0.0
83da84fffffffff,69.0,0.0,0.0
83daa1fffffffff,2.0,0.0,0.0
83daa2fffffffff,3.0,0.0,0.0
83daa4fffffffff,5.0,0.0,0.0
83daa6fffffffff,1.0,0.0,0.0
83daa8fffffffff,12.0,0.0,0.0
83daa9fffffffff,32.0,0.0,0.0
83daaafffffffff,5.0,0.0,0.0
83daacfffffffff,16.0,0.0,0.0
83daadfffffffff,13.0,0.0,0.0
83dab1fffffffff,17.0,0.0,0.0
83dab3fffffffff,2.0,0.0,0.0
83db80fffffffff,2.0,0.0,0.0
83db81fffffffff,2.0,0.0,0.0
83db82fffffffff,4.0,0.0,0.0
83db85fffffffff,6.0,0.0,0.0
83db8afffffffff,3.0,0.0,0.0
83db8bfffffffff,2.0,0.0,0.0
83db8dfffffffff,10.0,0.0,0.0
83db8efffffffff,3.0,0.0,0.0
83db90fffffffff,8.0,0.0,0.0
83db95fffffffff,26.0,0.0,0.0
83db9cfffffffff,2.0,0.0,0.0
83de08fffffffff,2.0,0.0,0.0
83de09fffffffff,5.0,0.0,0.0
83de0afffffffff,10.0,0.0,0.0
83de0bfffffffff,4.0,0.0,0.0
83de18fffffffff,3.0,0.0,0.0
83de19fffffffff,9.0,0.0,0.0
83de1afffffffff,6.0,0.0,0.0
83de1bfffffffff,4.0,0.0,0.0
83de23fffffffff,3.0,0.0,0.0
83de24fffffffff,1.0,0.0,0.0
83de26fffffffff,1.0,1.0,0.0
83de48fffffffff,3.0,0.0,0.0
83de4cfffffffff,4.0,0.0,0.0
83dea4fffffffff,5.0,0.0,0.0
83df02fffffffff,1.0,0.0,0.0
83df04fffffffff,1.0,1.0,0.0
83df09fffffffff,4.0,0.0,0.0
83df0dfffffffff,8.0,0.0,0.0
83df28fffffffff,1.0,0.0,0.0
83df29fffffffff,2.0,0.0,0.0
83df42fffffffff,6.0,0.0,0.0
83df43fffffffff,1.0,0.0,0.0
83df44fffffffff,3.0,0.0,0.0
83df46fffffffff,3.0,0.0,0.0
83df54fffffffff,4.0,0.0,0.0
83df70fffffffff,2.0,0.0,0.0
83df71fffffffff,2.0,0.0,0.0
83df72fffffffff,9.0,0.0,0.0
83df73fffffffff,6.0,0.0,0.0
83df75fffffffff,2.0,0.0,0.0
83df76fffffffff,2.0,0.0,0.0
83df88fffffffff,1.0,0.0,0.0
83df9bfffffffff,2.0,0.0,0.0
