cell_id,Colinus virginianus,Colinus virginianus [virginianus Group],Colinus virginianus graysoni/nigripectus,Colinus virginianus [pectoralis Group],Colinus virginianus [coyoleos Group]
841e125ffffffff,5.0,0.0,0.0,0.0,0.0
841ea13ffffffff,2.0,0.0,0.0,0.0,0.0
841ea1bffffffff,8.0,0.0,0.0,0.0,0.0
841f99dffffffff,4.0,0.0,0.0,0.0,0.0
8426015ffffffff,5.0,0.0,0.0,0.0,0.0
8426017ffffffff,18.0,4.0,0.0,0.0,0.0
842601dffffffff,1.0,0.0,0.0,0.0,0.0
8426025ffffffff,5.0,0.0,0.0,0.0,0.0
8426027ffffffff,2.0,0.0,0.0,0.0,0.0
842602bffffffff,2.0,0.0,0.0,0.0,0.0
842602dffffffff,2.0,0.0,0.0,0.0,0.0
8426031ffffffff,11.0,0.0,0.0,0.0,0.0
8426033ffffffff,32.0,0.0,0.0,0.0,0.0
8426035ffffffff,21.0,6.0,0.0,0.0,0.0
8426039ffffffff,2.0,0.0,0.0,0.0,0.0
842603dffffffff,9.0,0.0,0.0,0.0,0.0
8426061ffffffff,1.0,0.0,0.0,0.0,0.0
8426081ffffffff,4.0,0.0,0.0,0.0,0.0
8426083ffffffff,3.0,0.0,0.0,0.0,0.0
8426085ffffffff,4.0,0.0,0.0,0.0,0.0
8426087ffffffff,19.0,0.0,0.0,0.0,0.0
842608bffffffff,2.0,0.0,0.0,0.0,0.0
842608dffffffff,6.0,0.0,0.0,0.0,0.0
8426091ffffffff,10.0,0.0,0.0,0.0,0.0
8426093ffffffff,18.0,0.0,0.0,0.0,0.0
8426095ffffffff,11.0,0.0,0.0,0.0,0.0
8426097ffffffff,13.0,0.0,0.0,0.0,0.0
8426099ffffffff,155.0,0.0,0.0,0.0,0.0
842609bffffffff,22.0,0.0,0.0,0.0,0.0
842609dffffffff,3.0,0.0,0.0,0.0,0.0
84260a1ffffffff,260.0,0.0,0.0,0.0,0.0
84260a3ffffffff,29.0,0.0,0.0,0.0,0.0
84260a5ffffffff,16.0,0.0,0.0,0.0,0.0
84260a7ffffffff,24.0,0.0,0.0,0.0,0.0
84260a9ffffffff,95.0,1.0,0.0,0.0,0.0
84260abffffffff,8.0,0.0,0.0,0.0,0.0
84260adffffffff,112.0,0.0,0.0,0.0,0.0
84260b1ffffffff,13.0,0.0,0.0,0.0,0.0
84260b3ffffffff,48.0,0.0,0.0,0.0,0.0
84260b5ffffffff,36.0,0.0,0.0,0.0,0.0
84260b7ffffffff,19.0,0.0,0.0,0.0,0.0
84260b9ffffffff,141.0,0.0,0.0,0.0,0.0
84260bbffffffff,120.0,0.0,0.0,0.0,0.0
84260bdffffffff,17.0,0.0,0.0,0.0,0.0
84260d3ffffffff,2.0,0.0,0.0,0.0,0.0
84260d9ffffffff,9.0,0.0,0.0,0.0,0.0
84260e1ffffffff,4.0,0.0,0.0,0.0,0.0
84260e3ffffffff,14.0,1.0,0.0,0.0,0.0
84260e7ffffffff,16.0,0.0,0.0,0.0,0.0
84260e9ffffffff,1.0,0.0,0.0,0.0,0.0
84260ebffffffff,8.0,0.0,0.0,0.0,0.0
84260edffffffff,8.0,0.0,0.0,0.0,0.0
8426111ffffffff,10.0,0.0,0.0,0.0,0.0
8426115ffffffff,10.0,0.0,0.0,0.0,0.0
842611bffffffff,28.0,0.0,0.0,0.0,0.0
8426139ffffffff,2.0,0.0,0.0,0.0,0.0
842615dffffffff,2.0,0.0,0.0,0.0,0.0
8426181ffffffff,6.0,0.0,0.0,0.0,0.0
8426183ffffffff,82.0,0.0,0.0,0.0,0.0
8426185ffffffff,10.0,0.0,0.0,0.0,0.0
8426187ffffffff,4.0,0.0,0.0,0.0,0.0
8426189ffffffff,6.0,0.0,0.0,0.0,0.0
842618bffffffff,168.0,0.0,0.0,0.0,0.0
842618dffffffff,6.0,0.0,0.0,0.0,0.0
8426191ffffffff,21.0,0.0,0.0,0.0,0.0
8426193ffffffff,4.0,0.0,0.0,0.0,0.0
8426195ffffffff,2.0,0.0,0.0,0.0,0.0
8426197ffffffff,15.0,0.0,0.0,0.0,0.0
8426199ffffffff,33.0,0.0,0.0,0.0,0.0
842619bffffffff,4.0,0.0,0.0,0.0,0.0
842619dffffffff,31.0,0.0,0.0,0.0,0.0
84261a3ffffffff,2.0,0.0,0.0,0.0,0.0
84261a7ffffffff,3.0,0.0,0.0,0.0,0.0
84261a9ffffffff,9.0,0.0,0.0,0.0,0.0
84261abffffffff,13.0,0.0,0.0,0.0,0.0
84261adffffffff,9.0,0.0,0.0,0.0,0.0
84261b1ffffffff,12.0,0.0,0.0,0.0,0.0
84261b3ffffffff,28.0,0.0,0.0,0.0,0.0
84261b5ffffffff,7.0,0.0,0.0,0.0,0.0
84261b7ffffffff,36.0,0.0,0.0,0.0,0.0
