cell_id,Cyclopsitta desmarestii,Cyclopsitta desmarestii [desmarestii Group],Cyclopsitta desmarestii godmani,Cyclopsitta desmarestii cervicalis
829c8ffffffffff,5.0,0.0,0.0,0.0
829cd7fffffffff,16.0,0.0,0.0,1.0
