cell_id,Emberiza godlewskii,Emberiza godlewskii [godlewskii Group],Emberiza godlewskii yunnanensis/khamensis
84240adffffffff,2.0,0.0,0.0
8424505ffffffff,1.0,0.0,0.0
8424567ffffffff,1.0,0.0,0.0
8424c63ffffffff,1.0,0.0,0.0
8425135ffffffff,4.0,0.0,0.0
84255a7ffffffff,2.0,0.0,0.0
8425ac9ffffffff,5.0,5.0,0.0
843c0b7ffffffff,3.0,0.0,0.0
843c595ffffffff,47.0,0.0,0.0
843c681ffffffff,1.0,0.0,1.0
843c6a3ffffffff,1.0,0.0,1.0
843c6bdffffffff,2.0,0.0,2.0
843ce59ffffffff,2.0,0.0,0.0
843d049ffffffff,1.0,0.0,0.0
8440c29ffffffff,2.0,0.0,2.0
8440c2dffffffff,2.0,0.0,2.0
8440de3ffffffff,1.0,0.0,0.0
84415abffffffff,2.0,0.0,0.0
