cell_id,Terpsiphone rufiventer,Terpsiphone rufiventer [rufiventer Group],Terpsiphone rufiventer tricolor/neumanni,Terpsiphone rufiventer smithii
83541afffffffff,1.0,0.0,0.0,0.0
83541bfffffffff,2.0,0.0,0.0,0.0
8354a9fffffffff,381.0,231.0,0.0,0.0
8354e0fffffffff,2.0,0.0,0.0,0.0
8354e2fffffffff,20.0,0.0,0.0,0.0
8354e8fffffffff,6.0,0.0,0.0,0.0
8354f0fffffffff,3.0,0.0,0.0,0.0
8354f1fffffffff,7.0,0.0,0.0,0.0
8354f4fffffffff,50.0,31.0,0.0,0.0
8354f5fffffffff,7.0,0.0,0.0,0.0
8354f6fffffffff,4.0,4.0,0.0,0.0
835883fffffffff,4.0,0.0,0.0,0.0
835890fffffffff,8.0,1.0,0.0,0.0
835894fffffffff,11.0,0.0,0.0,0.0
835895fffffffff,7.0,1.0,0.0,0.0
835896fffffffff,23.0,10.0,0.0,0.0
8358d0fffffffff,1.0,0.0,0.0,0.0
8358d1fffffffff,1.0,0.0,0.0,0.0
8358d2fffffffff,9.0,0.0,0.0,0.0
8358d3fffffffff,44.0,0.0,40.0,0.0
836a10fffffffff,2.0,0.0,0.0,0.0
836a82fffffffff,1.0,1.0,0.0,0.0
836a9afffffffff,12.0,12.0,0.0,0.0
836a9efffffffff,10.0,10.0,0.0,0.0
836ac0fffffffff,171.0,89.0,0.0,0.0
836ac1fffffffff,367.0,139.0,0.0,0.0
836ac3fffffffff,22.0,5.0,0.0,0.0
836ac8fffffffff,200.0,86.0,0.0,0.0
836acafffffffff,5.0,3.0,0.0,0.0
836accfffffffff,34.0,10.0,0.0,0.0
836acdfffffffff,79.0,27.0,0.0,0.0
836adcfffffffff,60.0,20.0,0.0,0.0
836ae8fffffffff,2.0,0.0,0.0,0.0
836aeafffffffff,156.0,72.0,0.0,0.0
836aebfffffffff,2.0,0.0,0.0,0.0
837508fffffffff,275.0,159.0,0.0,0.0
837509fffffffff,2.0,0.0,0.0,0.0
83750cfffffffff,5.0,3.0,0.0,0.0
83750dfffffffff,465.0,295.0,0.0,0.0
837518fffffffff,3.0,0.0,0.0,0.0
837519fffffffff,5.0,0.0,0.0,0.0
83751dfffffffff,3.0,0.0,0.0,0.0
837520fffffffff,2.0,0.0,0.0,0.0
837529fffffffff,160.0,93.0,0.0,0.0
83752afffffffff,103.0,65.0,0.0,0.0
83752bfffffffff,44.0,29.0,0.0,0.0
83752dfffffffff,9.0,7.0,0.0,0.0
83752efffffffff,3.0,2.0,0.0,0.0
837584fffffffff,1.0,0.0,0.0,0.0
837586fffffffff,2.0,0.0,0.0,0.0
8375a0fffffffff,10.0,0.0,0.0,0.0
8375a1fffffffff,2.0,0.0,0.0,0.0
8375a3fffffffff,4.0,0.0,0.0,0.0
8375a8fffffffff,5.0,0.0,0.0,0.0
8375b0fffffffff,11.0,1.0,0.0,0.0
837a48fffffffff,2.0,0.0,0.0,0.0
837a4cfffffffff,22.0,0.0,0.0,0.0
837a4dfffffffff,2.0,0.0,0.0,0.0
838212fffffffff,20.0,0.0,0.0,0.0
838218fffffffff,7.0,0.0,0.0,0.0
83821bfffffffff,2.0,0.0,0.0,0.0
838233fffffffff,1.0,0.0,1.0,0.0
838283fffffffff,1.0,0.0,0.0,0.0
83828afffffffff,2.0,0.0,0.0,0.0
83828bfffffffff,2.0,0.0,0.0,0.0
83828dfffffffff,220.0,0.0,83.0,0.0
838294fffffffff,1.0,1.0,0.0,0.0
8382a0fffffffff,4.0,0.0,0.0,0.0
8382a8fffffffff,16.0,0.0,2.0,0.0
8382aafffffffff,2.0,0.0,2.0,0.0
8382abfffffffff,18.0,0.0,7.0,0.0
8382b2fffffffff,1.0,0.0,0.0,0.0
8382d0fffffffff,39.0,0.0,28.0,0.0
8382d1fffffffff,44.0,0.0,36.0,0.0
8382d2fffffffff,21.0,0.0,16.0,0.0
8382d3fffffffff,40.0,0.0,25.0,0.0
8382d5fffffffff,2.0,0.0,0.0,0.0
8382f2fffffffff,3.0,0.0,3.0,0.0
8382f4fffffffff,2.0,0.0,0.0,0.0
83838efffffffff,1.0,0.0,0.0,0.0
838398fffffffff,45.0,20.0,0.0,0.0
839608fffffffff,1.0,1.0,0.0,0.0
839609fffffffff,11.0,6.0,0.0,0.0
83960afffffffff,2.0,2.0,0.0,0.0
839656fffffffff,3.0,3.0,0.0,0.0
