cell_id,Pteroglossus bitorquatus,Pteroglossus bitorquatus sturmii,Pteroglossus bitorquatus bitorquatus/reichenowi
82800ffffffffff,5.0,0.0,0.0
82802ffffffffff,1.0,0.0,0.0
828047fffffffff,71.0,5.0,0.0
828067fffffffff,43.0,0.0,0.0
828077fffffffff,6.0,0.0,0.0
82814ffffffffff,47.0,0.0,0.0
82815ffffffffff,14.0,0.0,0.0
828a07fffffffff,32.0,3.0,0.0
828a17fffffffff,10.0,0.0,0.0
828a27fffffffff,17.0,3.0,0.0
828a37fffffffff,4.0,0.0,0.0
828a87fffffffff,33.0,0.0,0.0
828a97fffffffff,22.0,0.0,0.0
828a9ffffffffff,29.0,0.0,0.0
828aaffffffffff,9.0,0.0,0.0
828ab7fffffffff,1.0,0.0,0.0
828b0ffffffffff,1.0,0.0,0.0
828b17fffffffff,2.0,0.0,0.0
828b1ffffffffff,6.0,0.0,0.0
828b37fffffffff,1.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828b87fffffffff,82.0,3.0,0.0
828b8ffffffffff,16.0,0.0,0.0
828b97fffffffff,2.0,0.0,0.0
828b9ffffffffff,534.0,17.0,0.0
828ba7fffffffff,25.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0
82a8cffffffffff,3.0,3.0,0.0
