cell_id,Lanius isabellinus,Lanius isabellinus isabellinus,Lanius isabellinus arenarius/tsaidamensis
83088efffffffff,2.0,0.0,0.0
83099efffffffff,1.0,0.0,0.0
831595fffffffff,2.0,0.0,0.0
831828fffffffff,2.0,0.0,0.0
831873fffffffff,6.0,0.0,0.0
831940fffffffff,2.0,0.0,0.0
831941fffffffff,5.0,2.0,0.0
83194efffffffff,5.0,2.0,0.0
831968fffffffff,2.0,1.0,0.0
83196dfffffffff,3.0,0.0,0.0
831976fffffffff,1.0,1.0,0.0
831e24fffffffff,1.0,0.0,0.0
831edafffffffff,1.0,0.0,0.0
831f09fffffffff,1.0,0.0,0.0
831f33fffffffff,4.0,0.0,0.0
831f91fffffffff,3.0,2.0,0.0
831fa4fffffffff,2.0,0.0,0.0
831facfffffffff,8.0,0.0,0.0
832049fffffffff,2.0,2.0,0.0
832084fffffffff,1.0,0.0,0.0
8320b3fffffffff,6.0,0.0,0.0
8320e3fffffffff,1.0,0.0,0.0
83240afffffffff,1.0,0.0,0.0
83240cfffffffff,2.0,0.0,0.0
83244bfffffffff,2.0,0.0,0.0
832456fffffffff,2.0,2.0,0.0
832482fffffffff,4.0,0.0,2.0
832512fffffffff,2.0,2.0,0.0
832513fffffffff,8.0,6.0,0.0
8325acfffffffff,17.0,14.0,0.0
8325aefffffffff,2.0,2.0,0.0
832c09fffffffff,2.0,0.0,0.0
832c0afffffffff,4.0,0.0,0.0
832c0bfffffffff,3.0,3.0,0.0
832c12fffffffff,2.0,0.0,0.0
832c19fffffffff,3.0,0.0,0.0
832c20fffffffff,1.0,0.0,0.0
832c93fffffffff,2.0,0.0,0.0
832ce4fffffffff,25.0,4.0,0.0
832d03fffffffff,3.0,0.0,0.0
832da1fffffffff,2.0,0.0,0.0
832da4fffffffff,1.0,0.0,0.0
832da8fffffffff,1.0,0.0,0.0
832daefffffffff,1.0,0.0,0.0
832db0fffffffff,44.0,5.0,0.0
832db1fffffffff,5.0,0.0,0.0
832db2fffffffff,14.0,3.0,0.0
832db3fffffffff,1.0,0.0,0.0
832db6fffffffff,4.0,4.0,0.0
8330c4fffffffff,1.0,0.0,0.0
833911fffffffff,9.0,0.0,0.0
83391efffffffff,27.0,0.0,0.0
833944fffffffff,2.0,1.0,0.0
833946fffffffff,2.0,2.0,0.0
833954fffffffff,13.0,0.0,0.0
833973fffffffff,2.0,0.0,0.0
833982fffffffff,7.0,0.0,0.0
833c1bfffffffff,7.0,0.0,0.0
833c36fffffffff,4.0,0.0,0.0
833ca2fffffffff,1.0,0.0,0.0
833ca4fffffffff,1.0,0.0,0.0
833cb0fffffffff,6.0,0.0,0.0
833cb1fffffffff,3.0,0.0,0.0
833cb4fffffffff,1.0,0.0,0.0
833cb5fffffffff,1.0,0.0,0.0
833cf1fffffffff,1.0,0.0,0.0
833d04fffffffff,2.0,0.0,0.0
833d10fffffffff,5.0,0.0,0.0
