cell_id,Geoffroyus heteroclitus,Geoffroyus heteroclitus heteroclitus,Geoffroyus heteroclitus hyacinthinus
8476801ffffffff,1.0,0.0,0.0
8476805ffffffff,1.0,0.0,0.0
8476807ffffffff,2.0,0.0,0.0
8476815ffffffff,1.0,0.0,0.0
8476845ffffffff,1.0,0.0,0.0
84768abffffffff,1.0,0.0,0.0
847699bffffffff,2.0,0.0,0.0
847699dffffffff,38.0,0.0,0.0
84769d1ffffffff,23.0,0.0,0.0
84769d9ffffffff,3.0,0.0,0.0
84769ddffffffff,3.0,0.0,0.0
8477911ffffffff,1.0,0.0,0.0
8477913ffffffff,1.0,0.0,0.0
8477981ffffffff,5.0,0.0,0.0
847799dffffffff,1.0,0.0,0.0
84779a3ffffffff,1.0,0.0,0.0
84779b5ffffffff,1.0,0.0,0.0
849c901ffffffff,49.0,6.0,0.0
849c905ffffffff,1.0,0.0,0.0
849c907ffffffff,1.0,0.0,0.0
849c90dffffffff,1.0,0.0,0.0
849c91dffffffff,1.0,0.0,0.0
849c961ffffffff,2.0,0.0,0.0
849ec03ffffffff,13.0,0.0,0.0
849ec39ffffffff,2.0,0.0,0.0
849ed19ffffffff,1.0,0.0,0.0
849ed33ffffffff,2.0,0.0,0.0
849ed51ffffffff,16.0,0.0,0.0
849ed59ffffffff,1.0,0.0,0.0
849ed8dffffffff,1.0,0.0,0.0
849eda7ffffffff,5.0,0.0,0.0
849ede1ffffffff,5.0,0.0,0.0
849ede3ffffffff,1.0,0.0,0.0
849edebffffffff,10.0,0.0,0.0
