cell_id,Leiothrix argentauris,Leiothrix argentauris [argentauris Group],Leiothrix argentauris laurinae/rookmakeri
843c0a5ffffffff,5.0,0.0,0.0
843c19bffffffff,6.0,0.0,0.0
843c1d7ffffffff,4.0,0.0,0.0
843c369ffffffff,3.0,0.0,0.0
843c537ffffffff,2.0,0.0,0.0
843cc03ffffffff,12.0,0.0,0.0
843cc0bffffffff,4.0,0.0,0.0
843cc11ffffffff,18.0,0.0,0.0
843cc15ffffffff,3.0,0.0,0.0
843cc1dffffffff,1.0,0.0,0.0
843cc31ffffffff,5.0,0.0,0.0
843cc39ffffffff,6.0,0.0,0.0
843ce29ffffffff,23.0,0.0,0.0
843ce4dffffffff,2.0,1.0,0.0
843ce55ffffffff,4.0,0.0,0.0
843ce57ffffffff,2.0,0.0,0.0
843cec9ffffffff,1.0,0.0,0.0
843d137ffffffff,1.0,0.0,0.0
843daddffffffff,7.0,0.0,0.0
844ba21ffffffff,3.0,0.0,0.0
844ba29ffffffff,2.0,0.0,0.0
846434bffffffff,2.0,0.0,0.0
8464911ffffffff,4.0,4.0,0.0
846500bffffffff,221.0,3.0,0.0
8465039ffffffff,19.0,0.0,0.0
8465055ffffffff,33.0,0.0,0.0
84651c9ffffffff,1.0,0.0,0.0
8465b2bffffffff,3.0,0.0,0.0
8465b39ffffffff,2.0,0.0,0.0
