cell_id,Sitta europaea,Sitta europaea [europaea Group],Sitta europaea [asiatica Group],Sitta europaea [roseilia Group],Sitta europaea sinensis/formosana
830802fffffffff,3.0,0.0,0.0,0.0,0.0
830806fffffffff,10.0,0.0,0.0,0.0,0.0
830810fffffffff,12.0,0.0,0.0,0.0,0.0
830811fffffffff,1.0,0.0,0.0,0.0,0.0
830812fffffffff,5.0,0.0,0.0,0.0,0.0
830813fffffffff,10.0,0.0,0.0,0.0,0.0
830814fffffffff,2.0,1.0,0.0,0.0,0.0
830815fffffffff,28.0,0.0,0.0,0.0,0.0
830816fffffffff,1.0,1.0,0.0,0.0,0.0
83081efffffffff,6.0,0.0,0.0,0.0,0.0
830832fffffffff,12.0,3.0,0.0,0.0,0.0
830833fffffffff,10.0,0.0,0.0,0.0,0.0
830836fffffffff,6.0,1.0,0.0,0.0,0.0
830880fffffffff,96.0,0.0,0.0,0.0,0.0
830882fffffffff,53.0,0.0,0.0,0.0,0.0
830883fffffffff,20.0,0.0,1.0,0.0,0.0
830884fffffffff,46.0,0.0,0.0,0.0,0.0
830885fffffffff,18.0,0.0,0.0,0.0,0.0
830886fffffffff,764.0,0.0,0.0,0.0,0.0
83088afffffffff,1.0,0.0,0.0,0.0,0.0
830895fffffffff,155.0,0.0,0.0,0.0,0.0
830896fffffffff,6.0,0.0,0.0,0.0,0.0
830898fffffffff,6.0,0.0,0.0,0.0,0.0
83089afffffffff,132.0,5.0,0.0,0.0,0.0
83089bfffffffff,28.0,4.0,0.0,0.0,0.0
83089dfffffffff,2.0,0.0,0.0,0.0,0.0
83089efffffffff,5.0,0.0,0.0,0.0,0.0
8308a2fffffffff,28.0,0.0,0.0,0.0,0.0
8308a3fffffffff,14.0,0.0,0.0,0.0,0.0
8308a4fffffffff,26.0,5.0,0.0,0.0,0.0
8308a5fffffffff,8.0,0.0,0.0,0.0,0.0
8308a6fffffffff,11.0,4.0,0.0,0.0,0.0
8308aefffffffff,4.0,0.0,0.0,0.0,0.0
8308b0fffffffff,40.0,0.0,0.0,0.0,0.0
8308b1fffffffff,122.0,0.0,0.0,0.0,0.0
8308b2fffffffff,3.0,0.0,0.0,0.0,0.0
8308b3fffffffff,39.0,0.0,0.0,0.0,0.0
8308b4fffffffff,30.0,0.0,0.0,0.0,0.0
8308b5fffffffff,10.0,0.0,0.0,0.0,0.0
8308b6fffffffff,23.0,0.0,0.0,0.0,0.0
8308ecfffffffff,2.0,0.0,0.0,0.0,0.0
