cell_id,Myadestes ralloides,Myadestes ralloides plumbeiceps,Myadestes ralloides venezuelensis/candelae,Myadestes ralloides ralloides
83660dfffffffff,1.0,0.0,0.0,0.0
83661bfffffffff,8.0,6.0,0.0,0.0
836629fffffffff,1.0,0.0,0.0,0.0
8366d3fffffffff,25.0,8.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0,0.0
8366e0fffffffff,4.0,0.0,0.0,0.0
8366e6fffffffff,3.0,1.0,0.0,0.0
8366f0fffffffff,15.0,0.0,0.0,0.0
8366f1fffffffff,3.0,0.0,0.0,0.0
83674efffffffff,5.0,0.0,1.0,0.0
836751fffffffff,3.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0
83675efffffffff,13.0,0.0,0.0,0.0
838b61fffffffff,33.0,0.0,0.0,33.0
838b69fffffffff,19.0,0.0,0.0,0.0
838e65fffffffff,4.0,0.0,0.0,4.0
838f0dfffffffff,4.0,2.0,0.0,0.0
838f29fffffffff,8.0,0.0,0.0,0.0
838f2bfffffffff,5.0,0.0,0.0,0.0
