cell_id,Kleinothraupis atropileus,Kleinothraupis atropileus atropileus,Kleinothraupis atropileus auricularis
82660ffffffffff,71.0,3.0,0.0
82661ffffffffff,1462.0,46.0,0.0
8266c7fffffffff,162.0,0.0,0.0
8266d7fffffffff,99.0,11.0,0.0
8266dffffffffff,874.0,165.0,0.0
8266e7fffffffff,2892.0,88.0,0.0
8266f7fffffffff,122.0,0.0,0.0
828b67fffffffff,309.0,0.0,33.0
828b6ffffffffff,170.0,0.0,17.0
828e67fffffffff,76.0,0.0,0.0
828e6ffffffffff,13.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0
828f2ffffffffff,6.0,0.0,0.0
828f47fffffffff,20.0,0.0,0.0
828f4ffffffffff,14.0,0.0,0.0
828f57fffffffff,123.0,0.0,12.0
828f5ffffffffff,140.0,0.0,20.0
828f77fffffffff,375.0,67.0,2.0
