cell_id,Oriolus chinensis,Oriolus chinensis diffusus,Oriolus chinensis [maculatus Group],Oriolus chinensis [chinensis Group],Oriolus chinensis melanisticus,Oriolus chinensis [frontalis Group],Oriolus chinensis broderipi/boneratensis
833cd4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833cd8fffffffff,13.0,2.0,0.0,0.0,0.0,0.0,0.0
833cd9fffffffff,19.0,5.0,0.0,0.0,0.0,0.0,0.0
833cdbfffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
833cdcfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
833cddfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce3fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce4fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce5fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
833ce9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833ceafffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
833cecfffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
833cf0fffffffff,63.0,1.0,0.0,0.0,0.0,0.0,0.0
833cf1fffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
833cf2fffffffff,721.0,23.0,0.0,0.0,0.0,0.0,0.0
833cf3fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
833cf4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833cf6fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
83402dfffffffff,20.0,6.0,0.0,0.0,0.0,0.0,0.0
834030fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834040fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
834041fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834045fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
834049fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83404cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83404dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83405cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834065fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83406bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834073fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834082fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83408bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83408dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83408efffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
