cell_id,Leucocarbo chalconotus,Leucocarbo chalconotus chalconotus,Leucocarbo chalconotus stewarti
82da87fffffffff,44.0,13.0,0.0
82daaffffffffff,71.0,0.0,61.0
82dab7fffffffff,5.0,1.0,0.0
