cell_id,Vireo flavoviridis,Vireo flavoviridis [flavoviridis Group],Vireo flavoviridis forreri
842802bffffffff,11.0,0.0,0.0
8428309ffffffff,32.0,0.0,0.0
842830bffffffff,6.0,0.0,0.0
842831dffffffff,3.0,0.0,0.0
842833bffffffff,1.0,0.0,0.0
8428341ffffffff,15.0,0.0,0.0
8428343ffffffff,5.0,0.0,0.0
842834dffffffff,30.0,0.0,0.0
8428355ffffffff,35.0,0.0,0.0
8428357ffffffff,36.0,0.0,0.0
8429125ffffffff,30.0,0.0,0.0
8429135ffffffff,2.0,0.0,0.0
84291a7ffffffff,48.0,0.0,0.0
84291e1ffffffff,9.0,0.0,0.0
84291e7ffffffff,7.0,0.0,0.0
8429845ffffffff,1.0,0.0,0.0
8429849ffffffff,19.0,0.0,0.0
842986bffffffff,2.0,0.0,0.0
8429a1bffffffff,39.0,0.0,0.0
8429a1dffffffff,21.0,0.0,0.0
8429a3bffffffff,2.0,0.0,0.0
8429a41ffffffff,142.0,0.0,0.0
8429a47ffffffff,2.0,0.0,0.0
8429a4dffffffff,4.0,0.0,0.0
8429a57ffffffff,11.0,0.0,0.0
8429a59ffffffff,1.0,0.0,0.0
8429ac9ffffffff,14.0,0.0,0.0
8429ad1ffffffff,11.0,0.0,0.0
8429addffffffff,14.0,0.0,0.0
8429b5bffffffff,3.0,0.0,0.0
8429b6bffffffff,3.0,0.0,0.0
842a301ffffffff,5.0,0.0,0.0
842a313ffffffff,3.0,0.0,0.0
842aad1ffffffff,19.0,0.0,0.0
842af03ffffffff,3.0,0.0,0.0
84441e7ffffffff,1.0,0.0,0.0
8444459ffffffff,2.0,0.0,0.0
844450dffffffff,1.0,0.0,0.0
8444633ffffffff,14.0,0.0,0.0
84446c5ffffffff,12.0,0.0,0.0
84446dbffffffff,20.0,0.0,0.0
84446e9ffffffff,1.0,0.0,0.0
84446edffffffff,10.0,0.0,0.0
844473bffffffff,26.0,0.0,0.0
8444a19ffffffff,78.0,0.0,0.0
8444a53ffffffff,4.0,0.0,0.0
8444a57ffffffff,66.0,0.0,0.0
8444a81ffffffff,5.0,0.0,0.0
8444ab9ffffffff,5.0,0.0,0.0
8444d01ffffffff,3.0,0.0,0.0
8444e5bffffffff,7.0,0.0,0.0
8445019ffffffff,1.0,0.0,0.0
8445043ffffffff,2.0,0.0,0.0
8445087ffffffff,1.0,0.0,0.0
84450abffffffff,5.0,0.0,0.0
8445207ffffffff,4.0,0.0,0.0
844520dffffffff,3.0,0.0,0.0
8445217ffffffff,7.0,0.0,0.0
8445221ffffffff,1.0,0.0,0.0
8445225ffffffff,2.0,0.0,0.0
8445237ffffffff,2.0,0.0,0.0
8445249ffffffff,6.0,0.0,0.0
844525bffffffff,3.0,0.0,0.0
8445263ffffffff,5.0,0.0,0.0
84452a5ffffffff,2.0,0.0,0.0
84452adffffffff,9.0,0.0,0.0
84452c3ffffffff,1.0,0.0,0.0
84452e1ffffffff,17.0,0.0,0.0
84452ebffffffff,2.0,0.0,0.0
8448337ffffffff,1.0,0.0,0.0
8448361ffffffff,1.0,0.0,0.0
8448435ffffffff,9.0,0.0,0.0
8448437ffffffff,1.0,0.0,0.0
8448469ffffffff,2.0,0.0,0.0
