cell_id,Sittasomus griseicapillus,Sittasomus griseicapillus [griseus Group],Sittasomus griseicapillus aequatorialis,Sittasomus griseicapillus [griseicapillus Group],Sittasomus griseicapillus reiseri,Sittasomus griseicapillus sylviellus/olivaceus
834424fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
834501fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
834505fffffffff,35.0,7.0,0.0,0.0,0.0,0.0
834508fffffffff,776.0,6.0,0.0,0.0,0.0,0.0
834509fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
83450afffffffff,413.0,18.0,0.0,0.0,0.0,0.0
83450bfffffffff,146.0,0.0,0.0,0.0,0.0,0.0
83450cfffffffff,89.0,10.0,0.0,0.0,0.0,0.0
83450dfffffffff,388.0,0.0,0.0,0.0,0.0,0.0
83450efffffffff,704.0,86.0,0.0,0.0,0.0,0.0
834520fffffffff,148.0,0.0,0.0,0.0,0.0,0.0
834521fffffffff,191.0,6.0,0.0,0.0,0.0,0.0
834522fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
834523fffffffff,223.0,4.0,0.0,0.0,0.0,0.0
834524fffffffff,142.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,53.0,0.0,0.0,0.0,0.0,0.0
834526fffffffff,237.0,0.0,0.0,0.0,0.0,0.0
834528fffffffff,1023.0,62.0,0.0,0.0,0.0,0.0
834529fffffffff,16.0,6.0,0.0,0.0,0.0,0.0
83452afffffffff,1252.0,81.0,0.0,0.0,0.0,0.0
83452bfffffffff,209.0,22.0,0.0,0.0,0.0,0.0
83452cfffffffff,896.0,134.0,0.0,0.0,0.0,0.0
83452dfffffffff,459.0,128.0,0.0,0.0,0.0,0.0
83452efffffffff,6641.0,480.0,0.0,0.0,0.0,0.0
834531fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
834534fffffffff,71.0,0.0,0.0,0.0,0.0,0.0
834535fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
834536fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
834564fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
