cell_id,Tyrannus savana,Tyrannus savana savana,Tyrannus savana monachus,Tyrannus savana sanctaemartae,Tyrannus savana circumdatus
824507fffffffff,219.0,0.0,9.0,0.0,0.0
82450ffffffffff,197.0,0.0,19.0,0.0,0.0
824527fffffffff,1335.0,0.0,8.0,0.0,0.0
82452ffffffffff,5889.0,0.0,201.0,0.0,0.0
824537fffffffff,137.0,0.0,0.0,0.0,0.0
824577fffffffff,76.0,0.0,6.0,0.0,0.0
824997fffffffff,227.0,0.0,10.0,0.0,0.0
825e67fffffffff,8.0,0.0,0.0,0.0,0.0
825f07fffffffff,3.0,0.0,0.0,0.0,0.0
825f0ffffffffff,190.0,0.0,0.0,0.0,0.0
825f17fffffffff,9.0,0.0,0.0,0.0,0.0
825f1ffffffffff,28.0,0.0,0.0,0.0,0.0
825f27fffffffff,9.0,0.0,0.0,0.0,0.0
825f2ffffffffff,1079.0,0.0,0.0,0.0,0.0
825f47fffffffff,55.0,0.0,0.0,0.0,0.0
825f4ffffffffff,137.0,0.0,0.0,0.0,0.0
825f57fffffffff,3.0,0.0,0.0,0.0,0.0
825f5ffffffffff,379.0,0.0,0.0,0.0,0.0
825f67fffffffff,1.0,0.0,0.0,0.0,0.0
825f6ffffffffff,24.0,0.0,0.0,0.0,0.0
825f77fffffffff,60.0,0.0,0.0,0.0,0.0
826607fffffffff,851.0,4.0,0.0,1.0,0.0
82660ffffffffff,1030.0,25.0,0.0,0.0,0.0
826617fffffffff,2585.0,5.0,0.0,0.0,0.0
82661ffffffffff,2191.0,9.0,11.0,0.0,0.0
826627fffffffff,760.0,0.0,0.0,13.0,0.0
82662ffffffffff,142.0,0.0,0.0,0.0,0.0
826637fffffffff,168.0,0.0,0.0,0.0,0.0
826647fffffffff,295.0,0.0,0.0,0.0,0.0
82664ffffffffff,14.0,0.0,0.0,0.0,0.0
826657fffffffff,1762.0,0.0,0.0,0.0,0.0
82665ffffffffff,252.0,0.0,0.0,0.0,0.0
826667fffffffff,194.0,0.0,0.0,0.0,0.0
82666ffffffffff,7.0,0.0,0.0,0.0,0.0
826677fffffffff,875.0,0.0,0.0,0.0,0.0
8266a7fffffffff,3720.0,0.0,0.0,0.0,0.0
8266b7fffffffff,2629.0,0.0,0.0,0.0,0.0
8266c7fffffffff,582.0,0.0,0.0,0.0,0.0
8266cffffffffff,63.0,0.0,0.0,0.0,0.0
8266d7fffffffff,21.0,0.0,0.0,0.0,0.0
8266dffffffffff,237.0,38.0,0.0,0.0,0.0
8266e7fffffffff,5460.0,43.0,12.0,0.0,0.0
8266effffffffff,695.0,0.0,0.0,0.0,0.0
8266f7fffffffff,1664.0,0.0,12.0,0.0,0.0
826747fffffffff,231.0,0.0,0.0,0.0,0.0
82674ffffffffff,353.0,0.0,1.0,0.0,0.0
826757fffffffff,1456.0,0.0,0.0,0.0,0.0
82675ffffffffff,344.0,0.0,0.0,0.0,0.0
82676ffffffffff,29.0,0.0,0.0,0.0,0.0
826777fffffffff,38.0,0.0,0.0,0.0,0.0
826797fffffffff,182.0,0.0,0.0,0.0,0.0
8267b7fffffffff,6.0,0.0,0.0,0.0,0.0
826d07fffffffff,3.0,0.0,0.0,0.0,0.0
826d27fffffffff,529.0,0.0,42.0,0.0,0.0
826d2ffffffffff,320.0,0.0,6.0,0.0,0.0
826d37fffffffff,1299.0,0.0,19.0,0.0,0.0
826d67fffffffff,302.0,0.0,0.0,0.0,0.0
826d6ffffffffff,668.0,0.0,0.0,0.0,0.0
82800ffffffffff,9.0,0.0,0.0,0.0,0.0
828017fffffffff,14.0,0.0,0.0,0.0,0.0
828037fffffffff,4.0,0.0,0.0,0.0,0.0
828047fffffffff,35.0,0.0,0.0,0.0,0.0
82804ffffffffff,12.0,0.0,0.0,0.0,0.0
828057fffffffff,1.0,0.0,0.0,0.0,0.0
828067fffffffff,2.0,0.0,0.0,0.0,0.0
82806ffffffffff,41.0,0.0,0.0,0.0,0.0
828077fffffffff,2.0,0.0,0.0,0.0,0.0
828107fffffffff,77.0,0.0,0.0,0.0,0.0
828117fffffffff,4.0,0.0,0.0,0.0,0.0
828127fffffffff,34.0,7.0,0.0,0.0,0.0
82812ffffffffff,28.0,6.0,0.0,0.0,0.0
828137fffffffff,15.0,0.0,0.0,0.0,0.0
828147fffffffff,43.0,0.0,0.0,0.0,0.0
82814ffffffffff,17.0,0.0,0.0,0.0,0.0
828157fffffffff,3.0,0.0,0.0,0.0,0.0
82815ffffffffff,4.0,0.0,0.0,0.0,0.0
828167fffffffff,50.0,2.0,0.0,0.0,0.0
828177fffffffff,124.0,12.0,0.0,0.0,0.0
828187fffffffff,9.0,0.0,0.0,0.0,0.0
82818ffffffffff,2.0,0.0,0.0,0.0,0.0
82819ffffffffff,4.0,0.0,0.0,0.0,0.0
8281affffffffff,3.0,0.0,0.0,0.0,0.0
828a07fffffffff,47.0,0.0,0.0,0.0,0.0
828a17fffffffff,11.0,0.0,0.0,0.0,0.0
828a1ffffffffff,15.0,0.0,0.0,0.0,0.0
828a27fffffffff,9.0,0.0,0.0,0.0,0.0
828a37fffffffff,4.0,0.0,0.0,0.0,0.0
828a47fffffffff,175.0,0.0,0.0,0.0,0.0
828a57fffffffff,9.0,0.0,0.0,0.0,0.0
828a5ffffffffff,3.0,0.0,0.0,0.0,0.0
828a6ffffffffff,294.0,0.0,0.0,0.0,0.0
828a77fffffffff,20.0,0.0,0.0,0.0,0.0
828a87fffffffff,9.0,0.0,0.0,0.0,0.0
828a8ffffffffff,62.0,0.0,0.0,0.0,0.0
828a9ffffffffff,59.0,0.0,0.0,0.0,0.0
828aaffffffffff,157.0,0.0,0.0,0.0,0.0
828adffffffffff,137.0,0.0,0.0,0.0,0.0
828ae7fffffffff,3.0,0.0,0.0,0.0,0.0
