cell_id,Trogon melanurus,Trogon melanurus macroura,Trogon melanurus melanurus/eumorphus
835f01fffffffff,7.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,64.0,0.0,0.0
835f06fffffffff,2.0,0.0,0.0
835f0dfffffffff,8.0,0.0,0.0
835f10fffffffff,17.0,0.0,0.0
835f11fffffffff,6.0,0.0,0.0
835f12fffffffff,2.0,0.0,0.0
835f13fffffffff,12.0,0.0,0.0
835f14fffffffff,7.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0
835f16fffffffff,15.0,0.0,0.0
835f1cfffffffff,15.0,0.0,0.0
835f28fffffffff,1.0,0.0,0.0
835f29fffffffff,1.0,0.0,0.0
835f2bfffffffff,269.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,1.0,0.0,0.0
835f42fffffffff,3.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f54fffffffff,22.0,0.0,0.0
835f68fffffffff,5.0,0.0,0.0
835f71fffffffff,7.0,0.0,0.0
835f75fffffffff,4.0,0.0,0.0
836600fffffffff,2.0,0.0,0.0
836602fffffffff,2.0,0.0,0.0
836604fffffffff,8.0,0.0,0.0
836605fffffffff,2.0,0.0,0.0
836606fffffffff,34.0,0.0,0.0
836608fffffffff,2.0,0.0,0.0
83660afffffffff,190.0,4.0,0.0
83660efffffffff,17.0,0.0,0.0
836610fffffffff,1789.0,129.0,0.0
836611fffffffff,70.0,0.0,0.0
836612fffffffff,52.0,0.0,0.0
836613fffffffff,683.0,60.0,0.0
836616fffffffff,949.0,90.0,0.0
83661afffffffff,11.0,0.0,0.0
83661bfffffffff,4.0,0.0,0.0
83661cfffffffff,15.0,0.0,0.0
83661efffffffff,144.0,0.0,0.0
836641fffffffff,285.0,0.0,2.0
836643fffffffff,1.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
83665afffffffff,87.0,0.0,0.0
83665bfffffffff,12.0,0.0,0.0
83666efffffffff,6.0,0.0,0.0
8366a5fffffffff,2859.0,278.0,0.0
8366a9fffffffff,6.0,0.0,0.0
8366c0fffffffff,4.0,0.0,0.0
8366c1fffffffff,13.0,0.0,0.0
8366c2fffffffff,93.0,0.0,0.0
8366c3fffffffff,1.0,0.0,0.0
8366c5fffffffff,11.0,0.0,0.0
8366cefffffffff,64.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0
8366d8fffffffff,36.0,0.0,1.0
8366dbfffffffff,15.0,0.0,4.0
8366dcfffffffff,680.0,0.0,74.0
8366ddfffffffff,65.0,0.0,4.0
8366defffffffff,47.0,0.0,10.0
8366e8fffffffff,4.0,0.0,0.0
8366eafffffffff,12.0,0.0,3.0
8366ecfffffffff,293.0,0.0,0.0
8366eefffffffff,133.0,0.0,0.0
8366f0fffffffff,5.0,0.0,0.0
8366f3fffffffff,17.0,0.0,0.0
838044fffffffff,6.0,0.0,0.0
838046fffffffff,162.0,0.0,1.0
83804cfffffffff,2.0,0.0,0.0
838061fffffffff,15.0,0.0,0.0
838062fffffffff,2.0,0.0,0.0
838065fffffffff,27.0,0.0,0.0
838066fffffffff,2.0,0.0,0.0
838068fffffffff,2.0,0.0,0.0
83806bfffffffff,26.0,0.0,0.0
83806efffffffff,2.0,0.0,0.0
838071fffffffff,4.0,0.0,0.0
838072fffffffff,2.0,0.0,0.0
838075fffffffff,5.0,0.0,2.0
838140fffffffff,11.0,0.0,0.0
838142fffffffff,10.0,0.0,0.0
838143fffffffff,12.0,0.0,0.0
838144fffffffff,2.0,0.0,0.0
838145fffffffff,42.0,0.0,0.0
838146fffffffff,14.0,0.0,0.0
83814afffffffff,46.0,0.0,0.0
83814cfffffffff,2.0,0.0,0.0
83814dfffffffff,40.0,0.0,0.0
83814efffffffff,35.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
83815afffffffff,4.0,0.0,0.0
83815cfffffffff,11.0,0.0,0.0
83815dfffffffff,24.0,0.0,0.0
83815efffffffff,3.0,0.0,0.0
838162fffffffff,5.0,0.0,0.0
838163fffffffff,40.0,0.0,0.0
838171fffffffff,76.0,0.0,0.0
838a00fffffffff,8.0,0.0,2.0
838a04fffffffff,2.0,0.0,0.0
838a05fffffffff,28.0,0.0,4.0
838a06fffffffff,2.0,0.0,0.0
838a10fffffffff,24.0,0.0,0.0
838a15fffffffff,14.0,0.0,1.0
838a19fffffffff,1.0,0.0,1.0
838a1afffffffff,17.0,0.0,2.0
838a20fffffffff,1.0,0.0,1.0
838a21fffffffff,12.0,0.0,0.0
838a23fffffffff,9.0,0.0,0.0
838a24fffffffff,9.0,0.0,0.0
838a25fffffffff,3.0,0.0,0.0
838a2cfffffffff,2.0,0.0,0.0
838a31fffffffff,28.0,0.0,3.0
838a33fffffffff,16.0,0.0,0.0
838a34fffffffff,1.0,0.0,0.0
838a35fffffffff,1.0,0.0,0.0
838a45fffffffff,147.0,0.0,0.0
838a52fffffffff,2.0,0.0,0.0
838a56fffffffff,2.0,0.0,0.0
838a5afffffffff,1.0,0.0,1.0
838a63fffffffff,42.0,0.0,0.0
838a68fffffffff,13.0,0.0,0.0
838a69fffffffff,128.0,0.0,0.0
838a6afffffffff,1.0,0.0,0.0
838a6dfffffffff,250.0,0.0,0.0
838a6efffffffff,2.0,0.0,0.0
838a70fffffffff,13.0,0.0,0.0
838a80fffffffff,18.0,0.0,2.0
838a81fffffffff,16.0,0.0,0.0
838a82fffffffff,1.0,0.0,0.0
838a8cfffffffff,10.0,0.0,0.0
838a91fffffffff,2.0,0.0,0.0
838a92fffffffff,12.0,0.0,0.0
838a9cfffffffff,26.0,0.0,0.0
838a9dfffffffff,5.0,0.0,0.0
838aa8fffffffff,60.0,0.0,0.0
838aa9fffffffff,5.0,0.0,0.0
838aaafffffffff,65.0,0.0,0.0
838aabfffffffff,30.0,0.0,0.0
838aacfffffffff,5.0,0.0,0.0
838aadfffffffff,9.0,0.0,0.0
838ab5fffffffff,1.0,0.0,0.0
838adefffffffff,3.0,0.0,0.0
838ae1fffffffff,1.0,0.0,0.0
838ae5fffffffff,17.0,0.0,0.0
838af0fffffffff,55.0,0.0,9.0
838af1fffffffff,17.0,0.0,0.0
838af2fffffffff,121.0,0.0,8.0
838af4fffffffff,76.0,0.0,0.0
838af6fffffffff,601.0,0.0,54.0
838b04fffffffff,3.0,0.0,0.0
838b05fffffffff,4.0,0.0,0.0
838b09fffffffff,3.0,0.0,0.0
838b0afffffffff,2.0,0.0,0.0
838b0bfffffffff,2.0,0.0,0.0
838b0cfffffffff,82.0,0.0,0.0
838b0efffffffff,1.0,0.0,0.0
838b10fffffffff,1.0,0.0,0.0
838b11fffffffff,4.0,0.0,0.0
838b13fffffffff,2.0,0.0,0.0
838b1cfffffffff,4.0,0.0,0.0
838b1dfffffffff,6.0,0.0,0.0
838b1efffffffff,6.0,0.0,0.0
838b21fffffffff,3.0,0.0,0.0
838b22fffffffff,97.0,0.0,0.0
838b23fffffffff,1.0,0.0,0.0
838b26fffffffff,1.0,0.0,0.0
838b28fffffffff,2.0,0.0,0.0
838b2afffffffff,5.0,0.0,0.0
838b2bfffffffff,3.0,0.0,0.0
838b2efffffffff,13.0,0.0,0.0
838b31fffffffff,1.0,0.0,0.0
838b40fffffffff,135.0,0.0,0.0
838b42fffffffff,15.0,0.0,0.0
838b44fffffffff,425.0,0.0,0.0
838b45fffffffff,27.0,0.0,0.0
838b46fffffffff,27.0,0.0,0.0
838b48fffffffff,4.0,0.0,0.0
838b4afffffffff,1.0,0.0,0.0
838b4efffffffff,27.0,0.0,0.0
838b50fffffffff,2.0,0.0,0.0
838b51fffffffff,61.0,0.0,2.0
838b52fffffffff,17.0,0.0,0.0
838b56fffffffff,48.0,0.0,0.0
838b5cfffffffff,91.0,0.0,11.0
838b5dfffffffff,4.0,0.0,0.0
838b5efffffffff,1.0,0.0,0.0
838b61fffffffff,822.0,0.0,0.0
838b62fffffffff,70.0,0.0,0.0
838b63fffffffff,548.0,0.0,0.0
838b68fffffffff,9.0,0.0,0.0
838b69fffffffff,26.0,0.0,0.0
838b6cfffffffff,3.0,0.0,0.0
838b6efffffffff,162.0,0.0,0.0
838b70fffffffff,1.0,0.0,0.0
838b71fffffffff,686.0,0.0,0.0
838b74fffffffff,97.0,0.0,0.0
838b75fffffffff,24.0,0.0,0.0
838b76fffffffff,3.0,0.0,0.0
838b82fffffffff,6.0,0.0,0.0
838b84fffffffff,55.0,0.0,2.0
838b88fffffffff,22.0,0.0,0.0
838b8dfffffffff,2.0,0.0,0.0
838b96fffffffff,8.0,0.0,8.0
838b98fffffffff,4.0,0.0,0.0
838b99fffffffff,48.0,0.0,0.0
838b9dfffffffff,384.0,0.0,6.0
838ba0fffffffff,35.0,0.0,0.0
838ba4fffffffff,5.0,0.0,2.0
838ba6fffffffff,37.0,0.0,0.0
838e64fffffffff,2.0,0.0,0.0
838e65fffffffff,3.0,0.0,0.0
838f40fffffffff,21.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0
838f44fffffffff,5.0,0.0,0.0
838f46fffffffff,10.0,0.0,0.0
838f48fffffffff,93.0,0.0,0.0
838f4afffffffff,4.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
838f4cfffffffff,19.0,0.0,0.0
838f4efffffffff,2.0,0.0,0.0
838f61fffffffff,240.0,0.0,0.0
838f63fffffffff,8.0,0.0,0.0
838f65fffffffff,16.0,0.0,0.0
838f6afffffffff,1.0,0.0,0.0
838f6bfffffffff,27.0,0.0,6.0
838f6cfffffffff,1.0,0.0,0.0
838f6efffffffff,60.0,0.0,0.0
838f71fffffffff,16.0,0.0,0.0
838f74fffffffff,17.0,0.0,0.0
83a859fffffffff,2.0,0.0,1.0
83a8c9fffffffff,4.0,0.0,3.0
