cell_id,Troglodytes musculus,Troglodytes musculus [intermedius Group],Troglodytes musculus [audax Group],Troglodytes musculus carabayae,Troglodytes musculus [musculus Group]
824507fffffffff,3.0,0.0,0.0,0.0,0.0
82450ffffffffff,1.0,0.0,0.0,0.0,0.0
824527fffffffff,18.0,0.0,0.0,0.0,0.0
82452ffffffffff,18.0,0.0,0.0,0.0,0.0
824997fffffffff,4.0,0.0,0.0,0.0,0.0
825f1ffffffffff,6.0,0.0,0.0,0.0,0.0
825f2ffffffffff,2.0,0.0,0.0,0.0,0.0
825f47fffffffff,5.0,0.0,0.0,0.0,0.0
825f5ffffffffff,12.0,0.0,0.0,0.0,0.0
82660ffffffffff,9.0,0.0,0.0,0.0,0.0
826617fffffffff,3.0,0.0,0.0,0.0,0.0
82661ffffffffff,5.0,0.0,0.0,0.0,0.0
82662ffffffffff,9.0,0.0,0.0,0.0,0.0
8266b7fffffffff,97.0,0.0,0.0,0.0,0.0
8266d7fffffffff,4.0,0.0,0.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0,0.0,0.0
8266f7fffffffff,23.0,0.0,0.0,0.0,0.0
826747fffffffff,36.0,0.0,0.0,0.0,0.0
82674ffffffffff,12.0,0.0,0.0,0.0,0.0
82675ffffffffff,36.0,0.0,0.0,0.0,0.0
82679ffffffffff,7.0,0.0,0.0,0.0,0.0
826d27fffffffff,17.0,0.0,0.0,0.0,0.0
826d2ffffffffff,13.0,0.0,0.0,0.0,0.0
826d37fffffffff,6.0,0.0,0.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0,0.0,0.0
826d6ffffffffff,293.0,0.0,0.0,0.0,0.0
826d77fffffffff,22.0,0.0,0.0,0.0,0.0
828027fffffffff,1.0,0.0,0.0,0.0,0.0
828a47fffffffff,1.0,0.0,0.0,0.0,0.0
828a6ffffffffff,4.0,0.0,0.0,0.0,0.0
828b27fffffffff,1.0,0.0,0.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0,0.0,0.0
828b6ffffffffff,2.0,0.0,0.0,0.0,0.0
828e67fffffffff,13.0,0.0,0.0,0.0,0.0
828e77fffffffff,4.0,0.0,0.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0,0.0,0.0
828f4ffffffffff,10.0,0.0,0.0,0.0,0.0
828f57fffffffff,5.0,0.0,0.0,0.0,0.0
828f5ffffffffff,44.0,0.0,0.0,0.0,0.0
82a807fffffffff,52.0,0.0,0.0,0.0,0.0
82a817fffffffff,195.0,0.0,0.0,0.0,0.0
82a81ffffffffff,149.0,0.0,0.0,0.0,0.0
82a827fffffffff,9.0,0.0,0.0,0.0,0.0
82a837fffffffff,18.0,0.0,0.0,0.0,0.0
82a8a7fffffffff,38.0,0.0,0.0,0.0,0.0
82a8affffffffff,1.0,0.0,0.0,0.0,0.0
82a8d7fffffffff,1.0,0.0,0.0,0.0,0.0
82a8effffffffff,3.0,0.0,0.0,0.0,0.0
82a91ffffffffff,17.0,0.0,0.0,0.0,0.0
82a947fffffffff,15.0,0.0,0.0,0.0,0.0
82a94ffffffffff,2.0,0.0,0.0,0.0,0.0
82a957fffffffff,37.0,0.0,0.0,0.0,0.0
82a967fffffffff,150.0,0.0,0.0,0.0,0.0
82a96ffffffffff,95.0,0.0,0.0,0.0,0.0
82b207fffffffff,2.0,0.0,0.0,0.0,0.0
82b20ffffffffff,2.0,0.0,0.0,0.0,0.0
82b247fffffffff,4.0,0.0,0.0,0.0,0.0
82b24ffffffffff,1667.0,0.0,0.0,0.0,0.0
82b25ffffffffff,27.0,0.0,0.0,0.0,0.0
82b267fffffffff,10.0,0.0,0.0,0.0,0.0
82b26ffffffffff,371.0,0.0,0.0,0.0,0.0
82b277fffffffff,23.0,0.0,0.0,0.0,0.0
82b2c7fffffffff,28.0,0.0,0.0,0.0,0.0
82b307fffffffff,342.0,0.0,0.0,0.0,0.0
82b31ffffffffff,1.0,0.0,0.0,0.0,0.0
82b327fffffffff,3.0,0.0,0.0,0.0,0.0
82b32ffffffffff,2.0,0.0,0.0,0.0,0.0
82b337fffffffff,3.0,0.0,0.0,0.0,0.0
82b347fffffffff,31.0,0.0,0.0,0.0,0.0
82b34ffffffffff,8.0,0.0,0.0,0.0,0.0
82b357fffffffff,20.0,0.0,0.0,0.0,0.0
82b35ffffffffff,50.0,0.0,0.0,0.0,0.0
82b377fffffffff,4.0,0.0,0.0,0.0,0.0
82c207fffffffff,3.0,0.0,0.0,0.0,0.0
82c21ffffffffff,2.0,0.0,0.0,0.0,0.0
82c227fffffffff,4.0,0.0,0.0,0.0,0.0
82c22ffffffffff,53.0,0.0,0.0,0.0,0.0
82c2c7fffffffff,25.0,0.0,0.0,0.0,0.0
82c2cffffffffff,630.0,0.0,0.0,0.0,0.0
82c2e7fffffffff,22.0,0.0,0.0,0.0,0.0
82c2effffffffff,141.0,0.0,0.0,0.0,0.0
82c327fffffffff,12.0,0.0,0.0,0.0,0.0
82c32ffffffffff,13.0,0.0,0.0,0.0,0.0
82c34ffffffffff,46.0,0.0,0.0,0.0,0.0
82c357fffffffff,10.0,0.0,0.0,0.0,0.0
82ce87fffffffff,1.0,0.0,0.0,0.0,0.0
82ce8ffffffffff,1.0,0.0,0.0,0.0,0.0
82ce97fffffffff,4.0,0.0,0.0,0.0,0.0
82ce9ffffffffff,3.0,0.0,0.0,0.0,0.0
82cea7fffffffff,2.0,0.0,0.0,0.0,0.0
82cf17fffffffff,7.0,0.0,0.0,0.0,0.0
82cf9ffffffffff,1.0,0.0,0.0,0.0,0.0
82df47fffffffff,5.0,0.0,0.0,0.0,0.0
82df6ffffffffff,22.0,0.0,0.0,0.0,0.0
