cell_id,Psophodes nigrogularis,Psophodes nigrogularis nigrogularis/oberon,Psophodes nigrogularis leucogaster/lashmari
82b917fffffffff,105.0,0.0,25.0
82c987fffffffff,43.0,17.0,0.0
82c9b7fffffffff,555.0,177.0,0.0
