cell_id,Pardalotus striatus,Pardalotus striatus [melanocephalus Group],Pardalotus striatus ornatus,Pardalotus striatus striatus,Pardalotus striatus substriatus
849d0c1ffffffff,2.0,0.0,0.0,0.0,0.0
84a79ddffffffff,2.0,0.0,0.0,0.0,0.0
84b8809ffffffff,1.0,0.0,0.0,0.0,1.0
84be085ffffffff,2.0,0.0,0.0,0.0,0.0
84be089ffffffff,6.0,0.0,3.0,0.0,0.0
84be08dffffffff,3.0,0.0,0.0,0.0,0.0
84be093ffffffff,3.0,0.0,0.0,0.0,3.0
84be0a3ffffffff,3.0,0.0,0.0,0.0,1.0
84be0d1ffffffff,2.0,0.0,0.0,0.0,0.0
84be0d3ffffffff,2.0,0.0,0.0,0.0,0.0
84be191ffffffff,2.0,0.0,0.0,0.0,0.0
84be1b3ffffffff,1.0,0.0,0.0,0.0,0.0
84be42bffffffff,1.0,0.0,0.0,0.0,1.0
84be443ffffffff,1.0,0.0,0.0,0.0,1.0
84be445ffffffff,1.0,0.0,0.0,0.0,0.0
84be459ffffffff,2.0,0.0,0.0,0.0,0.0
84be4c7ffffffff,1.0,0.0,0.0,0.0,0.0
84be4e1ffffffff,1.0,0.0,1.0,0.0,0.0
84be4e7ffffffff,2.0,0.0,0.0,0.0,2.0
84be4ebffffffff,2.0,0.0,0.0,0.0,0.0
84be539ffffffff,3.0,0.0,0.0,0.0,0.0
84be53bffffffff,4.0,0.0,4.0,0.0,0.0
84be5b9ffffffff,2.0,0.0,2.0,0.0,0.0
84be607ffffffff,5.0,0.0,1.0,2.0,0.0
84be633ffffffff,2.0,0.0,0.0,2.0,0.0
84be635ffffffff,3.0,0.0,0.0,1.0,0.0
84be63bffffffff,5.0,0.0,0.0,0.0,5.0
84be63dffffffff,3.0,0.0,0.0,0.0,0.0
84be72dffffffff,1.0,0.0,0.0,0.0,0.0
84be8d1ffffffff,25.0,3.0,0.0,2.0,0.0
84be8d9ffffffff,45.0,0.0,0.0,0.0,2.0
84bea93ffffffff,2.0,2.0,0.0,0.0,0.0
84beabbffffffff,11.0,0.0,0.0,2.0,0.0
84beee9ffffffff,2.0,0.0,0.0,0.0,2.0
84bef2bffffffff,1.0,0.0,0.0,0.0,1.0
84bef2dffffffff,1.0,0.0,0.0,0.0,1.0
84bef3dffffffff,2.0,0.0,0.0,0.0,2.0
84bef5dffffffff,2.0,0.0,0.0,0.0,0.0
84bf49dffffffff,1.0,0.0,0.0,1.0,0.0
84bf4c3ffffffff,2.0,0.0,0.0,0.0,0.0
84bf4cbffffffff,2.0,0.0,0.0,0.0,0.0
84bf4ddffffffff,2.0,0.0,0.0,0.0,0.0
84bf6b7ffffffff,2.0,0.0,0.0,0.0,0.0
