cell_id,Trochalopteron erythrocephalum,Trochalopteron erythrocephalum erythrocephalum/kali,Trochalopteron erythrocephalum nigrimentum
84209a7ffffffff,2.0,0.0,0.0
843c02dffffffff,2.0,0.0,0.0
843c0a5ffffffff,12.0,0.0,0.0
843c0adffffffff,5.0,0.0,0.0
843c1d1ffffffff,2.0,0.0,0.0
843c1d3ffffffff,7.0,0.0,0.0
843c525ffffffff,3.0,0.0,0.0
843c527ffffffff,3.0,0.0,0.0
843c581ffffffff,157.0,0.0,0.0
843c595ffffffff,5.0,0.0,0.0
843c5bdffffffff,9.0,0.0,0.0
843c5d5ffffffff,3.0,0.0,0.0
843ce4dffffffff,7.0,0.0,0.0
843d137ffffffff,1.0,0.0,0.0
843d157ffffffff,2.0,0.0,0.0
843d1edffffffff,7.0,0.0,0.0
843d307ffffffff,28.0,0.0,0.0
843d341ffffffff,5.0,0.0,0.0
843d349ffffffff,1.0,0.0,0.0
843d34dffffffff,1.0,0.0,0.0
843dad1ffffffff,5.0,0.0,0.0
843dad9ffffffff,5.0,0.0,0.0
843daddffffffff,10.0,0.0,0.0
