cell_id,Aulacorhynchus prasinus,Aulacorhynchus prasinus wagleri,Aulacorhynchus prasinus [prasinus Group],Aulacorhynchus prasinus caeruleogularis,Aulacorhynchus prasinus cognatus
8445201ffffffff,30.0,0.0,0.0,0.0,0.0
8445203ffffffff,7.0,0.0,0.0,0.0,0.0
8445205ffffffff,14.0,0.0,0.0,0.0,0.0
8445207ffffffff,7.0,0.0,0.0,0.0,0.0
8445209ffffffff,24.0,0.0,0.0,0.0,0.0
844520bffffffff,23.0,0.0,0.0,0.0,0.0
844520dffffffff,327.0,0.0,0.0,0.0,0.0
8445213ffffffff,25.0,0.0,3.0,0.0,0.0
8445215ffffffff,3.0,0.0,0.0,0.0,0.0
8445217ffffffff,23.0,0.0,0.0,0.0,0.0
8445225ffffffff,27.0,0.0,0.0,0.0,0.0
844522dffffffff,4.0,0.0,0.0,0.0,0.0
8445233ffffffff,12.0,0.0,4.0,0.0,0.0
8445241ffffffff,13.0,0.0,0.0,0.0,0.0
8445243ffffffff,155.0,0.0,0.0,0.0,0.0
8445245ffffffff,18.0,0.0,0.0,0.0,0.0
8445247ffffffff,109.0,0.0,0.0,0.0,0.0
844524bffffffff,84.0,0.0,0.0,0.0,0.0
8445251ffffffff,6.0,0.0,0.0,0.0,0.0
8445253ffffffff,5.0,0.0,0.0,0.0,0.0
8445255ffffffff,36.0,0.0,0.0,0.0,0.0
8445257ffffffff,17.0,0.0,0.0,0.0,0.0
844525bffffffff,49.0,0.0,0.0,0.0,0.0
844525dffffffff,4.0,0.0,0.0,0.0,0.0
8445261ffffffff,19.0,0.0,0.0,0.0,0.0
8445263ffffffff,44.0,0.0,0.0,0.0,0.0
8445267ffffffff,3.0,0.0,0.0,0.0,0.0
8445269ffffffff,62.0,0.0,0.0,0.0,0.0
844526bffffffff,89.0,0.0,0.0,0.0,0.0
844526dffffffff,12.0,0.0,0.0,0.0,0.0
8445285ffffffff,22.0,0.0,2.0,0.0,0.0
84452a9ffffffff,63.0,0.0,5.0,0.0,0.0
84452abffffffff,2.0,0.0,0.0,0.0,0.0
84452adffffffff,1.0,0.0,0.0,0.0,0.0
84452bdffffffff,3.0,0.0,0.0,0.0,0.0
84452c3ffffffff,18.0,0.0,0.0,0.0,0.0
84452c5ffffffff,16.0,0.0,0.0,0.0,0.0
84452c7ffffffff,7.0,0.0,0.0,0.0,0.0
84452c9ffffffff,2.0,0.0,0.0,0.0,0.0
84452d9ffffffff,30.0,0.0,0.0,0.0,0.0
84452e1ffffffff,595.0,0.0,55.0,0.0,0.0
84452e3ffffffff,51.0,0.0,5.0,0.0,0.0
84452e5ffffffff,233.0,0.0,0.0,0.0,0.0
84452e7ffffffff,9.0,0.0,0.0,0.0,0.0
84452e9ffffffff,78.0,0.0,0.0,0.0,0.0
84452ebffffffff,323.0,0.0,27.0,0.0,0.0
84452edffffffff,15.0,0.0,0.0,0.0,0.0
8445301ffffffff,1.0,0.0,0.0,0.0,0.0
8445309ffffffff,5.0,0.0,0.0,0.0,0.0
8445343ffffffff,113.0,0.0,0.0,0.0,0.0
8445351ffffffff,236.0,0.0,0.0,0.0,0.0
8445359ffffffff,4.0,0.0,0.0,0.0,0.0
844535bffffffff,2.0,0.0,0.0,0.0,0.0
8449901ffffffff,5.0,0.0,0.0,0.0,0.0
8449903ffffffff,9.0,0.0,3.0,0.0,0.0
8449905ffffffff,2.0,0.0,0.0,0.0,0.0
844990bffffffff,2.0,0.0,0.0,0.0,0.0
8449913ffffffff,6.0,0.0,0.0,0.0,0.0
8449917ffffffff,10.0,0.0,5.0,0.0,0.0
844991dffffffff,10.0,0.0,6.0,0.0,0.0
844993bffffffff,2.0,0.0,2.0,0.0,0.0
8449945ffffffff,2.0,0.0,0.0,0.0,0.0
8449961ffffffff,60.0,0.0,17.0,0.0,0.0
8449963ffffffff,373.0,0.0,216.0,0.0,0.0
8449967ffffffff,2.0,0.0,0.0,0.0,0.0
8449969ffffffff,132.0,0.0,7.0,0.0,0.0
844996bffffffff,26.0,0.0,6.0,0.0,0.0
84499c5ffffffff,28.0,0.0,0.0,0.0,0.0
8449b19ffffffff,106.0,79.0,0.0,0.0,0.0
8449b1dffffffff,14.0,8.0,0.0,0.0,0.0
8449b53ffffffff,42.0,26.0,0.0,0.0,0.0
8449b57ffffffff,84.0,53.0,0.0,0.0,0.0
8449b65ffffffff,2.0,0.0,0.0,0.0,0.0
8449b67ffffffff,11.0,0.0,0.0,0.0,0.0
8466115ffffffff,2.0,0.0,0.0,0.0,2.0
8466129ffffffff,26.0,0.0,0.0,0.0,10.0
8466131ffffffff,43.0,0.0,0.0,0.0,22.0
8466137ffffffff,4.0,0.0,0.0,0.0,4.0
8466139ffffffff,41.0,0.0,0.0,0.0,30.0
8466a01ffffffff,6.0,0.0,0.0,0.0,0.0
8466a05ffffffff,20.0,0.0,0.0,0.0,0.0
