cell_id,Sylvietta brachyura,Sylvietta brachyura brachyura/carnapi,Sylvietta brachyura leucopsis
845281dffffffff,2.0,0.0,0.0
8452831ffffffff,3.0,0.0,0.0
84528a9ffffffff,1.0,0.0,0.0
84528abffffffff,2.0,0.0,0.0
84528edffffffff,2.0,0.0,0.0
8452993ffffffff,3.0,0.0,0.0
84529b9ffffffff,25.0,0.0,0.0
8452ca9ffffffff,3.0,0.0,0.0
8452d33ffffffff,4.0,0.0,0.0
8452d41ffffffff,9.0,0.0,0.0
8452d45ffffffff,2.0,0.0,0.0
8452d4dffffffff,1.0,0.0,0.0
8452d6bffffffff,4.0,0.0,0.0
8454011ffffffff,1.0,0.0,0.0
8454025ffffffff,2.0,0.0,0.0
845402dffffffff,17.0,7.0,0.0
84540abffffffff,3.0,0.0,0.0
8454103ffffffff,19.0,10.0,0.0
845411dffffffff,12.0,3.0,0.0
8454133ffffffff,11.0,1.0,0.0
8454139ffffffff,41.0,17.0,0.0
845413bffffffff,15.0,2.0,0.0
8454143ffffffff,2.0,0.0,0.0
8454153ffffffff,6.0,2.0,0.0
8454157ffffffff,37.0,12.0,0.0
8454187ffffffff,1.0,0.0,0.0
8454195ffffffff,5.0,0.0,0.0
845419bffffffff,4.0,0.0,0.0
84541a3ffffffff,31.0,4.0,0.0
84541a5ffffffff,15.0,2.0,0.0
84541adffffffff,11.0,0.0,0.0
84541b9ffffffff,10.0,1.0,0.0
84541bdffffffff,2.0,0.0,0.0
84541e3ffffffff,2.0,2.0,0.0
84541e5ffffffff,2.0,0.0,0.0
84541e7ffffffff,9.0,0.0,0.0
8454499ffffffff,1.0,0.0,0.0
8454a93ffffffff,130.0,15.0,0.0
8454a9bffffffff,69.0,6.0,0.0
8454ac3ffffffff,30.0,0.0,0.0
8454ad3ffffffff,2.0,0.0,0.0
8454ad5ffffffff,15.0,0.0,0.0
8454ad7ffffffff,6.0,0.0,0.0
8454adbffffffff,2.0,0.0,0.0
8454addffffffff,11.0,0.0,0.0
8454e27ffffffff,1.0,0.0,0.0
8454e41ffffffff,11.0,0.0,0.0
8454e49ffffffff,6.0,0.0,0.0
8454e4bffffffff,2.0,2.0,0.0
8454e4dffffffff,51.0,24.0,0.0
8454e51ffffffff,12.0,2.0,0.0
8454e59ffffffff,8.0,3.0,0.0
8454e5bffffffff,13.0,4.0,0.0
8454e69ffffffff,3.0,0.0,0.0
8454e8bffffffff,1.0,0.0,0.0
8454f0bffffffff,2.0,0.0,0.0
8454f11ffffffff,2.0,0.0,0.0
8454f45ffffffff,6.0,2.0,0.0
8454f49ffffffff,22.0,3.0,0.0
8454f4dffffffff,44.0,4.0,0.0
8454f51ffffffff,2.0,0.0,0.0
8454f57ffffffff,1.0,0.0,0.0
8454f6bffffffff,3.0,0.0,0.0
8458517ffffffff,2.0,0.0,0.0
84585a9ffffffff,2.0,0.0,0.0
8458969ffffffff,1.0,0.0,0.0
8458a4dffffffff,2.0,0.0,0.0
8458b51ffffffff,2.0,0.0,0.0
8458c3dffffffff,3.0,0.0,0.0
8458c8bffffffff,2.0,0.0,0.0
