cell_id,Dicaeum hirundinaceum,Dicaeum hirundinaceum hirundinaceum,Dicaeum hirundinaceum ignicolle
839418fffffffff,24.0,0.0,0.0
839419fffffffff,4.0,0.0,0.0
83941afffffffff,6.0,0.0,0.0
83941bfffffffff,70.0,0.0,0.0
839442fffffffff,1.0,0.0,0.0
83944bfffffffff,2.0,0.0,0.0
839450fffffffff,181.0,0.0,0.0
839451fffffffff,901.0,0.0,0.0
839453fffffffff,110.0,0.0,0.0
839455fffffffff,32.0,0.0,0.0
839458fffffffff,22.0,0.0,0.0
839459fffffffff,14.0,0.0,0.0
83945afffffffff,179.0,0.0,0.0
83945bfffffffff,6.0,0.0,0.0
83945cfffffffff,515.0,0.0,0.0
83945dfffffffff,2.0,0.0,0.0
83945efffffffff,97.0,0.0,0.0
839480fffffffff,1008.0,0.0,0.0
839481fffffffff,45.0,0.0,0.0
839482fffffffff,33.0,0.0,0.0
839485fffffffff,36.0,0.0,0.0
839489fffffffff,5.0,0.0,0.0
83948cfffffffff,4.0,0.0,0.0
83948dfffffffff,24.0,0.0,0.0
83948efffffffff,9.0,0.0,0.0
839491fffffffff,2.0,0.0,0.0
8394a8fffffffff,6.0,0.0,0.0
8394a9fffffffff,8.0,0.0,0.0
8394aafffffffff,22.0,0.0,0.0
8394abfffffffff,4.0,0.0,0.0
8394adfffffffff,6.0,0.0,0.0
8394aefffffffff,100.0,0.0,0.0
8394c4fffffffff,42.0,0.0,0.0
8394c6fffffffff,3.0,0.0,0.0
8394c9fffffffff,16.0,0.0,0.0
8394ccfffffffff,5.0,0.0,0.0
8394cdfffffffff,2.0,0.0,0.0
8394d4fffffffff,2.0,0.0,0.0
8394d5fffffffff,6.0,0.0,0.0
8394e2fffffffff,70.0,0.0,0.0
8394e3fffffffff,104.0,0.0,0.0
8394e8fffffffff,73.0,0.0,0.0
8394e9fffffffff,4.0,0.0,0.0
8394eafffffffff,5.0,0.0,0.0
8394ebfffffffff,2.0,0.0,0.0
8394edfffffffff,192.0,0.0,0.0
8394eefffffffff,32.0,0.0,0.0
8394f0fffffffff,9.0,0.0,0.0
8394f2fffffffff,41.0,0.0,0.0
8394f3fffffffff,2.0,0.0,0.0
8394f4fffffffff,14.0,0.0,0.0
8394f5fffffffff,2.0,0.0,0.0
8394f6fffffffff,63.0,0.0,0.0
839c00fffffffff,148.0,0.0,0.0
839c01fffffffff,61.0,0.0,0.0
839c05fffffffff,464.0,0.0,0.0
839c0afffffffff,3.0,0.0,0.0
839c0cfffffffff,4.0,0.0,0.0
839c0efffffffff,107.0,0.0,0.0
839c19fffffffff,652.0,0.0,0.0
839c20fffffffff,184.0,0.0,0.0
839c21fffffffff,191.0,0.0,0.0
839c23fffffffff,4002.0,0.0,0.0
839c25fffffffff,192.0,0.0,0.0
839c2cfffffffff,10.0,0.0,0.0
839c2dfffffffff,22.0,0.0,0.0
839c2efffffffff,8.0,0.0,0.0
839c40fffffffff,3.0,0.0,0.0
839c41fffffffff,12.0,0.0,0.0
839c43fffffffff,3.0,0.0,0.0
839c44fffffffff,5.0,0.0,0.0
839c45fffffffff,4.0,0.0,0.0
839c49fffffffff,6.0,0.0,0.0
839c4afffffffff,3.0,0.0,0.0
839c4bfffffffff,28.0,0.0,0.0
839c4cfffffffff,1.0,0.0,0.0
839c4dfffffffff,7.0,0.0,0.0
839c4efffffffff,2.0,0.0,0.0
839c58fffffffff,24.0,0.0,0.0
839c5afffffffff,25.0,0.0,0.0
839c5dfffffffff,4.0,0.0,0.0
839c60fffffffff,79.0,0.0,0.0
839c62fffffffff,5.0,0.0,0.0
839c64fffffffff,5.0,0.0,0.0
839c66fffffffff,4.0,0.0,0.0
839c69fffffffff,10.0,0.0,0.0
839c6cfffffffff,3.0,0.0,0.0
839c6dfffffffff,2.0,0.0,0.0
839c74fffffffff,33.0,0.0,0.0
839c75fffffffff,4.0,0.0,0.0
839ce0fffffffff,2.0,0.0,0.0
839ce4fffffffff,16.0,0.0,0.0
839ce6fffffffff,5.0,0.0,0.0
839ce9fffffffff,49.0,0.0,0.0
839cf1fffffffff,17.0,0.0,0.0
839cf5fffffffff,57.0,0.0,0.0
839d01fffffffff,119.0,0.0,0.0
839d09fffffffff,4.0,0.0,0.0
839d0afffffffff,20.0,0.0,0.0
839d0bfffffffff,388.0,0.0,0.0
839d0cfffffffff,82.0,0.0,0.0
839d0efffffffff,46.0,0.0,0.0
839d21fffffffff,328.0,0.0,0.0
839d23fffffffff,22.0,0.0,0.0
839d24fffffffff,80.0,0.0,0.0
839d25fffffffff,84.0,0.0,0.0
839d28fffffffff,13.0,0.0,0.0
839d29fffffffff,2.0,0.0,0.0
839d2afffffffff,33.0,0.0,0.0
839d2bfffffffff,4.0,0.0,0.0
839d2cfffffffff,15.0,0.0,0.0
839d2dfffffffff,7.0,0.0,0.0
839d40fffffffff,6.0,0.0,0.0
839d44fffffffff,96.0,0.0,0.0
839d46fffffffff,13.0,0.0,0.0
839d48fffffffff,7.0,0.0,0.0
839d49fffffffff,2.0,0.0,0.0
839d4afffffffff,199.0,0.0,0.0
839d4cfffffffff,1.0,0.0,0.0
839d4efffffffff,3.0,0.0,0.0
839d50fffffffff,3.0,0.0,0.0
839d53fffffffff,6.0,0.0,0.0
839d54fffffffff,8.0,0.0,0.0
839d55fffffffff,4.0,0.0,0.0
839d56fffffffff,4.0,0.0,0.0
839d59fffffffff,3.0,0.0,0.0
839d5afffffffff,1.0,0.0,0.0
839d5dfffffffff,15.0,0.0,0.0
839d60fffffffff,2.0,0.0,0.0
839d62fffffffff,10.0,0.0,0.0
839d65fffffffff,2.0,0.0,0.0
839d66fffffffff,5.0,0.0,0.0
839d6dfffffffff,5.0,0.0,0.0
839d70fffffffff,5.0,0.0,0.0
839d71fffffffff,10.0,0.0,0.0
839d74fffffffff,4.0,0.0,0.0
839d75fffffffff,10.0,0.0,0.0
839d76fffffffff,1.0,0.0,0.0
