cell_id,Myiodynastes maculatus,Myiodynastes maculatus [maculatus Group],Myiodynastes maculatus solitarius
824507fffffffff,2.0,0.0,0.0
82450ffffffffff,13.0,0.0,0.0
824527fffffffff,12.0,0.0,0.0
82452ffffffffff,134.0,0.0,0.0
824537fffffffff,5.0,0.0,0.0
8248a7fffffffff,2.0,0.0,0.0
825f07fffffffff,1.0,0.0,0.0
825f17fffffffff,2.0,0.0,2.0
825f5ffffffffff,14.0,14.0,0.0
82660ffffffffff,1.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,3.0,0.0,0.0
826627fffffffff,4.0,4.0,0.0
82662ffffffffff,1.0,1.0,0.0
8266a7fffffffff,1.0,1.0,0.0
8266b7fffffffff,8.0,0.0,0.0
8266c7fffffffff,2.0,0.0,2.0
8266cffffffffff,1.0,1.0,0.0
8266d7fffffffff,6.0,2.0,0.0
8266dffffffffff,9.0,0.0,0.0
8266effffffffff,6.0,0.0,5.0
8266f7fffffffff,4.0,3.0,0.0
826747fffffffff,2.0,2.0,0.0
82674ffffffffff,28.0,0.0,0.0
82675ffffffffff,1.0,1.0,0.0
826797fffffffff,2.0,0.0,0.0
82679ffffffffff,8.0,0.0,0.0
826d27fffffffff,4.0,0.0,0.0
826d37fffffffff,5.0,0.0,0.0
826d6ffffffffff,133.0,0.0,0.0
828017fffffffff,3.0,0.0,3.0
828037fffffffff,2.0,0.0,2.0
828127fffffffff,12.0,0.0,9.0
828a07fffffffff,2.0,0.0,2.0
828a1ffffffffff,2.0,2.0,0.0
828a47fffffffff,1.0,0.0,0.0
828aaffffffffff,3.0,3.0,0.0
828adffffffffff,4.0,4.0,0.0
828af7fffffffff,10.0,7.0,3.0
828b47fffffffff,4.0,0.0,4.0
828b67fffffffff,9.0,0.0,9.0
828b77fffffffff,3.0,0.0,3.0
828f0ffffffffff,4.0,2.0,0.0
828f2ffffffffff,1.0,1.0,0.0
828f47fffffffff,12.0,0.0,11.0
828f57fffffffff,11.0,0.0,0.0
82a807fffffffff,3.0,0.0,3.0
82a817fffffffff,11.0,0.0,3.0
82a81ffffffffff,5.0,0.0,0.0
82a887fffffffff,4.0,0.0,3.0
82a88ffffffffff,11.0,0.0,11.0
82a897fffffffff,2.0,0.0,2.0
82a8a7fffffffff,2.0,0.0,2.0
82a8affffffffff,3.0,0.0,3.0
82a947fffffffff,35.0,0.0,3.0
82a94ffffffffff,4.0,0.0,0.0
82a957fffffffff,19.0,0.0,7.0
82a967fffffffff,68.0,0.0,4.0
82a96ffffffffff,26.0,0.0,0.0
82a977fffffffff,6.0,0.0,0.0
82b24ffffffffff,79.0,0.0,0.0
82b25ffffffffff,3.0,0.0,1.0
82b267fffffffff,2.0,0.0,0.0
82b26ffffffffff,22.0,0.0,0.0
82b277fffffffff,4.0,0.0,0.0
82b347fffffffff,2.0,0.0,2.0
82b357fffffffff,2.0,0.0,0.0
82c2c7fffffffff,2.0,0.0,0.0
82c2cffffffffff,80.0,0.0,3.0
82c2e7fffffffff,6.0,0.0,4.0
82c2effffffffff,7.0,0.0,0.0
82c2f7fffffffff,2.0,0.0,2.0
